seq	AlphaPubDate	PathID	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	matchquality	isfiction	singlework	actualtitle	actualauthor	howpositive	genresnamed	comments
200	May 1908	20160127190310_00010	1908	3183464	THE HUMAN BOY AGAIN.	The Bookman	Phillpotts, Eden	1908.0	The human boy again	2.69569962969708							
201	Oct 1913	20160127185352_00004	1913	2434197	FATHER RALPH.	The English review,  1908-1937	O'Donovan, Gerald	1913.0	Father Ralph	2.245							
202	Mar 1895	20160127190413_00011	1895	3175652	THE HONOUR OF SAVELLI.	The Bookman	Levett-Yeats, S. (Sidney Kilner)	1895.0	The honour of Savelli	2.8344827586206893							
203	Feb 26, 1898	20160127193122_00012	1898	8867185	The Pecorone of Ser Giovanni.	The Athenaeum	Fiorentino, Giovanni	1901.0	The Pecorone of Ser Giovanni	3.3369230769230764							
204	Nov 23, 1889	20160127192303_00008	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Thackeray, William Makepeace	1896.0	Christmas books	2.24515710832784							
205	Sep 1913	20160127185249_00003	1913	3191266	THE GOLDEN WOMAN.	The Bookman	Cullum, Ridgwell	1913.0	The golden woman	2.3589806300136957							
206	Jan 1829	20160127230454_00006	1829	5383316	HUNGARIAN TALES.	The London magazine	Gore, (Catherine Grace Frances), Mrs	1829.0	Hungarian tales	2.412272727272727							
207	Dec 1918	20160127183222_00004	1918	3209646	THE LAW OF THE GUN.	The Bookman	Cullum, Ridgwell	1918.0	The law of the gun	2.505358851674641							
208	Apr 17, 1897	20160127192510_00019	1897	8803684	Chun Ti-kung, his Life and Adventures.	The Athenaeum	Rees, Claude A	1897.0	Chun Ti-kung : his life and adventure	3.1530187009649726							
209	Mar 1834	20160127224123_00002	1834	4439301	The Farrers of Budge Row, No. 24, Miss Martineau's Illustrations of Political Economy.	Tait's Edinburgh magazine	Martineau, Harriet	1834.0	The Farrers of Budge-row, a tale	2.5316							
210	Apr 1837	20160127190619_00006	1837	8322607	Schloss Hainfeld; or a Winter in Lower Styria.	The Gentleman's Magazine: and historical review, July 1856-May 1868	Hall, Basil	1836.0	Schloss Hainfeld; or, A winter in lower Styria	3.8727904761904757							
211	Nov 26, 1887	20160127192303_00008	1887	9336370	The Life and Letters of Charles Darwin, including an Autobiographical Chapter.	The Athenaeum	Elisabeth	1901.0	The life and letters of Madame ??lisabeth de France	2.1382847826086957							
212	Oct 22, 1904	20160127191439_00002	1904	9023663	John Chilcote, M.P.	The Athenaeum	Thurston, Katherine Cecil	1905.0	John Chilcote, M. P	2.5843096785059805							
213	Jun 25, 1887	20160127191542_00003	1887	9134840	Imaginary Portraits.	The Athenaeum	Pater, Walter	1887.0	Imaginary portraits	2.87							
214	Mar 1819	20160127235716_00001	1819	5514494	ON THE SPRING.	Edinburgh magazine and literary miscellany											
215	Oct 15, 1842	20160127191439_00002	1842	9137363	Narrative of a Residence on the Mosquito Shore, during the Years 1839, 1810, and 1841; with an Account of Truxillo, and the adjacent Islands of Bonacca and Roatan.	The Athenaeum	Fraser, James Baillie	1838.0	Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures	2.195958441558441							
216	Nov 5, 1910	20160127190311_00003	1910	6737955	A Dreamer's Tales.	The Academy, 1905-1910	Dunsany, Edward John Moreton Drax Plunkett, Baron	1910.0	A dreamer's tales	2.724144363341444							
217	Jun 1807	20160127230149_00002	1807	4955065	All the Blocks! Or, an Antidote to 'All the Talents,' a Satirical Poem.	Cabinet, or, monthly report of polite literature, 1807-1808	Ireland, W. H. (William Henry)	1807.0	All the blocks! : or, an antidote to 'All the talents'. A satirical poem in three dialogues	3.127511111111111							
218	Apr 1919	20160127183628_00009	1919	3219516	A BROKEN JOURNEY.	The Bookman	Gaunt, Mary	1919.0	A broken journey	2.3893156170367678							
219	Mar 1831	20160127190722_00007	1831	8236824	The Talba or Moor of Portugal, a Romance.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Bray	1830.0	The Talba, or, Moor of Portugal	2.877511111111111							
220	Jul 14, 1821	20160127230250_00003	1821	5169002	WARWICK'S SPARE MINUT S.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Warwick, Arthur	1821.0	Warwick's Spare minutes	2.9116005040957784							
221	Oct 22, 1864	20160127192303_00008	1864	9447259	The Works of Oliver Goldsmith.	The Athenaeum	Goldsmith, Oliver	1854.0	The works of Oliver Goldsmith	2.9110541310541307							
222	Apr 8, 1911	20160127190311_00003	1911	6822754	Passers-By.	The Academy and literature, 1910-1914	Oppenheim, E. Phillips (Edward Phillips)	1910.0	Passers-by	2.16							
223	Jan 10, 1818	20160127230250_00003	1818	5086794	Narrative of my Captivity in Japan, during the years 1811, 1812, and 1813; with Observations on the Country and the People.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Rowlandson, Mary White	1828.0	Narrative of the captivity and removes of Mrs. Mary Rowlandson, who was taken by the Indians at the destruction of Lancaster, in 1676	2.2657553113553117							
224	Jun 12, 1824	20160127231108_00013	1824	5110155	Some Account of the Life of the late Gilbert Earl, Esq.	The Literary gazette : A weekly journal of literature, science, and the fine arts	St. Leger, Barry	1824.0	Some account of the life of the late Gilbert Earle, esq	3.130401717305742							
225	Nov 1870	20160127183628_00009	1870	2715715	Passages from the English Note-Books of Nathaniel Hawthorne.	The Illustrated review : a fortnightly journal of literature, science and art	Hawthorne, Nathaniel	1871.0	Passages from the French and Italian note-books of Nathaniel Hawthorne	2.5825542015883483							
226	Nov 3, 1877	20160127183628_00009	1877	6702845	JULIAN THE APOSTATE.	The Academy, 1869-1902, 0269-333X	Merezhkovsky, Dmitry Sergeyevich	1899.0	Julian the Apostate	2.481111111111111							
227	Jan 1851	20160127192201_00017	1851	8243708	The Mother's Recompense; a Sequel to Home Influence.	The Gentleman's Magazine: and historical review, July 1856-May 1868	Aguilar, Grace	1855.0	The mother's recompense : a sequel to Home influence / by Grace Aguilar	2.528753209109731							
228	Nov 29, 1856	20160127192053_00005	1856	8937978	The Sabbath, Sabbath Walks, and other Poems.	The Athenaeum	Grahame, James	1839.0	The Sabbath, Sabbath walks, and other poems	3.0177822177822176							
229	Aug 7, 1880	20160128001752_00003	1880	8978909	INTERNATIONAL LAW.	Examiner											
230	Feb 1802	20160127190414_00004	1802	3912040	THE REFLECTOR.	The Monthly visitor, and new family magazine											
231	Aug 1, 1914	20160127191335_00001	1914	8950952	Book review	The Athenaeum											
232	Dec 1912	20160127180954_00001	1912	3197852	DARNELEY PLACE.	The Bookman	Bagot, Richard	1913.0	Darneley place	2.5470270270270268							
233	May 1832	20160127192407_00009	1832	4436640	Illustrations of Political EconomyNo. 2, the Hill and the Valley.	Tait's Edinburgh magazine	Martineau, Harriet	1832.0	Illustrations of political economy	2.8044444444444445							
234	Jun 1903	20160127183222_00004	1903	3171943	THE SUBSTITUTE.	The Bookman	Harben, Will N. (William Nathaniel)	1903.0	The substitute	2.236666666666667							
235	Aug 27, 1887	20160127191542_00003	1887	9137167	The Pleasures of Life.	The Athenaeum	Lubbock, John, Sir	1897.0	The pleasures of life	2.7012499999999995							
236	May 31, 1913	20160127190516_00005	1913	6851286	Along the Road.	The Academy and literature, 1910-1914	Barber, Thomas H	1924.0	Along the road	2.1158089668615983							
237	Oct 6, 1900	20160127192611_00010	1900	9228871	A Master of Craft.	The Athenaeum	Jacobs, W. W. (William Wymark)	1900.0	A master of craft	2.522874015748032							
238	Jun 27, 1818	20160128000328_00006	1818	5163295	A Statement of Matters relative to the King's Theatre.	The Literary gazette : A weekly journal of literature, science, and the fine arts		1824.0	Statement of facts, relative to the last will of the late Mrs. Badger of Natick : which was disallowed on the final hearing	2.2233142857142862							
239	Jan 6, 1838	20160127230351_00004	1838	5130750	Peter Simple.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Marryat, Frederick	1837.0	Peter Simple	2.293174603174603							
240	Jun 4, 1836	20160127193122_00012	1836	8780649	The Magician.	The Athenaeum	Ritchie, Leitch	1836.0	The magician	2.132857142857143							
241	Jul 24, 1824	20160127230802_00010	1824	5189944	Memoir of the Life and Character of the Right Hon. Edmund Burke; with Specimens of his Poetry and Letters, and an Estimate of his Genius and Talents, compared with those of his great Contemporaries.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Radcliffe, Ann Ward	1833.0	Memoir of the life and writings of Mrs. Radcliffe. Gaston de Blondeville	2.2553822595704953							
242	Jul 3, 1886	20160127191545_00013	1886	8754161	Transformed.	The Athenaeum	Huntington, Faye	1886.0	Transformed	2.2							
243	Sep 1813	20160127230454_00006	1813	4428803	THE OLD SCHOOL.	New review : or Monthly analysis of general literature	Smith, Julia Bernard	1813.0	The old school	2.330952380952381							
244	Nov 23, 1889	20160127191439_00002	1889	8785589	In an Enchanted Island; or, a Winter's Retreat in Cyprus.	The Athenaeum	Mallock, W. H. (William Hurrell)	1892.0	In an enchanted island, or A winter's retreat in Cyprus;	2.8439949579831936							
245	May 1833	20160127191335_00001	1833	8205503	A Topographical Dictionary of Great Britain and Ireland, by John Gorton; and the Irish and Welsh Articles by G. N. Wright, M.A. 3 vols. 8vo.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833											
246	Apr 25, 1846	20160127230351_00004	1846	5165585	BOUNDARIES OF EMPIRES: COLONISATION.	The Literary gazette : A weekly journal of literature, science, and the fine arts											
247	Jan 21, 1865	20160128001752_00003	1865	8567920	Charlie Thornhill; or, The Dunce of the Family.	Examiner	Clarke, Charles	1863.0	Charlie Thornhill;	2.203710113574905							
248	Aug 1818	20160127190414_00004	1818	8269632	19. A Letter to the Hon. and Right Rev. Henry Ryder, D.D. Lord Bishop of Gloucester, on the admission to Holy Orders of young Men, holding (what are commonly called) Evangelical Principles: to which is added, a Bio graphical Sketch of the late Rev. Archibald Maclaine, M. D.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	pseud. Fabius	1821.0	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	2.3580545454545456							
249	Sep 8, 1821	20160127230904_00011	1821	5150040	Ballantyne's Novelist's Library.	The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822		1821.0	Ballantyne's novelist's library	3.074390243902439							
250	Aug 3, 1907	20160127191440_00012	1907	6839544	A Woman Alone in the Heart of Japan.	The Academy, 1905-1910	Fisher, Gertrude Adams	1906.0	A woman alone in the heart of Japan	3.0507796096838486							
251	Feb 4, 1871	20160127192510_00019	1871	8688582	Walks in Rome.	The Athenaeum											
252	Apr 2, 1831	20160127230904_00011	1831	5121242	Destiny; or, the Chief's Daughter.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Ferrier, Susan	1831.0	Destiny; or, The chief's daughter	3.2729870129870133							
253	May 17, 1828	20160128000019_00002	1828	5216291	Chronicles of the Canongate.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Scott, Walter, Sir	1828.0	Chronicles of the Canongate	3.0225							
254	Oct 1809	20160127190414_00004	1809	8136537	119. Tales of Fashionable Life.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	Edgeworth, Maria	1809.0	Tales of fashionable life	2.3267521367521367							
255	Dec 12, 1896	20160127192201_00017	1896	6646505	THE METHODS OF MR. MORRISON.	The Academy, 1869-1902, 0269-333X	Carrel, Frederic	1908.0	The methods of Mr. Ames	2.1094831952117863							
256	Dec 15, 1855	20160127231314_00015	1855	5000709	The White Chief: a Legend of Northern Mexico.	The Critic	Reid, Mayne	1855.0	The white chief : a legend of northern Mexico	2.646942500636618							
257	Jul 1838	20160127224227_00003	1838	4700487	Woman's Wit; or Love's Disguises.	The Monthly Magazine											
258	May 5, 1866	20160127231108_00013	1866	4857235	Lizzie Lorton of Grey Rigge. A Novel in 3 Vols.	The Reader,  1863-1867	Linton, E. Lynn (Elizabeth Lynn)	1866.0	Lizzie Lorton of Greyrigg. A novel	3.005677444141138							
259	Apr 1840	20160127192508_00001	1840	4413453	MEMOIRS OF A STATE PRISONER.	New monthly magazine and humorist, Jan. 1837-Dec. 1852	Andryane, Alexandre Phillippe	1840.0	Memoirs of a prisoner of state in the fortess of Spielberg;	2.339306700379267							
260	Aug 6, 1864	20160127191439_00002	1864	4367166	THE BIGLOW PAPERS.	The London review of politics, society, literature, art, and science	Lowell, James Russell	1885.0	The Biglow papers	2.306666666666666							
261	Sep 18, 1847	20160127234659_00002	1847	4988858	VOYAGES AND TRAVELS.	Critic, 1844-1847		1838.0	Voyages and travels	2.580516934046346							
262	Jul 1894	20160127183628_00009	1894	3164185	A CRUEL DILEMMA.	The Bookman	Tennyson, Mary H	1894.0	A cruel dilemma	2.535							
263	Nov 9, 1872	20160128010329_00010	1872	8516519	THE POET AT THE BREAKFAST TABLE.	Examiner	Holmes, Oliver Wendell	1872.0	The poet at the breakfast-table	2.7576393326233584							
264	Sep 19, 1818	20160127230759_00009	1818	5165867	WOMAN; or Minor Maxims.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Thomas, Elizabeth	1818.0	Woman; or, Minor maxims	3.0593509700176367							
265	Nov 1897	20160127183628_00009	1897	3185657	THE MAKING OF A PRIG,	The Bookman	Sharp, Evelyn	1897.0	The making of a prig	2.698405797101449							
266	Dec 24, 1842	20160127230904_00011	1842	5151341	Narrative of a Yacht-Voyage in the Mediterranean during the Years 1840, 1841.	The Literary gazette : A weekly journal of literature, science, and the fine arts											
267	Nov 25, 1871	20160127191335_00001	1871	8671756	Mr. Pisistratus Brown, M.P., in the Highlands.	The Athenaeum	Black, William	1871.0	Mr. Pisistratus Brown, M.P., in the Highlands	3.54560971862517							
268	Sep 1800	20160127224227_00003	1800	4573989	The Works of Robert Burns.	The Critical review, or, Annals of literature	Burns, Robert	1824.0	The works of Robert Burns ;	3.0176335877862592							
269	Apr 1820	20160127191440_00012	1820	8231328	88. Letter to the Right Honourable the Earl of Harrowby, President of the Council, &c. &c. &c. on the Discovery of the late Atrocious Conspiracy. 8vo. pp. 30. Simpkin.	The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833	pseud. Fabius	1821.0	A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope	2.2907354037267083							
270	May 19, 1827	20160127230351_00004	1827	5210279	The Youth and Manhood of Cyril Thornton.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Hamilton, Thomas	1827.0	The youth and manhood of Cyril Thornton	3.60906015037594							
271	Aug 23, 1856	20160128002201_00008	1856	8425403	"It is Never Too Late to Mend."	Examiner	Reade, Charles	1856.0	It is never too late to mend : a matter of fact romance	2.3455860284194654							
272	Jul 1, 1820	20160127230351_00004	1820	5172631	A Voyage to Africa, with some account of the Manners and Customs of the Dahomian People.	The Literary gazette : A weekly journal of literature, science, and the fine arts											
273	Oct 9, 1880	20160127183934_00012	1880	6725887	Book review	The Academy, 1869-1902, 0269-333X											
274	Feb 4, 1837	20160128000123_00003	1837	5144978	Manuella, the Executioner's Daughter; a Story of Madrid.	The Literary gazette : A weekly journal of literature, science, and the fine arts	Smallwood, Edward	1837.0	Manuella, the executioner's daughter. A story of Madrid	3.515128205128205							
275	Nov 11, 1893	20160127192715_00011	1893	8921696	Mary Stuart.	The Athenaeum	Dumas, Alexandre	1895.0	Mary Stuart	2.1790977961432505							
276	Jun 1805	20160127234659_00002	1805	4655417	The Soldier's Return, or What can Beauty do? a comic Opera, in two Acts, as performed at the Theatre Royal, Drury-lane; the Music, with the Union Overture, entirely new.	Monthly magazine, or, British regster, Feb. 1800-June 1836	Opie, Amelia Alderson	1806.0	The soldier's return.  The brother and sister.  The revenge	2.5151142857142856							
277	Sep 1913	20160127190413_00011	1913	2434561	THE REPENTANCE OF DESTINY.	The English review,  1908-1937	Dinga, Shway	1913.0	The repentance of destiny	3.07036036036036							
