seq	RecordID	RecordTitle	PathID	Title	AlphaPubDate	PubYear	bookauthor	booktitle	bookdate	matchquality	isfiction	howpositive	genresnamed	comments
300	8905181	The Life of John William Colenso, D.D., Bishop of Natal.	20160127191335_00001	The Athenaeum	Mar 3, 1888	1888	Carmichael, Montgomery	The life of John William Walshe	1902	2.5994448208171947				
301	5892969	The Bride of the Wilderness.	20160127231721_00006	The New quarterly review and digest of current literature, British, American, French, and German	Jan 1855	1855	Bennett, Emerson	The bride of the wilderness	1854	2.8183333333333334				
302	6895308	The Drummer of the Dawn.	20160127190516_00005	The Academy and literature, 1910-1914	Jul 19, 1913	1913	Paton, Raymond	The drummer of the dawn	1913	2.769285714285714				
303	8986724	Lights and Shadows of Whigs and Tories.	20160127192510_00019	The Athenaeum	Mar 11, 1843	1843	Hall, S. C., Mrs	Lights and shadows of Irish life	1838	2.2290373626373627				
304	3172664	THE MISSOURIAN.	20160127185249_00003	The Bookman	Feb 1906	1906	Lyle, Eugene P. (Eugene Percy)	The Missourian	1905	2.3200000000000003				
305	8922201	The Odyssey of Homer.	20160127192510_00019	The Athenaeum	Dec 25, 1886	1886	Homer	The Odyssey of Homer	1879	2.563409090909091				
306	8728573	The House on the Moor.	20160127192053_00005	The Athenaeum	Dec 1, 1860	1860	Oliphant	The house on the moor	1861	2.6520202020202017				
307	8425403	It is Never Too Late to Mend.	20160128002201_00008	Examiner	Aug 23, 1856	1856	Reade, Charles	It is never too late to mend : a matter of fact romance	1856	2.3455860284194654				
308	8830517	Pro Patria.	20160127193122_00012	The Athenaeum	Apr 27, 1901	1901	Pemberton, Max, Sir	Pro patria	1901	2.643333333333333				
309	5241019	The Diary of a Desennuyee.	20160127234659_00002	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jul 9, 1836	1836	Gore, (Catherine Grace Frances), Mrs	The diary of a désennuyée	1836	2.1521142857142856				
310	2443156	East and West	20160127185757_00006	The English review,  1908-1937	Oct 1932	1932		East and West	1922	2.2517978395061733				
311	8849383	The Son of the Czar: an Historical Romance.	20160127191335_00001	The Athenaeum	Feb 12, 1898	1898	Graham, James M	The son of the czar. An historical romance	1897	2.5841531304709324				
312	8522823	The Italians.	20160128002408_00011	Examiner	Mar 6, 1875	1875	Elliot, Frances	The Italians	1875	2.3233333333333333				
313	4439336	Horse-Shoe Robinson.	20160127232936_00002	Tait's Edinburgh magazine	Aug 1835	1835	Kennedy, John Pendleton	Horse-shoe Robinson	1835	2.7361290322580647				
314	5003408	Narrative of a Captivity, Escape, and Adventures in France and Flanders, during the War.	20160127230657_00008	The Critic	Dec 1863	1863	Kelly, Fanny	Narrative of my captivity among the Sioux Indians	1871	2.2478728077023162				
315	8915440	The Crusade of the Excelsior.	20160127191542_00003	The Athenaeum	Jul 30, 1887	1887	Harte, Bret	The crusade of the 'Excelsior'	1887	2.3566				
316	6770383	The Standard Bearer.	20160127190619_00006	The Academy, 1869-1902, 0269-333X	May 7, 1898	1898	Crockett, S. R. (Samuel Rutherford)	The standard bearer	1898	2.836666666666667				
317	5125652	The Outlaw.	20160127234700_00003	The Literary gazette : A weekly journal of literature, science, and the fine arts	Dec 5, 1835	1835	Hall, S. C., Mrs	The outlaw	1835	2.11				
318	8689269	Arthur Coningsby, a Novel.	20160127192200_00007	The Athenaeum	Jan 26, 1833	1833	Sterling, John	Arthur Coningsby	1833	2.221102597901906				
319	3220152	HUNGRY HEARTS.	20160127183730_00010	The Bookman	Sep 1922	1922	Yezierska, Anzia	Hungry hearts	1920	2.3603418803418803				
320	3184714	THE FUGITIVE BLACKSMITH.	20160127185900_00007	The Bookman	May 1905	1905	Stewart, Charles D. (Charles David)	The fugitive blacksmith	1905	2.9728571428571433				
321	3237215	BEYOND LIFE.	20160127191129_00016	The Bookman	Nov 1925	1925	Cabell, James Branch	Beyond life	1927	2.169156762874929				
322	3198556	THE MORE EXCELLENT WAY.	20160127185249_00003	The Bookman	May 1917	1917	Brady, Cyrus Townsend	The more excellent way : being the determinative episodes in the life of Chrissey De Sleden, hedonist	1916	2.676758187338258				
323	5150535	Narrative of the Recent War in Affghanistan, &c.	20160128000123_00003	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jun 25, 1842	1842	Scott, John L	Narrative of a recent imprisonment in China after the wreck of the Kite	1842	2.151444155844156				
324	5250810	Standard Novels.	20160128000328_00006	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jun 26, 1841	1841		Standard novels	1839	2.5119493177387917				
325	4846155	Reaping the Whirlwind.	20160127230555_00007	The Reader,  1863-1867	Dec 24, 1864	1864	Daniel	Reaping the whirlwind. A novel	1864	2.4589382482671707				
326	8966924	Merry Andrew.	20160127190619_00006	The Athenaeum	Jul 10, 1915	1915	Weir, Florence (Roney), Mrs	Merry Andrew	1918	2.2055913978494623				
327	9435979	Elementary Treatise on Physics (translated from Ganot).	20160127192508_00001	The Athenaeum	Jan 19, 1867	1867	Heather, John Fry	An elementary treatise on descriptive geometry	1851	2.373447619047619				
328	5236106	The Life of the Rev. Rowland Hill, A.M.	20160127230454_00006	The Literary gazette : A weekly journal of literature, science, and the fine arts	Aug 2, 1834	1834		The life of the Rev. John Wesley / by Richard Watson.-- The life of William Cowper ... / by Thomas Taylor.-- The life of the Rev. Thomas Spencer ... / by Thomas Raffles.-- The life of Philip Melancthon ... / by Francis Augustus Cox.-- Memoirs of the late Rev. Samuel Pearce ... / by Andrew Fuller	1834	2.237397370727432				
329	6368846	BETTER DEAD.	20160127231721_00006	Time	May 1888	1888	Barrie, J. M. (James Matthew)	Better dead	1888	2.26013986013986				
330	9260796	The Dayspring.	20160127192713_00002	The Athenaeum	Sep 19, 1903	1903	Barry, William Francis	The Dayspring	1904	2.3633333333333333				
331	9017638	Charles Dickens.	20160127193122_00012	The Athenaeum	Sep 15, 1906	1906	Moses, Belle	Charles Dickens	1912	2.2151949453856066				
332	3317515	THE DARK ISLAND.	20160127182915_00001	The Bookman	Dec 1934	1934	Sackville-West, V. (Victoria)	The dark island	1936	2.323844974609562				
333	5001123	Horatio Howard Brenton: a Naval Novel.	20160127230657_00008	The Critic	Aug 15, 1856	1856	Belcher, Edward, Sir	Horatio Howard Brenton	1856	2.4692920735519195				
334	9141620	The Life of Benvenuto Cellini.	20160127191335_00001	The Athenaeum	Dec 31, 1887	1887	Cellini, Benvenuto	The life of Benvenuto Cellini	1888	3.5279166666666666				
335	5251527	Incidents of Travel in Central America, Chiapas, and Yucatan.	20160127230657_00008	The Literary gazette : A weekly journal of literature, science, and the fine arts	Jul 31, 1841	1841	Stephens, John L	Incidents of travel in Egypt, Arabia Petræa, and the Holy Land	1843	2.4194136200716847				
336	3208814	THE PIRATES OF THE SKY.	20160127180954_00001	The Bookman	Dec 1916	1916	Gaillard, Stephen	The pirates of the sky ; a tale of modern adventure	1915	2.3501279043877505				
337	6432989	THE DEAN AND HIS DAUGHTER.	20160127233039_00003	Time	Nov 1887	1887	Philips, F. C	The dean and his daughter	1887	2.9200320014876238				
338	8436934	Margaret Ravenscroft, or Second Love.	20160127191130_00009	The Gentleman's Magazine: and historical review, July 1856-May 1868	Apr 1836	1836	St. John, James Augustus	Margaret Ravenscroft, or, Second love	1835	3.157994275000291				
339	3331389	MEMOIRS OF THE MARQUISE DE LA ROCHEJAQUELEIN.	20160127190721_00014	The Bookman	Apr 1933	1933	marquise de, pseud. Keroubec, Yvonne	The memoirs of the Marquise de Keroubec (1785-1859): being extracts from her diaries now presented to English readers for the first time	1927	2.3440843205574917				
340	5253333	The Rhine; Legends, Traditions, History.	20160128000429_00007	The Literary gazette : A weekly journal of literature, science, and the fine arts	May 19, 1838	1838	Snowe, Joseph	The Rhine, legends, traditions, history, from Cologne to Mainz	1839	2.5394964919301053				
341	9427040	Sir Jasper's Tenant.	20160127192611_00010	The Athenaeum	Oct 21, 1865	1865	Braddon, M. E. (Mary Elizabeth)	Sir Jasper's tenant	1865	2.912182890855457				
342	3223238	A HIGH WIND IN JAMAICA.	20160127190721_00014	The Bookman	Nov 1929	1929	Hughes, Richard Arthur Warren	A high wind in Jamaica	1929	2.9035108211281955				
343	6701481	Memories and Portraits.	20160127192405_00018	The Academy, 1869-1902, 0269-333X	Jan 7, 1888	1888	Stevenson, Robert Louis	Memories and portraits	1887	2.69				
344	8905012	The Poacher's Wife.	20160127191542_00003	The Athenaeum	Nov 10, 1906	1906	Phillpotts, Eden	The poacher's wife	1906	2.769662447257384				
345	9459883	Legends of Number Nip.	20160127193122_00012	The Athenaeum	Mar 4, 1865	1865	Mus?_us, Johann Karl August	Legends of Number Nip	1864	3.075396825396825				
346	3224988	MOORDIUS & CO.	20160127190825_00015	The Bookman	Dec 1923	1923	Locke, William John	Moordius & Co	1923	2.182730158730158				
347	3154620	MR. BAILEY-MARTIN.	20160127190105_00008	The Bookman	Feb 1894	1894	White, Percy	Mr. Bailey-Martin	1900	2.6288581952117864				
348	4965572	VOYAGES AND TRAVELS.	20160127235005_00006	Critic, 1844-1847	Aug 9, 1845	1845		Voyages and travels	1838	2.580516934046346				
349	3172791	THE SIGNAL AND OTHER STORIES.	20160127190105_00008	The Bookman	Jun 1912	1912	Garshin, V. M. (Vsevolod Mikhaĭlovich)	The signal and other stories	1916	2.9041245767744397				
350	8871209	An Elementary Treatise on Musical Intervals and Temperament, with an Account of an Enharmonic Harmonium exhibited in the Loan Collection of Scientific Instruments, South Kensington, 1876; also of an Enharmonic Organ exhibited to the Musical Association of London, May, 1875.	20160127192157_00006	The Athenaeum	Mar 17, 1877	1877	Heather, John Fry	An elementary treatise on descriptive geometry	1851	2.7457142857142856				
351	9138160	THE HOUSE BY THE RIVER.	20160127191542_00003	The Athenaeum	Oct 8, 1920	1920	Herbert, A. P. Sir, (Alan Patrick)	The house by the river	1921	2.7526669611348065				
352	3230857	DAPHNE ADEANE.	20160127185757_00006	The Bookman	Dec 1926	1926	Baring, Maurice	Daphne Adeane	1927	2.6542424242424243				
353	9159928	The History and Pleasant Chronicle of Little Jehan de Saintre and the Lady of the Fair Cousins, without being otherwise named.	20160127192407_00009	The Athenaeum	Aug 15, 1868	1868	La Sale, Antoine de	The history and pleasant chronicle of little Jehan de Saintré, and of the lady of the Fair Cousins without being any otherwise named;	1868	3.4927702325061483				
