"abbreviation"	"title"
"Acad"	"Academy"
"Acad. (Syr.) "	"Academy, Syracuse, N.Y."
"All the Year"	"All the Year Round"
"Am. Alma"	"American Almanac"
"Am. Antiq."	"American Antiquarian"
"Am. Arch."	"American Architect"
"Am. Hist. Rec."	"American Historical Record"
"Am. Hist. Reg."	"American Historical Register"
"Am. J. Phil."	"American Journal of Philology"
"Am. Lit. M."	"American Literary Magazine"
"Am. M."	"American Magazine"
"Am. Mo. M."	"American Monthly Magazine"
"Am. Natural"	"American Naturalist"
"Am. Q."	"American Quarterly Review"
"Am. Q. Obs."	"American Quarterly Observer"
"Am. Q. Reg."	"American Quarterly Register"
"Am. Whig R."	"American Whig Review"
"Amer."	"American, Phil"
"Anal. M."	"Analectic Mgazine"
"And. R."	"Andover Review"
"Ann. Reg."	"American Annual Register"
"Antiquary"	"Antiquary"
"Appleton"	"Appleton’s Journal"
"Appleton’s M."	"Appleton’s Magazine"
"Archit. R."	"Architectural Review"
"Argosy"	"Argosy"
"Art J."	"Art Journal"
"Artist (N. Y.)"	"Artist (New York Edition)"
"Ath."	"Athenaeum"
"Atlan."	"Atlantic Monthly"
"Author"	"Author"
"Bach. Of Arts"	"Bachelor of Arts"
"Bank. M. (L.)"	"Bankers’ Magazine (London)"
"Bay State Mo."	"Bay State Monthly"
"Belgra."	"Belgravia"
"Bent. Q."	"Bentley’s Quarterly Review"
"Bentley"	"Bentley’s Miscellany"
"Bibliog."	"Bibliographer"
"Bk. Buyer"	"Book Buyer"
"Bk. News"	"Book News"
"Blackw."	"Blackwood’s Magazine"
"Book R."	"Book Reviews"
"Book Lore"	"Book Lore"
"Booklover’s M."	"Booklover’s Magazine"
"Bookman"	"Bookman"
"Bookworm"	"Bookworm"
"Bost."	"Bostonian"
"Bost. Mo."	"Boston Monthly Magazine"
"Bost. Q."	"Boston Quarterly Review"
"Bost. R."	"Boston Review"
"Br. Alma. Comp."	"British Almanac and Companion"
"Brit. & For. R."	"British and Foreign Review."
"Brit. Lib. Assoc."	"Monthly notes; Library Association of the United Kingdom."
"Brit. Q."	"British Quarterly Review"
"Broadw."	"Broadway"
"Brownson"	"Brownson’s Quarterly Review"
"Brush & P."	"Brush and Pencil"
"Calif. M."	"Californian Illustrated Magazine"
"Canad. M."	"Canadian Magazine"
"Canad. Mo."	"Canadian Monthly"
"Carey’s Mus."	"Carey’s American Museum"
"Cassier"	"Cassier’s Magazine"
"Cent."	"Century"
"Chamb. J."	"Chambers’s Edinburgh Journal"
"Char."	"Charities"
"Chr. Obs."	"Christian Observer"
"Chr. Q. Spec."	"Christian Quarterly Spectator"
"Colburn"	"Colburn’s New Monthly Magazine"
"Colum. Univ. Q."	"Columbia University Quarterly"
"Cong. M."	"Congregational Magazine"
"Conserv. R."	"Conservative Review"
"Contemp."	"Contemporary Review"
"Contin. Mo."	"Continental Monthly"
"Cornh."	"Cornhill Magazine"
"Cosmopol."	"Cosmopolitan"
