"category"	"count"
"english fiction"	479
"bibliographies"	279
"history"	259
"juvenile audience"	228
"social life and customs"	115
"novel"	99
"american fiction"	90
"containsbiogmaterial"	87
"description and travel"	84
"folklore"	82
"england"	73
"great britain"	60
"notbiographical"	54
"19th century"	50
"autobiography"	48
"juvenile literature"	47
"united states"	47
"world war, 1914-1918"	46
"juvenile fiction"	45
"biography"	42
"fairy tales"	41
"short stories"	41
"france"	32
"scottish authors"	28
"publishers' cloth bindings (binding)"	27
"historical fiction"	27
"women"	27
"love stories"	26
"new york (state)"	25
"civil war, 1861-1865"	24
"translations into english"	24
"legends"	23
"english literature"	23
"new york"	22
"publishers' advertisements"	21
"isbiographical"	20
"irish fiction"	20
"scotland"	19
"domestic fiction"	19
"conduct of life"	17
"animals"	16
"adventure stories"	15
"tales"	15
"country life"	14
"india"	14
"man-woman relationships"	13
"germany"	13
"revolution, 1775-1783"	13
"bookplates (provenance)"	13
"ireland"	13
"revolution, 1789-1799"	13
"provenance"	13
"australia"	12
"american literature"	12
"hunting"	12
"children's stories, english"	12
"british"	12
"autographs (provenance)"	11
"soviet union"	11
"young women"	11
"dogs"	11
"anecdotes"	11
"king of england"	11
"inheritance and succession"	11
"utopias"	11
"frontier and pioneer life"	10
"war stories"	10
"indians of north america"	10
"mystery and detective fiction"	10
"jews"	10
"london"	10
"western stories"	9
"boys"	9
"in literature"	9
"dickens, charles"	9
"dime novels"	9
"shakespeare, william"	9
"20th century"	9
"1812-1870"	9
"children's stories"	9
"imaginary voyages"	9
"history and criticism"	9
"drama"	9
"social conditions"	9
"italy"	9
"1564-1616"	9
"travel"	8
"ghost stories"	8
"emperor of the french"	8
"satire"	8
"new england"	8
"colonial period, ca. 1600-1775"	8
"young men"	8
"english wit and humor"	8
"1769-1821"	8
"napoleon"	8
"african americans"	7
"1815-1882"	7
"1819-1880"	7
"families"	7
"mixed"	7
"sisters"	7
"orphans"	7
"science fiction"	7
"london (england)"	7
"clergy"	7
"translations"	7
"juvenile works"	7
"married people"	7
"natural history"	7
"fishing"	7
"christmas stories"	7
"eliot, george"	7
"slavery"	7
"mystery fiction"	7
"authors"	7
"upper class"	7
"romances"	7
"presentation inscriptions (provenance)"	6
"poetry"	6
"manners and customs"	6
"louis xiv, 1643-1715"	6
"massachusetts"	6
"crusades"	6
"detective and mystery stories"	6
"russian fiction"	6
"french fiction"	6
"german fiction"	6
"southern states"	6
"court and courtiers"	6
"napoleonic wars, 1800-1815"	6
"marriage"	6
"civil war, 1642-1649"	6
"bildungsromane"	6
"short stories, english"	6
"seafaring life"	6
"ink stamps (provenance)"	6
"psychological fiction"	6
"farm life"	6
"russia"	6
"social classes"	6
"animal behavior"	5
"serbia"	5
"fathers and daughters"	5
"trollope, anthony"	5
"poor families"	5
"french and indian war, 1754-1763"	5
"franco-prussian war, 1870-1871"	5
"australian fiction"	5
"gold discoveries"	5
"interpersonal relations"	5
"italian fiction"	5
"politics and government"	5
"thackeray, william makepeace"	5
"nn-bgc"	5
"norway"	5
"city and town life"	5
"criminals"	5
"pictorial cloth bindings (binding)"	5
"children"	5
"fantasy fiction"	5
"boston"	5
"canada"	5
"reformation"	5
"working class"	5
"didactic fiction"	5
"personal narratives"	5
"bildungsromans"	5
"1811-1863"	5
"illustrated works"	5
"christian fiction"	5
"china"	5
"triangles (interpersonal relations)"	5
"bookplate"	5
"religion"	5
"humorous stories"	5
"social problems"	5
"virginia"	5
"race relations"	5
"mythology, classical"	4
"charles ii, 1660-1685"	4
"denmark"	4
"political fiction"	4
"illegitimate children"	4
"tr"	4
"detective and mystery stories, english"	4
"barsetshire (england : imaginary place)"	4
"charles"	4
"theater"	4
"fiction, english"	4
"maori (new zealand people)"	4
"1412-1431"	4
"james"	4
"sepoy rebellion, 1857-1858"	4
"chicago"	4
"wars of independence, 1556-1648"	4
"library"	4
"canadian fiction"	4
"18th century"	4
"fantasy fiction, english"	4
"pastoral fiction"	4
"of arc, saint"	4
"church history"	4
"commonwealth and protectorate, 1649-1660"	4
"south africa"	4
"americans"	4
"new zealand"	4
"baron"	4
"autobiographical fiction"	4
"adaptations"	4
"huguenots"	4
"south african war, 1899-1902"	4
"voyages, imaginary"	4
"17th century"	4
"oceania"	4
"discovery and exploration"	4
"peninsular war, 1807-1814"	4
"sea stories"	4
"castaways"	4
"celts"	4
"christian pilgrims and pilgrimages"	4
"shipwrecks"	4
"dictionary"	4
"joan"	4
"american essays"	4
"readers"	4
"earl of"	4
"dictionaries, indexes, etc"	4
"shipwreck survival"	4
"william"	4
"spy stories"	4
"mary"	4
"japan"	4
"voyages and travels"	4
"inscriptions (provenance)"	4
"humor"	4
"artists"	4
"mrs"	4
"girls"	4
"mothers and sons"	4
"campaigns"	4
"california"	4
"mistaken identity"	3
"kings and rulers"	3
"revolution"	3
"men"	3
"french and indian war, 1755-1763"	3
"primitive and early church, ca. 30-600"	3
"michigan"	3
"west (u.s.)"	3
"europe"	3
"mythology, norse"	3
"henry"	3
"poland"	3
"employment"	3
"b. 1431"	3
"turkey"	3
"waterloo, battle of, waterloo, belgium, 1815"	3
"allegories"	3
"tobacco"	3
"eskimos"	3
"supernatural"	3
"bees"	3
"voyages around the world"	3
"1788-1824"	3
"villon, françois"	3
"iii"	3
"ii"	3
"queen of scots"	3
"french literature"	3
"dakota indians"	3
"second empire, 1852-1870"	3
"louis xvi, 1774-1793"	3
"christianity"	3
"(ocolc)fst00930306"	3
"spain"	3
"1542-1587"	3
"typefaces (type evidence)"	3
"rome"	3
"nobility"	3
"henry iv, 1589-1610"	3
"louis xi, 1461-1483"	3
"king of france"	3
"rich people"	3
"indexes"	3
"swedish fiction"	3
"conquest, 1519-1540"	3
"quakers"	3
"gold mines and mining"	3
"correspondence"	3
"legends and stories"	3
"collections"	3
"remarried people"	3
"personal copy"	3
"ghosts"	3
"married women"	3
"plantation life"	3
