author	bookid	bpoids	genres	htrcids	subjects	title
 Fitzatherley Mrs	B0	{5237620, 9338882, 6189308}		{'uc1.b3322058', 'uc1.b3322059'}		Our town or Rough sketches of character manners  c
 Fitzatherley Mrs	B1	{5237620, 9338882, 6189308}		{'uc1.b3322058', 'uc1.b3322059'}		Our town or Rough sketches of 
A L O E	B10	{9464514}		{'inu.39000002909047'}		The crown of success  or Four heads to furnish  a tale  by A L O E ie C M Tucker
Allen James Lane	B100	{8850699, 3167781, 6786359}		{'nyp.33433082168851'}	{'American fiction'}	The choir invisible
Banks Nancy Huston	B1000	{9013447}		{'uc2.ark+=13960=t9w08zk8f'}	{'Kentucky'}	Round Anvil Rock
Brainerd Eleanor Hoyt Mrs	B1001	{3202960}		{'uc2.ark+=13960=t9w08zn7v'}		The personal conduct of Belinda
Bell John	B1002	{8951701}		{'uc2.ark+=13960=t9w09303f'}		In the shadow of the bush
Barr Robert	B1003	{6820268, 8928022}		{'uc2.ark+=13960=t9x060g3n'}		A rock in the Baltic
Burnett Frances Hodgson	B1004	{8968211}		{'uc2.ark+=13960=t9z030k35'}		A lady of quality
Bacon Frank	B1005	{3220919}		{'uc2.ark+=13960=t9z030r6v'}		Lightnin
Brooke Emma	B1006	{9398824, 6769497}		{'uiuo.ark+=13960=t9377n37v', 'uiuo.ark+=13960=t00z7fj6j', 'uiuo.ark+=13960=t0js9xt9c'}	{'823B7914L'}	Life the accuser
Byron Henry J	B1007	{8481282}		{'uiuo.ark+=13960=t01z4gh18', 'uiuo.ark+=13960=t7vm4j15p', 'uiuo.ark+=13960=t9474p24j'}		Paid in full
Bird Frederick Spencer	B1008	{8538998}		{'uiuo.ark+=13960=t06w9ms37', 'uiuo.ark+=13960=t4vh5t775', 'uiuo.ark+=13960=t11n8c67k'}		Stonedell Lodge
Banks G Linnaeus George Linnaeus Mrs	B1009	{9466440, 4854310}		{'uiuo.ark+=13960=t0dv1sx9g', 'uiuo.ark+=13960=t1zc8641b', 'uiuo.ark+=13960=t58d05r35'}		Gods providence house
Aitken Robert	B101	{3184145, 8937423}		{'nyp.33433082170295'}		The lantern of luck
Braddon M E Mary Elizabeth	B1010	{8586151}		{'uiuo.ark+=13960=t43r1dd5j', 'uiuo.ark+=13960=t0gt64r1p', 'uiuo.ark+=13960=t4gm8r74n'}		An open verdict
Banim John	B1011	{4443960, 4455356}		{'uiuo.ark+=13960=t0zp49609', 'uiuo.ark+=13960=t0ks6zb9p', 'uiuo.ark+=13960=t55d9316v'}	{'Irish fiction'}	Father Connell
Braddon M E Mary Elizabeth	B1012	{2723695}		{'uiuo.ark+=13960=t5w672k9r', 'uiuo.ark+=13960=t0ns1bz53', 'uiuo.ark+=13960=t1hh7488n'}		Robert Ainsleigh
Beale Anne	B1013	{8653308}		{'uiuo.ark+=13960=t9g450k2g', 'uiuo.ark+=13960=t0wq0877x', 'uiuo.ark+=13960=t6057vg1x'}		Country landlords
BaringGould S Sabine	B1014	{9378348}		{'uiuo.ark+=13960=t85h7tc1q', 'uiuo.ark+=13960=t7wm1k69f', 'uiuo.ark+=13960=t13n2fg6v'}		Mrs Curgenven of Curgenven
Braddon M E Mary Elizabeth	B1015	{8525567}		{'uiuo.ark+=13960=t19k4w11x', 'uiuo.ark+=13960=t4vh62w7z', 'uiuo.ark+=13960=t1bk1x14z'}		Lost for love
Braddon M E Mary Elizabeth	B1016	{4382338, 8660239}		{'uiuo.ark+=13960=t44q8f849', 'uiuo.ark+=13960=t19k4w526', 'uiuo.ark+=13960=t5s75x520'}	{'823M464CH'}	Charlottes inheritance
Blackmore R D Richard Dooddridge	B1017	{2719549}		{'uiuo.ark+=13960=t3417nr8f', 'uiuo.ark+=13960=t1cj9370s'}		Clara Vaughan
Blondel Parva	B1018	{4382380}		{'uiuo.ark+=13960=t4jm2ww1q', 'uiuo.ark+=13960=t1dj62q38'}		Blondel Parva A novel
Boyle Mary Louisa	B1019	{4701447}		{'uiuo.ark+=13960=t1fj34j50'}	{'France', 'History', 'Regency, 1715-1723'}	The state prisoner
Aitken Robert	B102	{6821792}		{'nyp.33433082170303'}		The Golden Horseshoe
BaringGould S Sabine	B1020	{6424627}		{'uiuo.ark+=13960=t3ws8z39x', 'uiuo.ark+=13960=t8x92gd2c', 'uiuo.ark+=13960=t1ng4x554'}	{'823B238R'}	Richard Cable the lightshipman
Barry William Francis	B1021	{6432914}		{'uiuo.ark+=13960=t1pg1z41b', 'uiuo.ark+=13960=t2988h62s', 'uiuo.ark+=13960=t3nv9qx3s'}		The new Antigone
Beale Anne	B1022	{8562696, 9449502}		{'uiuo.ark+=13960=t22b98x45', 'uiuo.ark+=13960=t6j109x31', 'uiuo.ark+=13960=t88g8wg3t'}		Nothing venture nothing have
Besant Walter Sir	B1023	{8814809}		{'uiuo.ark+=13960=t39z9g788', 'uiuo.ark+=13960=t5bc48z0f', 'uiuo.ark+=13960=t22b9b93f'}		The rebel queen
Banks Henry Nugent	B1024	{4378136}		{'uiuo.ark+=13960=t5k93fq8b', 'uiuo.ark+=13960=t2g73nd5w', 'uiuo.ark+=13960=t2988gx8p'}		Melchior Gorles
Bell Emily Ernst	B1025	{8512257}		{'uiuo.ark+=13960=t3bz6fw2n', 'uiuo.ark+=13960=t4kk9k18s', 'uiuo.ark+=13960=t2988h60t'}		A first appearance
Briefless Jeremiah	B1026	{8654143}		{'uiuo.ark+=13960=t2t43zn1w', 'uiuo.ark+=13960=t2k64rc7m'}		Maidenthorpe or Interesting events about the year 1825
Besant Walter Sir	B1027	{8521310}		{'uiuo.ark+=13960=t7wm1m15p', 'uiuo.ark+=13960=t59c7824j', 'uiuo.ark+=13960=t2p55w88c'}		With harp and crown
BaringGould S Sabine	B1028	{6464300}		{'uiuo.ark+=13960=t2r49wr31', 'uiuo.ark+=13960=t3mw2pz6n'}	{'823B238RE'}	Red spider
Blaze de Bury Marie Pauline Rose	B1029	{8775740, 8978893}		{'uiuo.ark+=13960=t7zk5np7c', 'uiuo.ark+=13960=t3029590t'}		All for greed
Armstrong Harold H Harold Hunter	B103	{8863890}		{'nyp.33433082170477'}		For richer for poorer
Braddon M E Mary Elizabeth	B1030	{9447238}	{'Bibliographies'}	{'uiuo.ark+=13960=t3gx4v10k', 'uiuo.ark+=13960=t3029cs0k', 'uiuo.ark+=13960=t71v61w5d'}	{'823M464LA1862'}	Lady Audleys secret
Braddon M E Mary Elizabeth	B1031	{8811498}		{'uiuo.ark+=13960=t4bp0pd11', 'uiuo.ark+=13960=t9377zj20', 'uiuo.ark+=13960=t3223hf8z'}		All along the river
Barrett Frank	B1032	{8801879}		{'uiuo.ark+=13960=t3dz0j89j'}		The Harding scandal
Brierly B	B1033	{4851332}		{'uiuo.ark+=13960=t7jq18c0j', 'uiuo.ark+=13960=t3hx1n127'}		Irkdale or The odd house in th
Bayley F W N	B1034	{6115578}		{'uiuo.ark+=13960=t4nk3mt8v', 'uiuo.ark+=13960=t3kw5p40t'}	{'Prisons', 'Great Britain', 'Debt, Imprisonment for', 'London', 'England'}	Scenes and stories
Banks G Linnaeus George Linnaeus Mrs	B1035	{8625800}		{'uiuo.ark+=13960=t7sn0fs60', 'uiuo.ark+=13960=t5db89891', 'uiuo.ark+=13960=t3mw2pv1w'}		Wooers and winners or Under the scars
Braddon M E Mary Elizabeth	B1036	{8511519}		{'uiuo.ark+=13960=t6h13jw1b', 'uiuo.ark+=13960=t9p27dz0b', 'uiuo.ark+=13960=t3qv42c6x'}	{'823M464F'}	Fentons quest
Blake Louise Pilkington	B1037	{8591082}		{'uiuo.ark+=13960=t5t72p66n', 'uiuo.ark+=13960=t3st7vh4p', 'uiuo.ark+=13960=t41r72r9g'}		Mrs Greys reminiscences
Braddon M E Mary Elizabeth	B1038	{9427040, 4372130, 8578115}		{'uiuo.ark+=13960=t8w95qf50', 'uiuo.ark+=13960=t9960352k', 'uiuo.ark+=13960=t3tt5591t'}	{'823M464SI'}	Sir Jaspers tenant
Black William	B1039	{8950977, 3173323, 6493493, 8700999}		{'uiuo.ark+=13960=t41r72r7h', 'uiuo.ark+=13960=t3xs6030j'}		The strange adventures of a ph
Arthur T S Timothy Shay	B104	{8631605, 8506711}		{'nyp.33433082170535'}	{'Married people', 'American fiction', 'Man-woman relationships'}	The good time coming
Bray	B1040	{5807406, 5144264, 8431022, 4696118, 8778591}		{'uiuo.ark+=13960=t7np2bf9k', 'uiuo.ark+=13960=t3xs6038d', 'uiuo.ark+=13960=t7mp59j8v'}		Warleigh or The fatal oak
Braddon M E Mary Elizabeth	B1041	{8622297}		{'uiuo.ark+=13960=t6rx9sv16', 'uiuo.ark+=13960=t6j10ks03', 'uiuo.ark+=13960=t42r4c855'}		Dead mens shoes
Barrowcliffe A J	B1042	{8769439}		{'uiuo.ark+=13960=t45q5jz8m', 'uiuo.ark+=13960=t8gf1fh3r', 'uiuo.ark+=13960=t9q24jn9g'}		Trust for trust
Black William	B1043	{8817717}		{'uiuo.ark+=13960=t48p69281', 'uiuo.ark+=13960=t9668qp3b'}		The handsome Humes
Baldwin Alfred	B1044	{3162109}		{'uiuo.ark+=13960=t4cn7cf97', 'uiuo.ark+=13960=t5s75n27r'}		Richard Dare
Braddon M E Mary Elizabeth	B1045	{4383185}		{'uiuo.ark+=13960=t4cn7np5r', 'uiuo.ark+=13960=t7rn3q28p', 'uiuo.ark+=13960=t96690h86'}		Deadsea fruit
Braddon M E Mary Elizabeth	B1046	{8592004}		{'uiuo.ark+=13960=t4gm8r25w', 'uiuo.ark+=13960=t9x06n58w', 'uiuo.ark+=13960=t8v98pc5h'}		The Lovels of Arden
Bride	B1047	{6176712}		{'uiuo.ark+=13960=t6nz8ts84', 'uiuo.ark+=13960=t8w95tv82', 'uiuo.ark+=13960=t4th95k4j'}		The bride elect a novel
Besant Walter Sir	B1048	{8982359}		{'uiuo.ark+=13960=t9z03d97g', 'uiuo.ark+=13960=t5bc47r1t', 'uiuo.ark+=13960=t5t72p82m'}		The golden butterfly
Belfast Frederick Richard Chichester	B1049	{9025299, 8502038}		{'uiuo.ark+=13960=t6h13b63v', 'uiuo.ark+=13960=t87h1wq97'}		Two generations or Birth parentage and education
Aldrich Thomas Bailey Mrs	B105	{8525908}		{'nyp.33433082170881'}		Prudence Palfrey A novel
Bojer Johan	B1050	{8902161}		{'uiuo.ark+=13960=t7fq9th7f'}		The power of a lie
Besant Walter Sir	B1051	{3181216}		{'uiuo.ark+=13960=t7kp8952v', 'uiuo.ark+=13960=t8x92h03w'}		The master craftsman
Banim Michael	B1052	{8780768, 6191547}		{'uiuo.ark+=13960=t7vm4hj9x', 'uiuo.ark+=13960=t8x92g77j', 'uiuo.ark+=13960=t82j6px37'}	{'English fiction', 'Irish authors', '19th century'}	The mayor of WindGap  and Canvassing
Buchanan Robert Williams	B1053	{3168481}		{'uiuo.ark+=13960=t8gf13m8c', 'uiuo.ark+=13960=t8v98ff5h'}		The charlatan
Bunbury Selina	B1054	{8722357}		{'uiuo.ark+=13960=t9d50xj8x', 'uiuo.ark+=13960=t9g450b9q'}		Sir Guy dEsterre
Bunbury Selina	B1055	{8607660}		{'umn.31951001417012t'}	{'Description and travel'}	Life in Sweden with excursions in Norway and Denmark
Brown Alice	B1056	{8927923}		{'umn.31951001999176e'}		The story of Thyrza
Bell Neil	B1057	{3312084}		{'umn.31951002098874e'}		The spice of life
Benson Stella	B1058	{3221687}		{'uva.x000055897'}		The poor man
