author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Brown Vincent	B1137	{3150377, 6777146}		{'mdp.39015063543535'}		My brother a novel	1896
Moore Frank Frankfort	B5193	{3193292}		{'coo.31924013526011'}		The food of love	1909
Manning Anne	B5454	{4455540}	{'ContainsBiogMaterial'}	{'mdp.39015013269298', 'nyp.33433074895347'}	{'1478-1535', 'More, Thomas', 'Sir, Saint', '1505-1544', 'Saint', 'Roper, Margaret'}	The household of Sir Thomas More	1852
Grand Duke Michael Michaelowitch	B3144	{8936884}		{'nyp.33433074901889'}	{'English fiction'}	Never say die	1908
London Jack	B5066	{3278203, 9012838}	{'Bibliographies'}	{'mdp.39015005383511'}		The call of the wild White fan	1916
Glyn Elinor	B3277	{8978958}		{'uc2.ark+=13960=t6nz87w9x'}		The man and the moment	1914
Symonds Margaret	B7579	{3163393, 6736772}		{'uc1.$b517100'}	{'Description and travel'}	Days spent on a doges farm	1893
Malet Lucas	B5277	{8880211, 6788507}	{'Novel', 'ContainsBiogMaterial'}	{'mdp.39015026502941'}		The history of Sir Richard Calmady a romance	1901
Brydges Egerton Sir	B647	{8208144}		{'nyp.33433074931183'}		Sir Ralph Willoughby an historical tale of the sixteenth century In which are inserted the dedicatory sonnets of Edmund Spenser with sketches of character	1820
Deland Margaret Wade Campbell	B2460	{8919719}		{'mdp.39015012372374'}		The awakening of Helena Richie	1906
Fowler Ellen Thorneycroft	B2661	{3269588, 9296813}		{'coo.31924013613983', 'uva.x030765281'}		In subjection	1906
Loti Pierre	B4975	{8843788}		{'uc2.ark+=13960=t6j09xx9f'}		Ramuntcho	1897
White Percy	B8445	{9279243, 6831660}		{'coo.31924013237981', 'coo.31924064998069'}		The system	1905
Tracy Louis	B8124	{9503811}		{'nyp.33433075765549'}		The house round the corner	1919
Atherton Gertrude Franklin Horn	B16	{6812816}		{'mdp.39015005125573'}		The splendid idle forties  stories of old California	1902
Harrison Burton Mrs	B3878	{3178069}		{'uc2.ark+=13960=t2h708917'}		A bachelor maid	1894
Bennett Arnold	B1249	{8898722}		{'uc1.b3796889'}		Helen with the high hand an id	1910
Mason A E W Alfred Edward Woodley	B5650	{3174172, 8922022}		{'uc1.b4103139'}		The broken road	1907
Atherton Gertrude Franklin Horn	B45	{6800721, 9412306}		{'njp.32101064786278'}		The Californians	1898
Macdonald Alexander	B5928	{6691507}	{'Autobiography'}	{'uc1.b3820828'}		In the land of pearl and gold 	1907
Ouida	B6276	{6653074, 8530443}		{'nyp.33433074959630'}		Two little wooden shoes  a ske	1874
Mackenzie Compton Sir	B5254	{3304530, 2441262}		{'mdp.39015008877360'}		The vanity girl	1920
Swinnerton Frank	B7593	{8973119}		{'uc1.b3295227'}		On the staircase	1914
Harrison Burton Mrs	B3631	{6806089, 3177948, 9000239}		{'njp.32101072040106'}		A princess of the hills  an Italian romance	1901
Praed Campbell Mrs	B6564	{3177338, 8909877, 6776895}		{'nyp.33433075771836'}	{'Australian fiction'}	The maid of the river  an Australian girls love story	1905
Cameron H Lovett Mrs	B1516	{8801765}		{'nyp.33433074934724'}	{'English fiction'}	Two cousins and a castle a nov	1901
Skinner Thomas	B7851	{8913823}		{'hvd.32044019516566'}		Adventures during a journey ov	1836
Ritchie Leitch	B6888	{4691408}		{'inu.30000079479717', 'inu.30000079479725'}		The game of life	1830
Satchell William	B7588	{3282707, 9503694}		{'uc1.32106002012232'}		The greenstone door	1914
Rodziewiczówna Maria	B6935	{6801116, 8988518}		{'mdp.39015065362934'}		Anima vilis a tale of the great Siberian steppe	1900
Cabell James Branch	B2038	{9458609}		{'mdp.39015030735784'}		The cords of vanity a comedy o	1920
Irving Washington	B4197	{5166466, 5160167}	{'Bibliographies'}	{'mdp.39015036055328'}		Bracebridge Hall  Tales of a t	1859
Hobbes John Oliver	B3857	{8956515, 3171566}		{'uc2.ark+=13960=t14m98026'}		The school for saints	1897
Synge J M John Millington	B7323	{8935177}		{'njp.32101068589637', 'njp.32101068589629', 'loc.ark+=13960=t6d22kz63'}		The works of John M Synge	1909
R D Hitchcock Hitchcock Mary E Mary Evelyn Mrs	B7248	{4079539}		{'mdp.39015027937252'}		Two women in the Klondike the 	1899
