author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Sharp William	B7470	{3178770}		{'nyp.33433075746887'}		The mountain lovers	1895
MCarthy Daniel	B6013	{8965023}		{'nnc1.1002325179', 'nnc1.1002325128'}		The siege of Florence an histo	1840
Beresford Max	B857	{6756729, 8861625}		{'uc2.ark+=13960=t14m9bc9b'}		The gods arrive	1898
Kelty Mary Ann	B4669	{4697676}		{'uiuo.ark+=13960=t9377vt5s', 'uiuo.ark+=13960=t7xk8tg1p', 'uiuo.ark+=13960=t7dr3c232'}		The story of Isabel	1826
Clarke Marcus Andrew Hislop	B2085	{8617582}		{'njp.32101066456789'}		His natural life A novel	1876
Goethe Johann Wolfgang von	B3384	{8676697, 6665594, 8985243, 9101091}		{'wu.89017287095'}		Hermann and Dorothea	1832
King R J Richard John	B4569	{8473826}		{'nyp.33433074877428'}	{'Saint, Abp. of Hamburg', '801-865', 'English fiction', 'Anscher'}	Anschar A story of the North	1850
Thoms William John	B8260	{6140319, 5147891, 6189681, 6112859, 8917791}		{'hvd.hxczmh'}		Lays and legends of Germany	1834
Colum Padraic	B1425	{3328861, 3163670}	{'Juvenile audience'}	{'nc01.ark+=13960=t8nc71360'}	{'Odyssey', 'Homer'}	The adventures of Odysseus and the tale of Troy	1918
Lawless Emily	B4952	{9221978, 6768628, 3187486}		{'uc2.ark+=13960=t3kw59x2j'}		Traits and confidences	1898
Mathew Frank James	B5441	{6670848, 6669843, 3268563}		{'nyp.33433074893334'}		One queen triumphant	1900
Lee R Mrs	B5140	{4439921, 6116658, 8318518}		{'nyp.33433074878475'}		Stories of strange lands and f	1835
Deland Margaret Wade Campbell	B2289	{6753091}		{'uc1.b3325428'}		The wisdom of fools	1897
Tytler Sarah	B8105	{8963144, 5023284}		{'nyp.33433074871538'}	{'English fiction'}	Wearing the willow or Bride Fielding A tale of Ireland and of Scotland sixty years ago	1860
Lowry H D	B4969	{6762145}		{'uc2.ark+=13960=t5s758x3g'}	{'England', 'Country life'}	The happy exile	1898
Ingoldsby Thomas	B4173	{8582856}		{'dul1.ark+=13960=t9572983r'}		The Ingoldsby legends	1845
Bickley Francis Lawrence	B481	{3216731}		{'njp.32101064787912'}		The adventures of Harlequin	1923
Post Melville Davisson	B6743	{9263451}		{'uva.x030801003'}		Dwellers in the hills a novel	1901
Hawthorne Nathaniel	B3751	{5897802, 9447099, 6776478}	{'Bibliographies'}	{'nyp.33433076087844'}		The Blithedale romance	1852
Stowell Bellanne	B7402	{9454605}		{'mdp.39015063959301'}	{'Church history'}	Manxland a tale With an introductory sketch of Manx home missions	1863
France Anatole	B2676	{3238774}		{'mdp.39015012966415'}		The well of Saint Clare	1909
Williams F	B8850	{2865777}		{'uiuo.ark+=13960=t3kw61r4b', 'uiuo.ark+=13960=t3708px63', 'uiuo.ark+=13960=t63498z20'}		Seymour and his friends	1857
Goodloe Abbe Carter	B3241	{8973444}		{'uc2.ark+=13960=t1kh0gf3k'}		College girls	1895
Kipling Rudyard	B4623	{3262315}		{'uc2.ark+=13960=t6542qd44'}		Soldier tales	1896
Bayly A Eric	B1092	{6783903}		{'nyp.33433074824453'}		The house of strange secrets a	1899
Strauss G L M	B7767	{6898186, 4858805}		{'uiuo.ark+=13960=t07w71k2k', 'uiuo.ark+=13960=t0rr2gv7b', 'uiuo.ark+=13960=t0tq6jr5n'}		The old ledger	1865
Merrick Leonard	B5938	{8985969, 6810419}		{'mdp.39015059371875'}		Conrad in quest of his youth a	1911
Dalby Walter	B2217	{6816147, 9017966}		{'nyp.33433074951991'}	{'English fiction'}	The ivory raiders	1906
Chekhov Anton Pavlovich	B1796	{9110331}		{'uc2.ark+=13960=t8mc92j37'}		Russian silhouettes	1904
Parker Eric	B6513	{6797692, 3179564, 6778493, 8881591}		{'nyp.33433075748891'}	{'English fiction'}	The sinner and the problem	1901
