author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Brougham John	B1153	{3216976}	{'NotBiographical'}	{'uc2.ark+=13960=t86h4pg5h'}		Humorous stories		1856
Morrison Arthur	B5202	{9020483}		{'coo.31924013647411'}		The green eye of Goona stories of a case of Tokay		1905
Jesse F Tennyson Fryniwyd Tennyson	B4209	{3224186}		{'inu.39000002601198'}		The Solange stories		1931
Boothby Guy	B1074	{6672522}		{'wu.89013829759'}		Uncle Joes legacy  and other stories		1902
Lee Vernon	B5106	{6857107}		{'uc1.l0090959347'}		Vanitas  polite stories		1892
Kipling Rudyard	B4583	{6727320}	{'Short stories', 'ContainsBiogMaterial'}	{'pst.000005312870'}	{'English fiction'}	Lifes handicap  being stories of my own people		1891
London Jack	B5065	{3278203, 9012838}	{'Bibliographies', 'Short stories'}	{'pst.000028257509'}		The call of the wild  and othe		1916
Wilkinson Andrews	B8912	{5218920}		{'uc2.ark+=13960=t00z71p8b'}		Plantation stories of old Loui		1914
Spenser Edmund	B7578	{6755094}		{'uc1.$b51247', 'uc2.ark+=13960=t2w37pp3s'}		Stories from the Faerie queene		1599
QuillerCouch Arthur Thomas Sir	B6852	{6837451}		{'uc2.ark+=13960=t6057g755'}		Shakespeares Christmas and other stories		1905
Balzac Honoré de	B868	{8969758}		{'uc2.ark+=13960=t22b8vt30'}		Short stories		1920
Gibbon Perceval	B3247	{2434728}		{'uc2.ark+=13960=t2r49jd7b'}		The secondclass passenger and other stories		1913
Conrad Joseph	B1997	{6797377, 6782627}	{'Bibliographies'}	{'mdp.39015041913107'}		The lagoon and other stories		1924
Ewers John Keith	B2635	{3213686}		{'uc1.$b242583'}		Harvest and other stories		1949
Livermore Mary Ashton Rice	B4894	{9166363}	{'Juvenile audience'}	{'uc1.32106010330345'}		The two families and The duty that lies nearest  prize stories		1848
Maclaren Ian	B5785	{8856075, 6808076}		{'uc2.ark+=13960=t7jq16c73'}		Afterwards and other stories		1898
