author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Marshall Archibald	B5255	{3206753}		{'mdp.39015009006910'}		Anthony Dares progress	1924
Cobb Irvin S Irvin Shrewsbury	B2047	{3201042}		{'nyp.33433043979859'}		The escape of MrTrimm  his pli	1913
Hunt Violet	B3499	{2441074}		{'inu.32000009144066'}		The last ditch	1918
Pickthall Marmaduke William	B6697	{3192077}		{'uc2.ark+=13960=t8hd7r683'}		The house of war	1916
Cabell James Branch	B1687	{6797752, 8903937}		{'uc1.b4099727', 'uc2.ark+=13960=t00z71v73'}		The eagles shadow	1904
Sherlock Charles Reginald	B7934	{9254222}		{'nyp.33433076082407'}		Your Uncle Lew a naturalborn A	1901
Greer J R Mrs	B3173	{9416572}		{'nyp.33433082406228'}	{'Society of Friends'}	Quakerism or The story of my life	1851
DAnnunzio Gabriele	B2346	{6818700}		{'uc2.ark+=13960=t57d2s59b'}	{'Italian fiction'}	The flame of life	1900
Holland J G Josiah Gilbert	B4168	{8650109}		{'uc2.ark+=13960=t79s1m82t'}		Miss Gilberts career	1881
Parker Dorothy	B6821	{2483712}		{'pst.000044897604'}		Laments for the living  collec	1939
Saunders John	B7774	{9426443}		{'uiuo.ark+=13960=t7dr3gh53', 'uiuo.ark+=13960=t0zp4nt0h', 'uiuo.ark+=13960=t58d0jb1c'}		One against the world or Reubens war A novel in three volumes	1865
Harraden Beatrice	B3651	{3188255}		{'nyp.33433074850748'}		The guiding thread	1916
Lawrence George A George Alfred	B5186	{9435559}		{'njp.32101068141025'}		Maurice Dering or The quadrila	1864
Stockton Frank Richard	B7863	{3213591}	{'Bibliographies', 'ContainsBiogMaterial'}	{'uc2.ark+=13960=t1sf2n136'}		The hundredth man	1886
Wilson Richard	B8938	{3193361}		{'mdp.39015002199639'}		The Russian story book contain	1916
Evans Caradoc	B2555	{2439653}		{'mdp.39015059404098'}		My neighbours	1919
Trollope Frances Milton	B8180	{5224218}		{'uc2.ark+=13960=t23b6287s', 'uiuo.ark+=13960=t0ks7bk3v', 'uc2.ark+=13960=t4vh5jm7s'}		The abbess	1833
Smith Eleanor Furneaux Lady	B7570	{3229745}		{'uc1.$b312544'}		Flamenco	1931
Spadoni Adriana	B7617	{2433413}		{'uc1.b3727987'}		The swing of the pendulum	1919
Anley Charlotte	B90	{4968046}		{'nyp.33433074947841'}	{'Todd, John', '1800-1873'}	Miriam or The power of truth A jewish tale	1836
Dickens Charles	B2094	{2848795, 9017639, 8442183}	{'Historical fiction'}	{'hvd.32044090341959'}	{'Gordon Riots, 1780', '18th century', 'Social life and customs', 'History', '19th century'}	Master Humphreys clock	1840
Dunsany Edward John Moreton Drax Plunkett Baron	B2412	{3211394}		{'uc2.ark+=13960=t6h12zc73'}		Tales of war	1918
Pinkham Edwin George	B6583	{6832560}		{'nyp.33433076053168'}		Fates a fiddler	1908
Fowler Ellen Thorneycroft	B2712	{6802077}		{'njp.32101063691123'}		Kate of Kate Hall	1904
Green Anna Katharine	B3270	{3173399}		{'uc2.ark+=13960=t5db7wz3r'}		Initials only	1911
Sheppard Alfred Tresidder	B7473	{3297121, 3213403, 2438951}		{'nyp.33433075747067'}		The quest of Ledgar Dunstan	1917
Gogolʹ Nikolaĭ Vasilʹevich	B3366	{9111672, 8957382}		{'mdp.39015060360388'}		Dead souls  a poem	1852
Harland Henry	B3899	{3172068, 9448317}		{'uc2.ark+=13960=t41r6p77v'}		The royal end	1905
Clarke Ida Clyde Gallagher Mrs	B1500	{3195283}		{'nyp.33433074843115'}		Record no 33	1915
Hook Theodore Edward	B3838	{2846972}		{'uc2.ark+=13960=t00004q77', 'uc2.ark+=13960=t1qf8q81v', 'uc2.ark+=13960=t08w3dq93'}		Births deaths and marriages	1839
QuillerCouch Arthur Thomas Sir	B6859	{6669899, 3178148}		{'uc2.ark+=13960=t9z034848'}		The Westcotes	1901
Chatterton Georgiana Lady	B1617	{9437337}		{'nyp.33433074970686', 'nyp.33433074970660', 'nyp.33433074970678'}	{'English fiction'}	The heiress and her lovers  a novel	1863
Pemberton Max Sir	B6798	{6799012}		{'pst.000005699452'}		Beatrice of Venice  a romance 	1904
Smollett Tobias George	B7959	{3166666, 8899550}		{'pst.000002045375'}		Adventures of Sir Launcelot Gr	1771
Conrad Joseph	B1368	{9399633, 6825980}	{'Bibliographies'}	{'mdp.39015019761116'}		An outcast of the islands	1896
Keats Gwendoline	B4553	{6810489, 3169169, 6795934}		{'nyp.33433074871561'}		The Roman road	1903
Hill George Canning	B3733	{9010022}		{'nyp.33433076064082'}		Cap sheaf a fresh bundle	1853
Ward Mary Augusta	B8556	{2440517}		{'njp.32101064753666'}		Cousin Philip	1919
Smedley Frank E Frank Edward	B7603	{9015620}		{'uc1.b3326049'}		Frank Fairlegh or Scenes from the life of a private pupil	1864
Beck L Adams Lily Adams	B1158	{3217251}		{'uc1.b3710978'}		The empress of hearts n by E B	1928
Alcock Deborah	B176	{6783069}		{'uc2.ark+=13960=t6qz2b21w'}		By far Euphrates	1897
Raymond Walter	B7131	{8920689, 3151356}		{'uc2.ark+=13960=t8hd7qs9s'}		A tangled web	1899
Francis M E	B2853	{6787431}		{'uc2.ark+=13960=t3jw8b51f'}		Pastorals of Dorset	1901
Wedmore Frederick Sir	B8803	{6626099, 3168253}		{'uc2.ark+=13960=t5z60fh7d'}		English episodes	1894
Arami	B213	{6194487}		{'uiuo.ark+=13960=t5db8b07w', 'uiuo.ark+=13960=t6qz2ht7q'}		Cathal More or selflove and se	1852
Lefroy Edward Cracroft	B5079	{3183581}	{'Biography'}	{'mdp.39015059429921'}		Edward Cracroft Lefroy his lif	1891
Clouston J Storer Joseph Storer	B1567	{8898089, 6774366}		{'nyp.33433074946793'}		Adventures of M dHaricot	1902
Besant Walter Sir	B442	{9001762, 6792067}		{'mdp.39015063942547'}		No other way	1901
Berkeley Reginald	B678	{3298308}		{'nyp.33433074939277'}		The oilskin packet  a tale of the southern seas	1918
Barbauld Anna Letitia Mrs	B525	{5157956}	{'Anthologies', 'Juvenile audience'}	{'njp.32101068138005'}	{'Women', 'Moral education', 'Miscellanea', 'Education', 'Juvenile literature'}	A legacy for young ladies  consisting of miscellaneous pieces in prose and verse	1825
Train Elizabeth Phipps	B8325	{4089393}		{'nyp.33433076073117'}		The autobiography of a profess	1895
Kauffman Reginald Wright	B4629	{2435322, 8950818}		{'uc2.ark+=13960=t8x92286j'}		The house of bondage	1910
Swinnerton Frank	B7658	{3199547}		{'uc2.ark+=13960=t27945v1w'}		The chaste wife	1917
KayeSmith Sheila	B4621	{3214646}		{'uc2.ark+=13960=t5s75970g'}		Little England	1918
Mansfield Katherine	B6022	{2446208}		{'mdp.39015004990050'}		The doves nest and other stori	1923
Trollope Frances Milton	B8032	{4995766, 5901447}		{'mdp.39015013102853', 'mdp.39015013102887'}	{'Provenance', 'Graff, James H', 'Bookplate'}	Gertrude or Family pride	1855
Hemingway Richard DOyly	B3883	{9365913}		{'uc2.ark+=13960=t2v40pd1m'}		Three gentlemen from New Caled	1915
Begbie Harold	B1307	{3209610}		{'uc1.$b812567'}		The little that is good  stori	1917
Gsiorowski Wacaw	B3276	{3190243, 6820468, 8899038}		{'uc2.ark+=13960=t6j107r4f'}	{'Napoleon', '1769-1821', 'Emperor of the French'}	Napoleons love story	1905
MacDonald George	B5398	{9449556}		{'nyp.33433074875943', 'nyp.33433074875935', 'nyp.33433074875950'}	{'Scottish authors', 'English fiction'}	David Elginbrod	1863
Seers H Waddingham	B7447	{3199637}		{'nyp.33433011079229'}		Nature stories to tell to children	1918
Sturgis Howard Overing	B7381	{8892329}		{'mdp.39015059418056'}		Belchamber	1905
Merezhkovsky Dmitry Sergeyevich	B6071	{3176101}		{'uc1.b3933825'}		The birth of the gods	1926
Malet Hugh Poyntz	B5420	{8781400}		{'nyp.33433074880646'}		Lost links in the Indian mutin	1867
Strong L A G Leonard Alfred George	B7382	{2448274}		{'mdp.39015059418148'}		Dewer rides	1929
Hodder George	B4129	{5823379}		{'nyp.33433074931498'}		Sketches of life and character	1845
Beck L Adams Lily Adams	B776	{3221260}		{'uc1.$b85454'}	{'1734-1790', 'duchess of', 'Argyll, Elizabeth (Gunning) Campbell'}	The Irish beauties	1931
Frere Mary	B2922	{8663653, 8772463}		{'uc1.b4395430'}		Old Deccan days or Hindoo fair	1889
Riley W	B7081	{3196718}		{'uc2.ark+=13960=t4dn41r5c'}		Windyridge	1913
Crawford F Marion Francis Marion	B1324	{3162003, 8917181}		{'coo.31924021967033'}		Pietro Ghisleri	1893
Maugham W Somerset William Somerset	B5283	{3263753, 3422994}		{'mdp.39015030706421'}		The making of a saint	1898
Thanet Octave	B8135	{6758620}		{'nyp.33433081580858'}		The missionary sheriff being incidents in the life of a plain man who tried to do his duty	1899
Barber Margaret Fairless	B438	{6808135}		{'mdp.39015063914835'}		The grey brethren and other fragments in prose and verse	1901
QuillerCouch Arthur Thomas Sir	B6852	{6837451}		{'uc2.ark+=13960=t6057g755'}		Shakespeares Christmas and other stories	1905
Walpole Hugh Sir	B8878	{2490923, 3223979}		{'uc1.32106011861538'}		Rogue Herries a novel	1941
