"docid"	"exp_genres"	"date"	"author"	"title"	"origgenres"	"origsubjs"	"remove"	"taggedby"
"coo.31924089536605"	"random"	1969	"Negus, Arthur"	"Going for a song: English furniture; | Arthur Negus talks to Max Robertson; | $c: edited by Max Robertson."		"Handbooks, manuals, etc|Furniture|England"	" "	"peizhen"
"uc1.b5012654"	"random"	1909	"George, William R. (William Reuben)"	"The Junior republic, | its history and ideals; | $c: by William R. George; with an introduction by Thomas M. Osborne."		"George Junior Republic (Freeville, N.Y.)|George Junior Republic (Freeville, N. Y.)"	" "	"peizhen"
"mdp.39015030995834"	"random"	1895	"Porter, Rose"	"About men: what women have said ..."		"Quotations, English|Literary calendars"	" "	"peizhen"
"loc.ark+=13960=t57d30x73"	"historical fiction|humor|war stories"	1866		"Letters of Major Jack Downing, of the Downingville militia"		"United States|1809-1865|Civil war, 1861-1865|Lincoln, Abraham|Caricatures and cartoons|History|Humor"	" "	"peizhen"
"mdp.39015003507327"	"war stories"	1967	"Steiner, Jean-François"	"Treblinka / | $c: preface by Simone de Beauvoir ; translated from the French by Helen Weaver."		"Atrocities|World War, 1939-1945|Treblinka (Concentration camp)|Prisoners and prisons, German|Poland|Holocaust, Jewish (1939-1945)"	"n"	"shubhangi"
"mdp.39015014550514"	"war stories"	1956	"King, Alison"	"Golden wings : | the story of some of the women ferry pilots of the Air Transport Auxiliary / | $c: by Alison King."		"Great Britain|Aerial operations, British|Participation, Female|Air Transport Auxiliary|World War, 1939-1945"	"n"	"shubhangi"
"uiuo.ark+=13960=t0rr1sg0c"	"autobiography"	1888	"Daudet, Alphonse"	"Thirty years of Paris and of my literary life;"	"Autobiography"	"Authors, French|Social life and customs"	"n"	"shubhangi"
"njp.32101076781812"	"autobiography"	1899	"Stockton, Frank R. (Frank Richard)"	"The novels and stories of Frank R. Stockton .."	"Autobiography"		"n"	"shubhangi"
"mdp.39015008249818"	"random"	1930	"Munthe, Axel"	"Memories and vagaries, | $c: by Axel Munthe ..."			"n"	"shubhangi"
"mdp.39015005121184"	"autobiography"	1921	"Maharani of Cooch Behar, Sunity Devee"	"The autobiography of an Indian princess,"	"Autobiography"	"Social life and customs"	"n"	"shubhangi"
