,"Topic_Num","Topic_Perc_Contrib","Keywords","possible genres","Text"
59,59,0.5584,"book, part, write, read, early, record, author, man, fact, problem",,"    Miss Read's 34th Thrush Green idyll, illustrated as always by the gentle sketches of genteel chaps and aging lassies of John S. Goodall.       What's new now in that English never-never land of secure, truly decent (albeit with a handful of manageable exceptions) country men and women, where no one lacks help or a haven in tribulation? Well, there's a new neighbor, the incoming schoolmaster and his mysteriously perennially ill wife. Mysterious, until it's general knowledge that she has a, uh, problem. Poor Violet Lovelock, youngest of the three antique Lovelock sisters, is in a highly nervous state since eldest sister Beatrice has been discovered popping scones at the Fuchsia Bush tea shop and has moved a considerable number of articles in her bedroom. And lonely farmer Percy (you remember he was disagreeable when schoolteacher Dorothy hit--not fatally--his dog with her new car) is quietly courting, and everyone thinks he's after young Doreen Lilly, who's home with mother and Doreen's fatherless tot. The vicar, the doctor, and all the good people rally round and things seem to be set right. Oh, yes, the retired schoolteachers, Dorothy and Agnes, visit now and then, and on one visit Agnes reveals the shocking news that Dorothy may have more than kindly inclinations toward elderly Teddy in their new village. Agnes fears the worst.       More of the soothing same. Take a chapter or two before bedtime."
69,69,0.5552,"doctor, hospital, patient, nurse, die, medical, practice, care, man, treatment",,"Wherever Aldous Huxley looks and he looks far and deep, he casts the shadow of a man intent in his search for the nature and source of the real. In this collection of essays drawn from more than three decades of prolific literary activity, Huxley goes bravely into every avenue of human enterprise. Painting, history, music, politics, psychology, morals, theology, love, sex, all are here, all surveyed by the urbane and erudite glance of Huxley the writer and embraced by the ardent caress of Huxley, the totally involved human being. At every turn problems are raised -- What is the true nature of the lover? What transpires between man and woman during coition? Which is the crucial historical moment? What is the nature of sanity? What determines an artist? What can be learned from cats, travel, and narcotics? And for every problem, Huxley presents, at least, a tentative answer, based on his curious breed of humanism, Buddhism, Lawrenconian transcendentalism, and his own liberal experience. Abashed with the shortcomings of his fellow man, Huxley is also stirred deeply by his potential ability to reach that enlightened point at which he is able unflinchingly to act in the true capacity of his being. Permeated with the wit and daring which have made Huxley's novels so popular, these essays will be read with the enjoyment with which one relishes a probing conversation with an enlightened and prodigal friend."
22,22,0.5266,"reader, page, book, word, author, read, language, narrative, point, chapter",,"Continuing his apparent mission to refract the whole of English culture and history through his personal lens, Ackroyd (Thames: The Biography, 2008, etc.) offers an all-prose rendering of Chaucer�۪s mixed-media masterpiece. While Burton Raffel�۪s modern English version of The Canterbury Tales (2008) was unabridged, Ackroyd omits both ���The Tale of Melibee�۝ and ���The Parson�۪s Tale�۝ on the undoubtedly correct assumption that these ���standard narratives of pious exposition�۝ hold little interest for contemporary readers. Dialing down the piety, the author dials up the raunch, freely tossing about the F-bomb and Anglo-Saxon words for various body parts that Chaucer prudently described in Latin. Since ���The Wife of Bath�۪s Tale�۝ and ���The Miller�۪s Tale,�۝ for example, are both decidedly earthy in Middle English, the interpolated obscenities seem unnecessary as well as jarringly anachronistic. And it�۪s anyone�۪s guess why Ackroyd feels obliged redundantly to include the original titles (���Here bigynneth the Squieres Tales,�۝ etc.) directly underneath the new ones (���The Squires Tale,�۝ etc.); these one-line blasts of antique spelling and diction remind us what we�۪re missing without adding anything in the way of comprehension. The author�۪s other peculiar choice is to occasionally interject first-person comments by the narrator where none exist in the original, such as, ���He asked me about myself then���where I had come from, where I had been���but I quickly turned the conversation to another course.�۝ There seems to be no reason for these arbitrary elaborations, which muffle the impact of those rare times in the original when Chaucer directly addresses the reader. Such quibbles would perhaps be unfair if Ackroyd were retelling some obscure gem of Old English, but they loom larger with Chaucer because there are many modern versions of The Canterbury Tales. Raffel�۪s rendering captured a lot more of the poetry, while doing as good a job as Ackroyd with the vigorous prose.  A not-very-illuminating updating of Chaucer�۪s Tales."
40,40,0.5207,"write, letter, poet, prose, life, poetry, writer, style, author, include",,"The renowned poet�۪s life  revealed in letters. A star of the Harlem  Renaissance, Hughes (1902-1967) published poetry, fiction, humor, books for  young people, biographies and autobiographies, anthologies, and assorted works  of history and translation. He also wrote thousands of letters, from which  Rampersad (Humanities, Emeritus/Stanford Univ.;��Ralph Ellison,��2007,  etc.) and Roessel (Greek/Stockton Coll. of New Jersey; co-editor:��Poetry  for Young People: Langston Hughes, 2013, etc.) have made a discerning  selection���including several disarmingly candid drafts���to offer a vivid portrait  of a man sometimes cowed by self-doubt and vulnerability, sometimes given to outbursts  of bravura, always eager for adventure and always short of money. In the 1930s,  his youthful socialist sympathies transformed into passionate radicalism. He  cherished friendships, as letters to Arna Bontemps, Carl Van Vechten and  Countee Cullen attest, and he was quick to encourage other writers, including  Ralph Ellison and Alice Walker. As a young writer himself, he could be  self-deprecating: He felt timid about meeting editor and professor Alain Locke,  he told Cullen, ���because I know he�۪d find me terribly stupid.�۝ When he was 25,  Hughes was taken up by Charlotte Osgood Mason, an elderly white philanthropist  who offered him a monthly stipend to support his writing and insisted on being  called ���Godmother.�۝ Hughes loved Mrs. Mason ���as a son loves his mother,�۝  Rampersad writes. When Mason flared up angrily at what she saw as indolence,  Hughes felt desolate: ���I am humbly deeply sorry,�۝ he wrote, but he confessed,  ���I cannot write��at all on any sort of pre-arranged schedule.�۝ An intrepid  traveler, Hughes saw the world; championed by Van Vechten and his publisher  Blanche Knopf, he socialized with celebrity artists and writers. Yet all the  while, he took advice offered by Vachel Lindsay to be ���wary of lionizers.�۝   A privileged perspective  on the man and his art."
8,8,0.467,"blood, face, fill, fall, show, eye, red, turn, foot, wear",,"After an absence of more than a decade (The Stainless Steel Rat Joins the Circus, 1999, etc.), slippery Jim DiGriz reappears. Harrison's light-fingered, silver-tongued rogue with a heart of���well bronze, anyway���is living it up with his beautiful and capable wife Angelina on the tourist planet of Moolaplenty when a mob of long-lost relatives shows up. Said relatives, led by cousin Elmo, were farmers of `porcuswine,` a cross between a pig and a porcupine, but the galactic recession's caused the bottom to drop out of the porcuswine futures market, so Elmo and friends need a new place to stay. Worse, they've incurred enormous debts; still worse, the vessel they arrived in is literally falling to pieces, and its current master is a villain. Still, Jim feels obligated���they are kin after all. But Elmo's debts are huge, and Jim and Angelina swiftly find themselves bankrupt, forced to take flight with a bunch of hicks and their hideous herd in a rickety, wheezing spaceship that's also been sabotaged, thoroughly and often, by its vengeful former owner. The book is lightly satirical, even more lightly amusing, made up of ideas borrowed from another comic Harrison series, Bill the Galactic Hero, and a plot straight out of Eric Frank Russell. The Rat's back���faded, wrinkly and short of breath, but he's back."
37,37,0.4573,"play, game, call, win, make, player, real, character, talk, sound",,"In translation from the German by Richard and Clara Winston, this enormously long and complex novel deals with the relations among a group of people in Vienna in the late 1920's. In a sense little happens but the whole texture and detail of a society is reconstructed, in cafes, bourgois homes, castles, workrooms, offices. And they are welded together by astonishing, lucid perceptions of the most peripheral insights and relations. As one huge group scene merges into the next, the steady evolution of a few principal characters is revealed. Some, notably a man named Schlaggenberg, pervert reality. Separated from his wife, he is half humorously obsessed with fat women (perhaps a symbol of the past; all the matrons worry about their obesity as opposed to the slimness of modern women; and indeed, the society itself is """"fat"""", is rich.) Schlaggenberg later becomes the leader of a group of youths, and he also lives as a brother with Quapp. The others more or less forge their own reality. Quapp faces the fact she is not a musician. Leonhard, a weaver, educates mind and heart by studying Latin. Stangeler, a rich boy, slides into a parallel but softer reality as a historian. Minor characters reach less positive conclusions. The climax comes during streetflighting. In  when the more definite characters (including the narrator) make their final choice of marriage, and the least real of all, a former lover of Quapp's, is killed on a barricade..... Narrower, drier, more intellectualized than Proust, though in some ways as complete a segment of a society, this pinpoint concentration on the minut of many lives is a complex and brilliant reading experience. It will command major critical notice."
17,17,0.4508,"time, leave, year, return, find, home, back, daughter, wife, live",,"    Chief Inspector Maigret, looking forward to dinner and TV after a hard day, finds waiting at home for him instead one Leonard Planchonan undersized, harelipped, introverted house-painter with an outsized problem. Planchon has been living for two years in a m��nage �� trois with lusty wife Ren��e and Roger Prou, who works for him. Planchon sleeps on a cot in the dining room, while the lovers share the bedroom and his seven-year-old daughter sleeps upstairs. Still in love with his wife,and afraid of losing his daughter, Planchon spends his spare time drinking in local bars, thinking of ways out of his dilemma, including the murder of his tormentors. Maigret soothes him, elicits his promise to keep in touch, and begins to keep an eye on the little house on Rue Tholoz��. Then Planchon disappears, and Maigret instigates an investigation with not-unexpected results.        This brief novel, published in the US for the first time, is low-keyed, swift-moving, psychologically acute, and absorbing throughout."
51,51,0.4441,"art, work, artist, paint, life, age, painter, set, famous, show",,"A children's classic gets the Michael Jackson treatment: lightened skin, fancy new dress, a bit of (editorial) cosmetic surgery and voila! Fine old wine in a new bottle. The text remains the same (less the American edition's preface), except that Black Sambo, Black Mumbo, and Black Jumbo are given what are billed as ""authentic Indian names''--Little Babaji, Mamaji, and Papaji--that are still appropriately ingenuous, but considerably less loaded. Marcellino (The Pelican Chorus, 1995, etc.) provides illustrations far more polished than the originals, ably capturing both the story's true setting and its glorious silliness. Little Babaji, looking like a glossy teak marionette, faces a succession of huge, luxuriously supple tigers whose eventual meltdown provides him, Papaji, and sari-clad Mamaji with a supper of pancakes--and ""Little Babaji ate a Hundred and Sixty-Nine, because he was so hungry.'' Offered in a square format about an inch higher than the diminutive original, this remake combines a star illustrator and a story with proven appeal: You can't beat it. (Picture book. 4-7)"
54,54,0.441,"rise, time, year, great, world, long, begin, volume, half, large",,"Peake's """"Gormenghast Trilogy""""--the chronological order is Titus Groan, Gormenghast, Titus Alone--was published in Britain between 1946 and 1959, then in the US en bloc in 1967, by Weybright & Talley. Now, however, it's announced that the trilogy has """"never before been available in America in the accurate restored editions""""--so here is Gormenghast again, with a brief introduction from Anthony Burgess at the start of Titus Groan. (He calls the trilogy """"a rich wine of fancy chilled by the intellect to just the right temperature. . . a modern classic."""") And though those in possession of the 1967 edition probably won't want to rush to replace it with this new one (a selective comparison shows few significant differences), others will welcome the return of Peake's elaborate, inventive saga--which follows Titus, heir to the House of Groan, from a long castle childhood (duels, arson, murders whirl around him) through his explorations of the world Outside the Gormenghast troll-land (where the prematurely aged Mud Dwellers dwell) to ascent and abdication. Volume I, Titus Groan, remains by far superior to its more amorphous, allegorical sequels--but enthusiasts will certainly want to wade through the whole Tolkien-esque set."
42,42,0.4163,"life, live, small, move, thing, quiet, touch, simple, perfect, joy",,"A lusterless grad student of landscape-gardening trembles on the brink of taking an interest in life. Narrow, reticent, self-contained���these words describe almost any Brookner heroine. They certainly fit Emma Roberts, who sums up her meager origins by saying, ���we were a very small, not to say non-existent, family.�۝ That family is comprised solely of Emma and her widowed mother. ���If I was not extremely vigilant,�۝ Emma notes, ���I might run the risk of living her life over again.�۝  Emma�۪s Uncle Rob is the quintessential Brooknerian Other. Rude and assertive, he detested Emma�۪s long-dead father and openly dislikes her on the basis of her paternity. Before his certitude, Emma and her mother simply ebb away to nothing. When Emma goes to France to research her thesis, she is befriended by a young library assistant named Fran̤oise. Unlike Emma, Fran̤oise is active, aggressive and highly sexed. She invites Emma home to her family�۪s country house and manipulates Emma, to her own advantage. Emma seems to take pleasure in allowing her to do so, in part so the full measure of Fran̤oise�۪s character, or lack of it, will be revealed, but also because even a vicarious life is better than nothing. Emma manifests the same lack of energy in her dealings with men. And because both of the men she knows seem as spiritless as she, these relationships have all the fire of a blaze kindled from a single match and a damp log. Although Emma deplores her purposeless solitude, she works to maintain it and thinks disdainfully that she ���prefers her gardens deserted.�۝  The beautifully ordered prose of Brookner�۪s 23rd novel (Making Things Better, 2003, etc.) is the verbal equivalent of the empty gardens Emma inhabits. At one point, Emma has a dream in which she knows ���simply and conclusively, that I was loved.�۝ Nothing in waking life affords her, or us, a comparable satisfaction.  "
