"seq"	"PubYear"	"RecordID"	"RecordTitle"	"Title"	"bookauthor"	"bookdate"	"booktitle"	"isfiction"	"howpositive"	"genresnamed"	"comments"
100	1817	8164191	"77. Hardenbrass and Haverill, or the Secret of the Castle; a Novel. In four Volumes, 12mo."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"		1817	"Hardenbrass and Haverill;"	"y"	4	"satire"	
101	1898	8847434	"The Dull Miss Archinard."	"The Athenaeum"	"Sedgwick, Anne Douglas"	1898	"The dull Miss Archinard"	"y"	3		
102	1889	8776008	"Book review"	"The Athenaeum"				"n"			
103	1857	8759444	"Isabel, the Young Wife and the Old Love."	"The Athenaeum"	"Jeaffreson, John Cordy"	1857	"Isabel, the young wife and the old love"	"y"	4		
104	1819	5138273	"Emmeline: with some other Pieces. By Mary Brunton, Author of 'Self Control,' and ' Discipline.' To which is prefixed, A Memoir of her Life, including some Extracts from her Correspondence."	"The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822"	"Brunton, Mary"	1819	"Emmeline. With some other pieces"	"y"	4		
105	1825	8524843	"80. The Journal of an Exile. 2 Vols. Crown 8vo. Saunders and Otley."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"	"Boswell, Thomas Alexander"	1825	"The journal of an exile"	"n"			
106	1807	6083743	"SKETCH OF THE LIFE AND CHARACTER OF PASSWAN OGLU: OR PAZAN-OHLU."	"The Literary panorama, 1806-1819"	"Necker de Saussure, Albertine Adrienne"	1820	"Sketch of the life, character, and writings of Baroness de Staël-Holstein"	"n"			
107	1888	6744522	"Early Adventures in Persia, Susiana, and Babylonia, including a Residence among the Bakhtiyari and other Wild Tribes before the discovery of Nineveh."	"The Academy, 1869-1902, 0269-333X"	"Layard, Austen Henry, Sir"	1887	"Early adventures in Persia, Susiana, and Babylonia, including a residence among the Bakhtiyari and other wild tribes before the discovery of Nineveh"	"n"			
108	1860	4455582	"Right at Last; and other Tales."	"Tait's Edinburgh magazine"	"Gaskell, Elizabeth Cleghorn"	1860	"Right at last, and other tales"	"y"	3		
109	1860	8648082	"Elfie in Sicily."	"The Athenaeum"		1860	"Elfie in Sicily"	"y"	3		
"110-0"	1872	8693422	"The Eustace Diamonds."	"The Athenaeum"	"Trollope, Anthony"	1876	"The Eustace diamonds"	"y"	3		
"110-1"	1872	8693422	"The Eustace Diamonds."	"The Athenaeum"	"Macquoid, Katharine S"	1876	"Miriam's Marriage"	"y"	4		
110	1872	8693422	"The Eustace Diamonds."	"The Athenaeum"	"Vincent, Francis"	1876	"The Fitful Fever of a Life"	"y"	2		
111	1855	5003487	"VOYAGES AND TRAVELS."	"The Critic"		1838	"Voyages and travels"	"n"			
112	1888	8763361	"The Ingenious Gentleman Don Quixote of La Mancha."	"The Athenaeum"	"Cervantes Saavedra, Miguel de"	1881	"The ingenious knight : Don Quixote de la Mancha"	"n"			
113	1821	9029863	"A Letter to the Right Hon. Robert Peel containing a Free Enquiry into the Justice of the Queen's Exclusion from the Liturgy."	"Examiner"	"pseud. Fabius"	1821	"A letter to the Right Hon. Lord Byron, protesting against the immolation of Gray, Cowper, & Campbell, at the shrine of Pope"	"n"			
114	1911	6742194	"Letters and Sketches from Northern Nigeria."	"The Academy and literature, 1910-1914"	"Paton, Margaret (Whitecross)"	1894	"Letters and sketches from the New Hebrides"	"n"			
115	1910	9049860	"First Love."	"The Athenaeum"	"Van Vorst, Marie"	1910	"First love"	"y"	3		
116	1827	5195755	"Narrative of Don Juan Van Halen's Imprisonment in the Dungeons of the Inquisition at Madrid; and his Escape in 1817 and 1818."	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Halen, Juan Van"	1827	"Narrative of Don Juan van Halen's imprisonment in the dungeons of the Inquisition at Madrid, and his escape in 1817 and 1818 : to which are added, his journey to Russia, his campaign with the army of the Caucasus, and his return to Spain in 1821"	"n"			
117	1873	9046291	"Gabriel Denver."	"The Athenaeum"	"Brown, Oliver Madox"	1873	"Gabriel Denver"	"y"	2		
117	1873	9046291	"Gabriel Denver."	"The Athenaeum"	"Saunders, Katharine"	1873	"Margaret and Elizabeth"	"y"	4		
"118-0"	1887	8767856	"The Tragedy of Featherstone."	"The Athenaeum"	"Farjeon, B. L. (Benjamin Leopold)"	1888	"The tragedy of Featherstone"	"y"	2		
"118-1"	1887	8767856	"The Tragedy of Featherstone."	"The Athenaeum"	"Fothergill, Jessie"	1888	"Borderland"	"y"	3		
"118-2"	1887	8767856	"The Tragedy of Featherstone."	"The Athenaeum"	"anonymous"	1888	"Our Own Pompeii: A Romance of Tomorrow"	"y"	3		
119	1837	6856252	"SOME PASSAGES IN THE LIFE OF A DISAPPOINTED MAN."	"Bentley's miscellany,  1837-1868"	"White, James"	1834	"Some passages in the life of Sir Frizzle Pumpkin"	"n"			
120	1902	6788469	"LOVE OF SISTERS."	"The Academy and literature, 1902-1905"	"Tynan, Katharine"	1902	"Love of sisters"	"y"	4		
121	1900	8859500	"The Life and Works of Charlotte Bronte and her Sisters."	"The Athenaeum"	"Lamb, Charles"	1902	"The life and works of Charles Lamb"	"n"			
122	1847	4961722	"Tancred; or, The New Crusade."	"Critic, 1844-1847"	"Earl of Beaconsfield, Disraeli, Benjamin"	1847	"Tancred, or, The new crusade"	"y"	2		
123	1819	5152589	"Tales of My Landlord, Third Series, collected and arranged by Jedediah Cleishbotham, Schoolmaster and Parish Clerk of Gandercleugh."	"The Literary chronicle and weekly review, May 22, 1819-Dec. 28, 1822"		1820	"Tales of my landlord"	"y"	4		
124	1862	8470187	"A Noble Purpose Nobly Won."	"Examiner"	"Manning, Anne"	1862	"A noble purpose nobly won : an old, old story"	"y"	3		
125	1904	8890224	"The Rock Tombs of El Amarna."	"The Athenaeum"	"Davies, Norman de Garis"	1903	"The rock tombs of El Amarna"	"n"			
126	1819	5818586	"A Narrative of a Journey of five Thousand miles through the Eastern and Western States of America; contained in eight reports, addressed to the thirtynine English families, by whom the Author was deputed, in June, 1817, to ascertain whether any and what part of the United States would be suitable for then residence; with remarks on Mr Birkbeck's Notes and Letters."	"The Literary panorama, 1806-1819"	"Louis"	1823	"Narrative of a journey to Brussels and Coblentz, 1791"	"n"			
127	1819	8262859	"109. The Rambles of a Butterfly."	"The Gentleman's Magazine: and historical chronicle, Jan. 1736-Dec. 1833"	"Elliott, Mary"	1819	"The rambles of a butterfly"	"y"	3	"juvenile"	
128	1858	5017745	"The Parables of Frederick Adolphus Krummacher."	"The Critic"	"Krummacher, Frederic Adolphus"	1857	"The parables of Frederic Adolphus Krummacher"	"n"			
129	1808	5451415	"MEMOIRS OF FEMALE PHILOSOPHERS."	"Beau Monde, or, Literary and fasionable magazine., 1806-1809"	"Hamilton, Elizabeth"	1800	"Memoirs of modern philosophers"	"y"	"nan"		
130	1846	4975175	"VOYAGES AND TRAVELS."	"Critic, 1844-1847"		1838	"Voyages and travels"	"n"			
131	1877	8529607	"WHAT HE COST HER."	"Examiner"	"Payn, James"	1877	"What he cost her"	"y"	1		
132	1839	8992619	"Narrative of a Journey to Guatemala, in Central America, in 1838."	"The Athenaeum"	"Louis"	1823	"Narrative of a journey to Brussels and Coblentz, 1791"	"n"			
133	1899	6772549	"THE MATERNITY OF HARRIOTT WICKEN."	"The Academy, 1869-1902, 0269-333X"	"Dudeney, Henry, Mrs"	1899	"The maternity of Harriott Wicken"	"y"	2		
