seq	PubYear	RecordID	RecordTitle	Title	bookauthor	bookdate	booktitle	isfiction	howpositive	genresnamed	comments
200	1908	3183464	THE HUMAN BOY AGAIN.	The Bookman	Phillpotts, Eden	1908	The human boy again	y	5	short stories	
201	1913	2434197	FATHER RALPH.	The English review,  1908-1937	O'Donovan, Gerald	1913	Father Ralph	n			
202	1895	3175652	THE HONOUR OF SAVELLI.	The Bookman	Levett-Yeats, S. (Sidney Kilner)	1895	The honour of Savelli	y	4	romance	
203	1898	8867185	The Pecorone of Ser Giovanni.	The Athenaeum	Fiorentino, Giovanni	1901	The Pecorone of Ser Giovanni	y	5		
204-1	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Hope, Ascott R.	1896	The Romance of the Forests	y	4		
204-2	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Seymour, M.		Ada Norman	y	4		
204-3	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Roberts, Margaret		Banning and Blessing	y	2		
204-4	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Stuart, Esme		Cast Ashore	y	5		
204-5	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Ballantyne, R.M.		The Crew of the Water-wagtail	y	4	juvenile	
204-6	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Warner, Anna B.		Yours and Mine	y	3		
204-7	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Bramston, M.		A Pair of Cousins	y	4		
204-8	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Hutcheson, John C.		Afloat at Last 	y	3		
204-9	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Henty, G.A.		By Pike and Dyke	y	4	historical fiction	
204-10	1889	8922379	CHRISTMAS BOOKS.	The Athenaeum	Moore, F. Frankfort		Highways and High Seas	y	4		
205	1913	3191266	THE GOLDEN WOMAN.	The Bookman	Cullum, Ridgwell	1913	The golden woman	y	3		
206	1829	5383316	HUNGARIAN TALES.	The London magazine	Gore, (Catherine Grace Frances), Mrs	1829	Hungarian tales	y	5	short stories	
207	1918	3209646	THE LAW OF THE GUN.	The Bookman	Cullum, Ridgwell	1918	The law of the gun		nan		
208-1	1897	8803684	Chun Ti-kung, his Life and Adventures.	The Athenaeum	Rees, Claude A	1897	Chun Ti-kung : his life and adventure	y	3		
208-2	1897	8803684	A Marriage in China	The Athenaeum	Little, Mrs. Archibald		A Marriage in China	y	2		
208-3	1897	8803684	Chin Chin-Wa	The Athenaeum	Hannan, Chalres		Chin Chin-Wa	y	2		
209	1834	4439301	The Farrers of Budge Row, No. 24, Miss Martineau's Illustrations of Political Economy.	Tait's Edinburgh magazine	Martineau, Harriet	1834	The Farrers of Budge-row, a tale	y	3		
210	1837	8322607	Schloss Hainfeld; or a Winter in Lower Styria.	The Gentleman's Magazine: and historical review, July 1856-May 1868	Hall, Basil	1836	Schloss Hainfeld; or, A winter in lower Styria	y	4		
