"seq"	"RecordID"	"RecordTitle"	"PathID"	"Title"	"AlphaPubDate"	"PubYear"	"bookauthor"	"booktitle"	"bookdate"	"matchquality"	"isfiction"	"howpositive"	"genresnamed"	"comments"
400	8676852	"James Gordon's Wife."	"20160127192405_00018"	"The Athenaeum"	"May 27, 1871"	1871	"Brock, Carey, Mrs"	"James Gordon's wife. A novel"	1871	2.345417375	"y"	2	"domestic"	
401	8647340	"The Natural History of the Tineina. Vol. III., containing Elachista, Part I.; Tischeria, Part I."	"20160127192715_00011"	"The Athenaeum"	"Oct 30, 1858"	1858	"Smith, Albert"	"The natural history of the ballet-girl"	1847	2.6162893082	"n"			
402	6684126	"SELECT TALES OF HANS ANDERSEN"	"20160127190722_00007"	"The Academy and literature, 1902-1905"	"Jan 14, 1905"	1905	"Andersen, H. C. (Hans Christian)"	"Three tales of Hans Andersen"	1910	2.1304889913	"y"	3	"tales"	
403	4370617	"A SUMMER IN SKYE."	"20160127192713_00002"	"The London review of politics, society, literature, art, and science"	"Aug 26, 1865"	1865	"Smith, Alexander"	"A summer in Skye"	1865	2.6322580645	"n"		"travel writing"	
404	5244542	"The Works of Charles Lamb."	"20160127230802_00010"	"The Literary gazette : A weekly journal of literature, science, and the fine arts"	"Jun 27, 1840"	1840	"Lamb, Charles"	"The works of Charles Lamb : to which are prefixed his letters, and a sketch of his life"	1850	2.7618973885	"n"			
405	8878064	"Greifenstein."	"20160127183730_00010"	"The Athenaeum"	"Apr 20, 1889"	1889	"Crawford, F. Marion (Francis Marion)"	"Greifenstein"	1889	2.3233333333	"y"			
406	8968534	"Bluebeard's Keys and other Stories."	"20160128005501_00006"	"Examiner"	"Nov 28, 1874"	1874	"Ritchie, Anne Thackeray"	"Bluebeard's keys, and other stories"	1875	3.3389114739	"y"	4		
407	6782468	"The Amateur Cracksman."	"20160127190722_00007"	"The Academy, 1869-1902, 0269-333X"	"Apr 22, 1899"	1899	"Hornung, E. W. (Ernest William)"	"The amateur cracksman"	1899	2.8625	"y"	4		
408	9045688	"Nadir Shah."	"20160127192715_00011"	"The Athenaeum"	"Nov 21, 1908"	1908	"Durand, Henry Mortimer, Sir"	"Nadir Shah"	1908	2.56	"y"	2		
409	9137217	"The Story of a Kiss."	"20160127191848_00004"	"The Athenaeum"	"Aug 27, 1887"	1887	"Wynne, Catherine Simpson"	"The story of a kiss"	1887	2.5706238303	"y"			
410	3173151	"BETTY MUSGRAVE."	"20160127190105_00008"	"The Bookman"	"Apr 1899"	1899	"Findlater, Mary"	"Betty Musgrave"	1913	2.2384981685	"y"	3		
411	3239553	"THE LONELY PLOUGH."	"20160127190825_00015"	"The Bookman"	"Oct 1931"	1931	"Holme, Constance"	"The lonely plough"	1914	2.2722580645	"y"	3		
412	5075817	"SKETCHES FROM LIFE."	"20160127234659_00002"	"Leader and Saturday analyst, Jan. 7-June 30, 1860"	"Dec 21, 1850"	1850	"Martineau, Harriet"	"Sketches from life"	1856	2.4891427207	"n"			
413	3173141	"A ROMAN TRAGEDY, AND OTHERS."	"20160127190105_00008"	"The Bookman"	"Oct 1909"	1909	"Ayscough, John"	"A Roman tragedy and others"	1909	2.703059695	"y"	2		
414	6861854	"The Patrician."	"20160127192155_00015"	"The Academy and literature, 1910-1914"	"May 24, 1913"	1913	"Galsworthy, John"	"The patrician"	1911	2.3633333333	"n"			
415	6810553	"THE ADVENTURES OF A LADY PEARL-BROKER."	"20160127192155_00015"	"The Academy, 1869-1902, 0269-333X"	"Oct 7, 1899"	1899	"Brady, Cyrus Townsend"	"The adventures of a lady pearl-broker"	1908	2.2049547694	"y"	3		
416	3217690	"THE GREAT PANDOLFO."	"20160127185249_00003"	"The Bookman"	"Nov 1925"	1925	"Locke, William John"	"The great Pandolfo"	1925	2.7665079365	"y"	4		
417	9104370	"At Home and Abroad; or, Things and Thoughts in America and Europe."	"20160127192053_00005"	"The Athenaeum"	"Apr 19, 1856"	1856	"Fuller, Margaret"	"At Home and Abroad; or, Things and Thoughts in America and Europe."	1854	2.1517466274	"n"		"letters"	
418	3237339	"ONE WOMAN'S STORY."	"20160127190825_00015"	"The Bookman"	"Jun 1934"	1934	"Britnieva, Mary"	"One woman's story"	1934	2.5793396566	"n"		"autobiography"	
419	6697833	"A Young Man in a Hurry."	"20160127192510_00019"	"The Academy, 1905-1910"	"Mar 10, 1906"	1906	"Chambers, Robert W. (Robert William)"	"A young man in a hurry, and other short stories"	1904	2.5503067016	"y"	4		
420	8792736	"Ready-Money Mortiboy."	"20160127192303_00008"	"The Athenaeum"	"Jul 13, 1872"	1872	"Besant, Walter, Sir"	"Ready-money Mortiboy"	1872	2.8766666667	"y"			
