author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Dutton Louise Elizabeth	B2201	{3195555}		{'nyp.33433074852223'}		The goddess girl	
White Fred M Fred Merrick	B8756	{6813731}		{'uc2.ark+=13960=t1bk1kn4w'}		The crimson blind	
Hope Anthony	B3562	{8805838}		{'mdp.39015063513975'}		Sport royal  other stories	
Perutz Leo	B6609	{3219573}		{'uc1.$b313760'}		The Marquis of Bolibar	
Burgess Thornton W Thornton Waldo	B1114	{6747740, 3180749}		{'nyp.33433082300801'}		The adventures of Jimmy Skunk	
Smedley Frank E Frank Edward	B8009	{9010954}		{'uc2.ark+=13960=t3028z12b'}		The fortunes of the Colville f	
Barr Amelia Edith Huddleston	B585	{6807513, 8878604}		{'nyp.33433074833421'}		The maid of Maiden lane a sequel to The bow of orange ribbon	
Phillpotts Eden	B6468	{6850397, 9023455}		{'mdp.39015063924636'}	{'English fiction'}	The whirlwind	
Thanet Octave	B8134	{6836503}		{'nyp.33433076090640', 'uc2.ark+=13960=fk70v8b07w'}		Knitters in the sun	
Reynolds Baillie Mrs	B7052	{3199559}		{'uc2.ark+=13960=t0ms3md27'}		A castle to let	
Keary C F Charles Francis	B4552	{6800490, 3263884, 9405055}		{'nyp.33433074871454'}		The journalist	
Bird Robert Montgomery	B1081	{8893062}		{'wu.89099908337', 'wu.89099908345'}	{'Conquest, 1519-1540', 'History'}	Calavar or The knight of the conquest a romance of Mexico	
Wallace Edgar	B8736	{3182202}		{'uc2.ark+=13960=t03x8571r'}		The keepers of the kings peace	
Evans Augusta J Augusta Jane	B2596	{9458182}	"{""Publishers' bindings (Binding)"", 'United States'}"	{'uc1.b4102284'}	{'History', 'Civil War, 1861-1865'}	Macaria	
Duncan Sara Jeannette	B2369	{9111432, 3184886}		{'uc2.ark+=13960=t8pc2w27s'}		His Royal Happiness	
Fowler Ellen Thorneycroft	B2769	{8915969, 6818794, 8960524}		{'nyp.33433075728067'}		Her ladyships conscience	
Hope Anthony	B3932	{8932205, 6862949}		{'uc2.ark+=13960=t6b27st7j'}		Mrs Maxon protests	
Sinclair May	B7511	{6669027, 8840637}		{'nyp.33433075765275'}	{'English fiction'}	Mr and Mrs Nevill Tyson	
Kincaid C A Charles Augustus	B4659	{8626435}		{'uc2.ark+=13960=t49p36g2f'}		Tales from the Indian epics	
Parrish Randall	B6785	{9282476}		{'nnc1.cu58326839'}		My lady of the South a story o	
Turgenev Ivan Sergi︠e︡evích	B8331	{4451575}		{'nyp.33433073356762'}		Russian life in the interior o	
Parker Gilbert Sir	B6515	{9379083, 3203934}		{'nyp.33433075749246'}		You never know your luck being the story of a matrimonial deserter	
Atherton Gertrude Franklin Horn	B20	{2448593, 3211602}		{'mdp.39015011949776'}		The crystal cup	
Goodrich Arthur Frederick	B3159	{9034838}		{'nyp.33433076089642'}		The balance of power  a novel	
Connor Ralph	B2020	{9028627}		{'pst.000006672539'}		The doctor	
Sharp Evelyn	B7850	{3185657, 8847887, 6655622, 6770455}		{'nyp.33433082270111'}		The making of a schoolgirl	
Cooke John Esten	B1453	{8716788}		{'njp.32101066457936'}	{'Social life and customs', 'Manners and customs', 'Martinsburg', '(OCoLC)fst01224867', '(OCoLC)fst01007815'}	Leather stocking and silk or Hunter John Myers and his times	
Sharp Hilda M	B7468	{9218876}		{'nyp.33433075746838'}		The stars in their courses	
Becke Louis	B824	{6776945, 8850892}		{'uc1.b4102891'}	{'Bounty (Ship)'}	The mutineer a romance of Pitcairn Island	
Grant Robert	B3348	{3179592, 9025121}		{'wu.89005070693'}		The undercurrent	
Pemberton Max Sir	B6540	{6655170, 3159461}		{'nyp.33433075766141'}		A gentlemans gentleman  being certain pages from the life and strange adventures of Sir Nicolas Steele Bart as related by his valet Hildebrand Bigg	
Bell J J John Joy	B1129	{9047412, 3185580}		{'nyp.33433074927504'}		Whither thou goest  a romance 	
