author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Kendall Edward Augustus	B4479	{4566087}	{'Juvenile audience'}	{'hvd.hn2he3'}	"{'Conduct of life', ""Children's stories"", 'Juvenile literature'}"	The stories of Senex or Little histories of little people		1800
Taylor Jefferys	B8016	{5793918}	{'Juvenile audience'}	{'hvd.hn2gwa'}	{'Conduct of life', 'Boys', 'Juvenile literature'}	Harrys holiday or The doings of one who had nothing to do		1822
Grahame Kenneth	B3294	{3176117}	{'Juvenile audience', 'Novel'}	{'uc2.ark+=13960=t9183968r'}	{'Adventure stories', 'Princesses', 'Conduct of life', 'Children', 'Brothers and sisters', 'England', 'Country life', 'Juvenile fiction', 'Uncles', 'Olympics', 'Burglars'}	The golden age		1895
Lane Martha Luther	B5141	{3326408}	{'Juvenile audience'}	{'nyp.33433069242216'}		Stories for children		1895
Barbauld Anna Letitia Mrs	B1214	{5157956}	{'Anthologies', 'Juvenile audience'}	{'njp.32101068138005'}		A legacy for young ladies  con		1825
Defoe Daniel	B2153	{4361789}	"{'Comic books', 'Juvenile audience', 'New York (N.Y.)', ""Publishers' advertisements"", 'Ink stamps (Provenance)', 'NotBiographical', 'Bibliographies', 'United States', 'Novel', 'Imaginary voyages', 'Robinsonades', 'Printing in multiple colors in separate passes (Printing)', 'Comic books, strips, etc', 'Presentation inscriptions (Provenance)', 'Juvenile literature', 'New York', 'Inscriptions (Provenance)', 'New York (State)'}"	{'mdp.39015078554972', 'mdp.39015078559203', 'mdp.39015078556571', 'mdp.39015078556449', 'mdp.39015078556753', 'mdp.39015078559120', 'mdp.39015078555243', 'mdp.39015078556274', 'mdp.39015064001681', 'mdp.39015078554618', 'mdp.39015078556282', 'mdp.39015064001699'}	"{'Voyages and travels', 'Adventure stories', 'Survival', ""Children's stories"", 'Islands', 'Comic books, strips, etc', 'Robinsonades', 'Voyages, Imaginary', 'Juvenile fiction', 'Castaways', 'Adventure and adventurers', 'Shipwreck survival', 'Shipwrecks', 'Juvenile literature', 'Crusoe, Robinson (Fictitious character)'}"	Robinson Crusoe		1731
Martineau Harriet	B5209	{9199935}		{'dul1.ark+=13960=t7rn3x266'}	{'Conduct of life', 'Generosity', 'Sisters', 'Juvenile fiction', 'Young women', 'Juvenile literature', 'Selfishness'}	Five years of youth or Sense and sentiment		1831
Bangs John Kendrick	B388	{6775910}	{'Juvenile audience'}	{'mdp.39015030856978'}		The enchanted typewriter		1899
Henty G A George Alfred	B3596	{3179921}	{'Juvenile audience', 'Novel'}	{'mdp.39015073478763'}	{'Criminal investigation', 'Juvenlie fiction', 'London', 'England'}	Colonel Thorndykes secret		1898
Bashford H H Henry Howarth Sir	B662	{3183817, 6814043, 6814150}	{'Juvenile works'}	{'nyp.33433074936794'}	{'Juvenile fiction', 'Boys', 'Conduct of life'}	Tommy Wideawake		1903
Ewing Juliana Horatia Gatty	B2627	{2719776}	{'Juvenile audience'}	{'njp.32101067643450'}		Melchiors dream  brothers of p		1885
Hetzel PierreJules	B4089	{8664206}	{'Juvenile audience'}	{'nyp.33433082348883'}		Little Rosys voyage of discove		1868
Sidney Margaret	B7950	{6800747}	{'Juvenile audience', 'Novel'}	{'uc2.ark+=13960=t1xd0rw7q'}		Five little Peppers midway		1893
Potter Beatrix	B6506	{3280777}	{'Juvenile audience'}	{'nyp.33433000855258'}	"{'Juvenile fiction', ""Children's stories, English"", 'Swine'}"	The tale of Pigling Bland		1913
Harker L Allen Lizzie Allen Mrs	B3607	{3174071}	{'Juvenile audience'}	{'njp.32101066122621'}		A romance of the nursery		1902
Musset Paul de	B5726	{9426696, 4363247}	{'Juvenile audience'}	{'uc2.ark+=13960=t3xs5ng3d'}		Mr Wind and Madam Rain		1864
Andersen H C Hans Christian	B35	{8840528, 3166908, 3161191}	{'Juvenile audience'}	{'mdp.39015066048755'}	{'Fairy tales'}	Fairy tales from Hans Andersen		1875
Tayler Charles B Charles Benjamin	B8121	{8647764}	{'Juvenile audience'}	{'nyp.33433075763692'}	{'English fiction'}	Mark Wilton the merchants cler		1847
Alcott Louisa May	B13	{8658809}	{'Juvenile audience', 'Juvenile works'}	{'mdp.39015004168533'}	{'March family (Fictitious characters)', 'Mothers and daughters', 'Juvenile fiction', 'Young women', 'Sisters', 'Families', 'New England'}	Little women or Meg Jo Beth an		1880
Seton Ernest Thompson	B7371	{3168436}	{'Juvenile audience'}	{'mdp.39015039600534'}	{'Animals', 'Folklore', 'Anecdotes', 'Animals, Legends and stories of'}	Wild animals I have known and 200 drawings  zbeing the personal histories of Lobo Silverspot Raggylug Bingo the Springfield fox the Pacing mustang Wully snd Redruff		1898
Tytler M Fraser	B8067	{4967627}	{'Juvenile audience'}	{'njp.32101063578338'}	{'Conduct of life'}	The wonderseeker or The history of Charles Douglas		1847
Semple Elizabeth	B7307	{4428569}	{'Juvenile audience'}	{'hvd.hn2hej', 'hvd.hn2hei'}	{'Children', 'Conduct of life'}	Summer rambles or Conversations instructive and entertaining  for the use of children  dedicated by permission to Her Royal Highness The Princess Charlotte of Wales		1801
Stedman Douglas C	B7586	{6706047}	{'Juvenile audience'}	{'uc1.31158003962957'}	{'fl. 1071', 'Norman period, 1066-1154', 'England', 'Hereward', 'History', 'Folklore'}	The story of Hereward the champion of England		1909
Kingston William Henry Giles	B4541	{8521942}	{'Juvenile audience'}	{'nyp.33433000662902'}	{'Voyages and travels', 'Juvenile literature'}	My first voyage to southern se		1860
Porchat J Jacques Jean Jacques	B6823	{3763815}	{'Juvenile audience'}	{'nyp.33433075832182'}		Three months under the snow  t		1854
Barnum Vance	B783	{3208593}	{'Juvenile audience'}	{'uc1.b2837401'}		Joe Strong the boy wizard  or The mysteries of magic exposed		1916
Barrie J M James Matthew	B1297	{9007679}	{'Juvenile audience', 'Juvenile literature'}	{'uc1.32106001922290'}		The little white bird or Adven		1902
Hudson W H William Henry	B3547	{3208644}	{'Juvenile audience'}	{'mdp.39015035525958'}		A little boy lost		1918
Du Chaillu Paul B Paul Belloni	B2259	{8658933}		{'nyp.33433082450580'}	{'Gorilla', 'Description and travel', 'Juvenile literature'}	Stories of the gorilla country		1869
Hill Grace Livingston	B3599	{3206427}		{'mdp.39076002647787'}	{'Juvenile fiction', 'Families'}	Recreations		1924
Ballantyne R M Robert Michael	B825	{8636225}	{'Juvenile audience'}	{'uc1.b4102978'}		Ungava  a tale of Esquimaux land		1857
Wilberforce Samuel	B8631	{8316156}	{'Juvenile audience'}	{'nyp.33433075768550'}	{'Parables, English', 'Parables', 'Juvenile literature'}	The rocky island and other par		1841
Keary Annie	B4662	{8627104, 5010117}	{'Juvenile audience'}	{'wu.89094609005'}		The heroes of Asgard  tales fr		1871
Colum Padraic	B2022	{3328861, 3163670}	{'Juvenile audience'}	{'nc01.ark+=13960=t8nc71360'}		The adventures of Odysseus and		1918
Sherwood Mary Martha 17751851 Mrs	B7944	{9028641}	{'Juvenile audience'}	{'njp.32101064630062'}		The mirror of maidens in the d		1851
Andersen H C Hans Christian	B94	{8716369}	{'Juvenile audience'}	{'nyp.33433075755037'}	"{'Translations into English', ""Children's stories, Danish""}"	Andersens tales for children		1861
Reid Mayne	B7253	{4998909}	{'Juvenile audience'}	{'uc2.ark+=13960=t0zp4163f'}		The boy hunters or Adventures 		1853
Kipling Rudyard	B4484	{8944490}	{'Juvenile audience'}	{'mdp.39015000623465'}		Rewards and fairies		1910
Henty G A George Alfred	B4154	{3174288}	{'Juvenile audience'}	{'mdp.39015073429147'}		In the hands of the Malays and		1902
Warner Charles Dudley	B8754	{8527753}	{'Juvenile works', 'ContainsBiogMaterial'}	{'uc2.ark+=13960=t12n4zw00'}	{'1829-1900', 'Readers', 'Boys', 'Juvenile fiction', 'Warner, Charles Dudley', 'Families', 'Agriculture'}	Being a boy		1877
Nieritz Gustav	B6188	{4449811}	"{'Juvenile audience', 'Novel', 'Pictorial cloth bindings (Binding)', ""Publishers' catalogues""}"	{'wu.89093089530'}	{'Filial piety', 'Juvenile literature', 'Napoleonic Wars, 1800-1815', 'Campaigns', 'Russia'}	The little drummer or Filial affection  a story of the Russian campaign		1852
Bennett Charles H Charles Henry	B549	{8629596}	{'Juvenile audience'}	{'nyp.33433068197874'}	{'Fables', 'Smoking in art'}	The fables of Aesop and others translated into human nature		1860
Reid Mayne	B7053	{4998909}	{'Juvenile audience'}	{'uc2.ark+=13960=t0zp4163f'}		The boy hunters or Adventures in search of a white buffalo		1853
Bashford H H Henry Howarth Sir	B728	{3224549}	{'Juvenile audience'}	{'nyp.33433082524129'}		Halfpast bedtime		1922
Sidney Margaret	B7352	{6800747}	{'Juvenile audience'}	{'mdp.39015024483136'}		Five little Peppers and how they grew		1881
Chamoud Simone	B1364	{3228002}	{'Juvenile audience'}	{'mdp.39015014505203'}	{'France', 'Fairy tales', 'Folklore'}	Picture tales from the French		1933
Burgess Thornton W Thornton Waldo	B1109	{6747740, 3180749}	{'Juvenile audience'}	{'mdp.39015083449523'}		The adventures of Bobby Coon		1920
Alcott Louisa May	B113	{8615935}	{'Juvenile audience'}	{'pst.000032224764'}		Eight cousins or The aunthill		1888
Montgomery L M Lucy Maud	B5263	{3195158}	{'Juvenile audience'}	{'mdp.39015012333046'}		Anne of the island		1915
Lang Andrew	B4791	{6815998}	{'Juvenile audience'}	{'nyp.33433068184583'}		Tales of Troy and Greece		1907
Hetzel PierreJules	B3756	{8664206}	{'Juvenile audience'}	{'nyp.33433082348883'}		Little Rosys voyage of discovery undertaken in company with her cousin Charley		1868
Harris Joel Chandler	B3629	{8821256}	"{""Children's stories"", ""Publishers' advertisements""}"	{'njp.32101068598935'}	"{'Brer Rabbit (Legendary character)', 'Juvenile fiction', 'Storytelling', ""Children's stories"", 'Plantation life'}"	Plantation pageants		1899
Theal George McCall	B8321	{8837662}	{'Juvenile audience'}	{'uc1.$b809936'}		Kaffir folklore or A selection		1884
Defoe Daniel	B2439	{8294286}	"{'Illustrated works', 'Juvenile audience', 'Ink stamps (Provenance)', 'Adventure stories', 'Markings (Provenance)', ""Publishers' advertisements"", 'Endpapers (Binding)', 'Janson', 'Bibliographies', 'Novel', 'ContainsBiogMaterial', 'Imaginary voyages', 'Autographs (Provenance)', 'Cloth bindings (Binding)', 'Bookplates (Provenance)', 'Paper labels (Binding)', 'Juvenile literature', 'Armorial bookplates (Provenance)', 'Typefaces (Type evidence)', 'Inscriptions (Provenance)'}"	{'mdp.39015078548396'}		The life and strange surprizin		1719
Rhys Ernest	B7281	{3272171}	{'Juvenile audience'}	{'mdp.39015024837067'}		Fairy gold a book of Old Engli		1907
Johnson Marjorie R	B4393	{6813514, 3178140}	{'Juvenile audience'}	{'uva.x002264909'}		Chinatown stories		1900
Potter Beatrix	B6453	{3174879}	{'Juvenile audience'}	{'mdp.39015024534706'}		The rolypoly pudding		1908
Semple Elizabeth	B7884	{4428569}	{'Juvenile audience'}	{'hvd.hn2hej', 'hvd.hn2hei'}		Summer rambles or Conversation		1801
Davis Julia	B2110	{3233830}	{'Juvenile audience', 'Juvenile literature'}	{'mdp.39015024085154'}	{'Juvenile fiction', 'Folklore', 'Vikings', 'Denmark'}	The swords of the Vikings  stories from the works of Saxo Grammaticus		1928
London Jack	B5048	{6843345, 9308221}	{'Juvenile audience'}	{'njp.32101067626554', 'wu.89006659445'}	{'American literature'}	White Fang		1911
Seton Ernest Thompson	B7446	{2436600, 3202649}	{'Juvenile audience'}	{'nyp.33433011005836'}	{'Animals', 'Juvenile fiction', 'Animal behavior', 'Anecdotes', 'Juvenile literature'}	Wild animal ways		1916
Ballantyne R M Robert Michael	B941	{8823788}		{'uc2.ark+=13960=t6639tr4g'}	"{'Turkey', 'Juvenile fiction', 'War stories', 'Adventure stories', ""Children's stories""}"	In the track of the troops		1881
Rhys Ernest	B6908	{3272171}	{'Juvenile audience'}	{'mdp.39015024837067'}	{'Fairy tales'}	Fairy gold a book of Old English fairy tales		1907
Burgess Thornton W Thornton Waldo	B1111	{6747740, 3180749}	{'Juvenile audience'}	{'wu.89007333735'}		The adventures of Danny Meadow		1915
Craik Dinah Maria Mulock Mrs	B2052	{2743286}	{'Juvenile audience'}	{'njp.32101067709913'}		The adventures of a brownie as		1873
Laut Agnes C Agnes Christina	B5001	{9412952}		{'uc2.ark+=13960=t9571hd9j'}	{'Juvenile fiction', 'Northwest Territories', 'History'}	Lords of the North		1900
