author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Trollope Anthony	B8166	{8495640, 8669861}	{'Bibliographies'}	{'uc1.b4102140'}	{'Barchester (England : Imaginary place)', 'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	The last chronicle of Barset		1874
Johnson Clifton	B4323	{8956271}		{'uc1.$b750916'}	{'Social life and customs', 'Description and travel', 'England', 'Country life'}	Among English hedgerows		1899
Trollope Anthony	B8140	{4363494}	{'NotBiographical'}	{'pst.000012922703'}	{'Social life and customs', '19th century'}	Rachel Ray		1862
Leacock Stephen	B4715	{6859072}		{'mdp.39015000638018'}	{'Social life and customs', 'City and town life', 'Canada'}	Sunshine sketches of a little 		1912
Wells H G Herbert George	B8734	{3235476}		{'uc1.b5023357'}	{'Utopias', 'Social problems', 'Sociology'}	What are we to do with our lives		1931
Jarves James Jackson	B4240	{8625325}		{'mdp.39015047750396'}	{'Social life and customs'}	Kiana a tradition of Hawaii		1857
Petrovitch Woislav M	B6449	{8961549}		{'mdp.39015008931498'}	{'Social life and customs', 'Yugoslavia', 'Legends', 'Folklore', 'Serbia'}	Hero tales and legends of the Serbians		1915
Hawthorne Nathaniel	B3984	{2902638}	{'Bibliographies'}	{'uva.x000091305'}	{'Social life and customs', 'Historical fiction, American'}	Twicetold tales		1837
Mansfield Katherine	B5673	{6867395, 3187567}		{'uc2.ark+=13960=t0wp9wh4k'}	{'Social life and customs', 'Murry, John Middleton', '1889-1957'}	In a German pension		1911
Webster Wentworth	B8690	{6671522}		{'uc1.$b49961'}	{'Basques', 'France', 'Pays Basque (France)', 'Basque language', 'Tales', 'Pays Basque', 'Legends', 'Social life and customs', 'Folklore'}	Basque legends		1877
Tollemache Beatrix Lucia Catherine Egerton	B8038	{9351725}		{'mdp.39015058341382'}	{'Peasants', 'Social life and customs', 'Soviet Union'}	Russian sketches chiefly of peasant life		1913
Tayler Charles Benjamin	B8052	{6139658, 4712414}		{'mdp.39015065564208', 'mdp.39015065564604', 'mdp.39015065564216', 'mdp.39015065564265'}	{'Working class', 'Social conditions', 'Great Britain'}	Social evils and their remedy		1835
Swettenham Frank Athelstane Sir	B7585	{6637042}		{'uc1.$b83375'}	{'Social life and customs', 'Malay Peninsula', 'Malays (Asian people)'}	Malay sketches		1895
Dickens Charles	B2381	{9438853, 4990166}	{'Legal stories', 'Bildungsromans', 'Domestic fiction', 'Bibliographies', 'ContainsBiogMaterial', 'Didactic fiction'}	{'uiuo.ark+=13960=t19k51v83', 'uiuo.ark+=13960=t9t15qw1s', 'uiuo.ark+=13960=t3tt5bm1x', 'uiuo.ark+=13960=t2c830k3q'}	{'Social problems', 'London (England)', 'Dickens, Charles', 'Young women', '1812-1870', 'Guardian and ward', 'Inheritance and succession', 'Illegitimate children'}	Bleak house		1852
Wharton Edith	B8764	{3184233, 6748866, 2446036, 2439391}	{'Bibliographies'}	{'uc2.ark+=13960=t1sf2mx9b'}	{'Married people', 'Social life and customs', 'Rural poor', 'New England', 'Farm life'}	Ethan Frome		1911
Fox John	B2775	{9424844}		{'nyp.33433075741227'}	{'Authors, American', 'Social life and customs', 'Kentucky', 'Mountain life'}	Christmas eve on Lonesome		1904
Eliot George	B2611	{2463920, 8778938}	{'NotBiographical', 'Bibliographies', 'Novel'}	{'uiuo.ark+=13960=t8hd8j356', 'uiuo.ark+=13960=t1fj3570z', 'uiuo.ark+=13960=t50g4c509', 'uiuo.ark+=13960=t0ks7cx66'}	{'Social life and customs', '19th century'}	Middlemarch a study of provincial life		1871
Fraser Hugh Mrs	B2674	{8949326}	{'Biography', 'Autobiography', 'History'}	{'mdp.39015010807835', 'mdp.39015010807827'}	"{'-1922', 'Description and travel', 'Fraser, Hugh', 'Biography', 'Mrs', ""Diplomats' spouses"", 'Social life and customs', 'History'}"	A diplomatists wife in many lands		1910
Topham Anne	B8204	{6855533, 2434615}		{'uc2.ark+=13960=t6ww7b84s'}	{'Social life and customs', 'Germany'}	Daphne in the Fatherland		1913
Fraser Hugh Mrs	B2737	{3264992}		{'nyp.33433074854088'}	{'Social life and customs', '1868-1912'}	The custom of the country tales of new Japan		1899
Morrison Arthur	B5653	{8831810, 6655091, 3180846}	{'Bibliographies'}	{'uc1.b4105458'}	{'Slums', 'London', 'England', '19th century', 'Boys', 'Social life and customs'}	A child of the Jago		1896
Collins Wilkie	B1466	{8469993}	{'Romantic suspense novels', 'Mystery and detective fiction', 'Bibliographies', 'Great Britain'}	{'uiuo.ark+=13960=t0zp4bq6b', 'njp.32101068581576', 'uiuo.ark+=13960=t5bc48x1g'}	{'Country homes', 'Psychiatric hospital patients', 'Art teachers', 'Nobility', '19th century', '823C69W1860', 'Deception', 'English fiction', 'Social life and customs', 'Inheritance and succession'}	The woman in white		1860
