author	bookid	bpoids	genres	htrcids	subjects	title	is_fic	pubdate
Woolf Virginia	B8478	{8959292, 3200389}	{'Bibliographies', 'Bildungsromane'}	{'mdp.39015000610322'}	{'South America', 'Young women', 'British', 'Man-woman relationships', 'Ocean travel'}	The voyage out		1920
James Henry	B4376	{6787468, 8802397}	{'Autographs (Provenance)', 'Bookplates (Provenance)', 'Novel'}	{'uc2.ark+=13960=t6639m659'}	{'Mothers and sons', 'Inheritance and succession', 'England', 'Widows'}	The spoils of Poynton		1897
Le Fanu Joseph Sheridan	B4696	{8510875}	{'Gothic novels'}	{'njp.32101067344661', 'coo.31924088868561'}	{'Inheritance and succession', 'England'}	Checkmate		1871
Hichens Robert Robert Smythe	B3478	{3180354}	{'Love stories'}	{'coo.31924064995495', 'coo.31924013625805'}	{'Africa, Northern', 'Travel', 'Married women', 'British'}	The garden of Allah		1904
Linton E Lynn Elizabeth Lynn	B4887	{8655872}		{'uc1.$b285887'}	{'Great Britain', 'Witchcraft'}	Witch stories		1861
Trollope Anthony	B8156	{9429962, 4364890}	{'Bibliographies'}	{'uc1.32106005430803'}	{'Trollope, Anthony', 'Barsetshire (England : Imaginary place)', 'England', '19th century', '1815-1882', 'Clergy', 'Social life and customs'}	The small house at Allington		1865
Lowry H D	B4969	{6762145}		{'uc2.ark+=13960=t5s758x3g'}	{'England', 'Country life'}	The happy exile		1898
Whitechurch Victor L Victor Lorenzo	B8570	{9041509}	"{'London', 'England', ""Publishers' catalogues""}"	{'njp.32101068606126'}		The locum tenens  a novel		1906
Merrick Leonard	B5300	{8985969, 6810419}		{'mdp.39015059371875'}	{'Great Britain', 'Theater'}	Conrad in quest of his youth an extravagance of temperament		1911
Lytton Edward Bulwer Lytton Baron	B4968	{8993792, 2867530, 4341412, 4987878}	{'ContainsBiogMaterial'}	{'uc2.ark+=13960=t5w66c784', 'uc2.ark+=13960=t5s758j22', 'uc2.ark+=13960=t87h1gw05'}	{'1022?-1066', '1027 or 1028-1087', 'Edward, the Confessor, 1042-1066', 'King of England', 'Harold', 'Great Britain', 'William', 'History', '1027 or 8-1087'}	Harold the last of the Saxon kings		1848
Howitt William	B3494	{4417149, 8991757}		{'inu.30000020693762', 'uc1.b3324487'}	{'England', 'Country life'}	The hall and the hamlet or Scenes and characters of country life		1848
Collins Wilkie	B1832	{4380498}		{'uiuo.ark+=13960=t7wm20x0v', 'uiuo.ark+=13960=t2z32j87d', 'uiuo.ark+=13960=t21c2pn1g'}	{'East Indians', 'Jewelry theft', 'England', '19th century', 'History', 'Police'}	The moonstone		1868
Doyle Arthur Conan Sir	B2342	{3161572}		{'uc2.ark+=13960=t4th8fn89'}	{'Boxing', 'Tobacco', 'England', 'Smoking in art'}	Rodney Stone		1896
Snaith J C John Collis	B7717	{2437219}		{'uc2.ark+=13960=t6sx66845'}	{'Great Britain', 'History', 'Revolution of 1688'}	Mistress Dorothy Marvin		1896
MacDonald George	B5245	{8926001, 9435954}	{'Bibliographies', 'Christian fiction'}	{'mdp.39015005007086', 'mdp.39015005075125', 'uiuo.ark+=13960=t63495j2c'}	{'Scotland', 'Neighborhood', '823M14AN'}	Annals of a quiet neighbourhood		1867
Oliphant Mrs Margaret	B6282	{8614251}		{'nyp.33433074961768'}	{'Scotland', 'Reformation'}	Magdalen Hepburn A story of the Scottish reformation		1860
Austin Alfred	B59	{3161814}		{'nyp.33433009367628'}	{'Gardens', '1835-1913', 'Homes and haunts', 'England', 'Austin, Alfred'}	The garden that I love		1896
