author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Cutting Mary Stewart Doubleday	B1355	{6693874}		{'mdp.39015007000402'}		Little stories of courtship	
Adshead Joseph	B218	{5213527}		{'uc2.ark+=13960=t2m61f24k'}		A circumstantial narrative of 	
White Percy	B8440	{6769364, 8854958, 6786511}		{'coo.31924013237908'}		A millionaires daughter	
Grattan Thomas Colley	B3078	{8878079}		{'njp.32101069166229', 'uc1.b3322551'}	{'English fiction'}	Highways and byways or Tales of the roadside  picked up in the French provinces	
Warner Anna Bartlett	B8682	{9015770, 4449652}		{'uc1.$b119843'}		Glen Luna	
Frederic Harold	B2863	{3171826}		{'uc2.ark+=13960=t5p844d2n'}		Mrs Albert Grundy	
Eliot George	B2546	{8774297, 3211357, 8943685}	{'NotBiographical', 'Autobiography'}	{'mdp.39015066061949', 'mdp.39015002990524', 'uc2.ark+=13960=t6ww7b262', 'mdp.39015013132595', 'uc1.b3550155', 'njp.32101064789397', 'njp.32101064789413', 'uc2.ark+=13960=t86h4gz3b', 'uc2.ark+=13960=t7cr5rh4c', 'uc1.b3550156', 'uc2.ark+=13960=t2r49rm23', 'njp.32101064789454', 'uc2.ark+=13960=t44q7tq9q', 'uc2.ark+=13960=t1wd40779', 'mdp.39015066325336', 'uc2.ark+=13960=t5p846v48', 'mdp.39015013399814', 'mdp.39015061285808', 'uc2.ark+=13960=t22b94q0w', 'mdp.39015066325617', 'mdp.39015066325328', 'mdp.39015051880568', 'mdp.39015066057442', 'uc2.ark+=13960=t75t3k50z', 'uc2.ark+=13960=t7dr2zw3g', 'uc2.ark+=13960=t3vt1s08d', 'uc2.ark+=13960=t22b8z654', 'mdp.39015065768106', 'njp.32101045661939', 'uc2.ark+=13960=t8jd4sw4q', 'mdp.39015008631247', 'uc1.b3550152', 'njp.32101064789751', 'mdp.39015051880576', 'mdp.39015066015127', 'uc1.b3550158', 'uc1.b3550157', 'uc2.ark+=13960=t80k29k99', 'njp.32101064789439', 'mdp.39015011602052', 'uc1.b3550153', 'uc2.ark+=13960=t3rv0pd2p', 'uc2.ark+=13960=t0cv4mx1c', 'uc2.ark+=13960=t3222v42s', 'njp.32101064789421', 'uc2.ark+=13960=t1gh9f10t', 'mdp.39015002267402', 'uc2.ark+=13960=t9086cz88', 'uc2.ark+=13960=t3hx1g341', 'mdp.39015066325484', 'uc2.ark+=13960=t4nk3gj55', 'uc2.ark+=13960=t6930zf34', 'uc2.ark+=13960=t4gm84m3n', 'uc2.ark+=13960=t3611547f', 'mdp.39015011602045', 'njp.32101064789405', 'uc2.ark+=13960=t2v40v72x', 'uc1.b3550154', 'uc2.ark+=13960=t3fx7d89h'}	{'Eliot, George', '1819-1880'}	The works of George Eliot	
Baskerville Beatrice C	B579	{6814927}		{'nyp.33433074828116'}		The enchanted garden	
Stevenson Burton Egbert	B7405	{8981118}		{'mdp.39015063960531'}		The mystery of the Boule cabinet a detective story	
Nichols Mary Sargeant Gove	B6106	{8625569}	{'ContainsBiogMaterial'}	{'nyp.33433068179161'}	{'American fiction'}	Mary Lyndon  or Revelations of a life An autobiography	
