author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
James Henry	B4440	{3159245}	"{""Publishers' cloth bindings (Binding)"", 'Psychological fiction', ""Booksellers' labels (Provenance)"", 'England', 'Autographs (Provenance)', 'Bookplates (Provenance)'}"	{'uva.x001863446', 'nyp.33433081852612', 'uc1.b4698027'}		The lesson of the master	1892
SackvilleWest V Victoria	B7329	{3195843}	{'Love stories'}	{'mdp.39015002753138'}	{'Social life and customs', '20th century'}	The heir a love story	1922
Grant James	B3128	{9454991}		{'nyp.33433074864392'}	{'Scottish authors', 'English fiction'}	Second to none a military roma	1860
Montgomery L M Lucy Maud	B5485	{3177427}	"{'Boston', 'Massachusetts', ""Publishers' cloth bindings (Bindings)"", 'Pictorial cloth bindings (Bindings)'}"	{'nyp.33433074902499'}	{'Canadian fiction', 'Shirley, Anne (Fictitious character)'}	Anne of Avonlea	1909
Lee Vernon	B5107	{6857107}		{'coo.31924013531722'}		Vanitas polite stories includi	1911
Grey Zane	B3391	{4923644}	{'Western stories', 'Historical fiction, American', 'Biographical fiction, American'}	{'nyp.33433076067234'}		The last trail  a story of ear	1909
Warman Cy	B8572	{6789852}		{'nnc1.1002249626'}	{'American fiction'}	The express messenger and other tales of the rail	1897
Wood Ellen	B8987	{2715133}		{'coo.31924013573104', 'coo.31924065001079'}		Bessy Rane A novel	1870
Harris Miriam Coles	B3753	{8927354}		{'nyp.33433076088446'}	{'American fiction'}	The tents of wickedness	1909
Onions Oliver	B6279	{6788376}		{'nyp.33433074961578'}		Back o the moon and other stories	1906
Shaw Kerr	B7592	{2449953}		{'uc1.b3123636'}	{'English school life'}	For sons of gentlemen	1926
Street Alfred Billings	B7566	{8734446}		{'uc1.$b282021'}	{'Description and travel', 'Adirondack Mountains (N.Y.)'}	Woods and waters or The Saranacs and Racquet	1860
Graham Stephen	B3028	{3207020}		{'mdp.39015059421944'}	{'Lindsay, Vachel', 'Personal copy', '1879-1931', 'Library'}	Midsummer music	1926
Mason Eugene	B5369	{8965413}		{'njp.32101072852633'}	{'Translations into English', 'French literature', 'To 1500'}	Oldworld love stories From the lays of Marie de France  other mediaeval romances  legends	1913
LeeHamilton Eugene	B4913	{6696546}		{'uc1.b3579169'}		The romance of the fountain	1905
Hill William Kirkpatrick	B3709	{6827274}		{'nyp.33433074870696'}	{'English fiction'}	Edwin Trafford altruist  an economic romance	1908
Cox George W George William	B1347	{3175543}	{'Juvenile audience'}	{'inu.39000005817486'}	{'Mythology, Classical', 'Juvenile literature'}	Tales of the gods and heroes	1902
Pain Barry	B6490	{6764162, 6780863}		{'nc01.ark+=13960=t2w38qw4r'}		Stories in the dark	1901
Johnson William Henry	B4377	{6781980}		{'uc2.ark+=13960=t6k06zv37'}	{'France', 'Huguenots'}	King or knave which wins	1899
London Jack	B5048	{6843345, 9308221}	{'Juvenile audience'}	{'njp.32101067626554', 'wu.89006659445'}	{'American literature'}	White Fang	1911
Myrick Herbert	B5640	{8919635}		{'uc1.b3581601'}	{'Indians of North America', 'Cowboys', 'Frontier and pioneer life'}	Cache la poudre  the romance of a tenderfoot in the days of Custer	1905
Mackarness Henry S Mrs	B5402	{9027055}	"{'Juvenile audience', ""Children's stories""}"	{'nyp.33433074876206'}	{'Juvenile fiction', 'Conduct of life'}	The cloud with the silver lining	1852
Sterling John	B7333	{5846571, 8689269}		{'uc1.b3339531', 'uc1.b3339530', 'mdp.39015004182369'}	{'Anonymous armorial book-plate'}	Arthur Coningsby	1833
Griffith George Chetwynd	B3246	{8856616}		{'uc2.ark+=13960=t2j67fg4m'}		The romance of Golden Star	1897
Eyre Laurence	B2624	{3318704}		{'wu.89004876900'}	{'American fiction'}	The things that count	1914
Harris Frank	B3555	{9232252, 6795336, 6796300}		{'mdp.39015059403983'}		Montes the matador and other stories	1900
Macaulay Rose Dame	B5365	{6821759}		{'njp.32101068574498'}		Abbots Verney  a novel	1906
Hains T Jenkins Thornton Jenkins	B4128	{8903336}	{'Sea stories'}	{'nyp.33433076083678'}		The voyage of the Arrow  to th	1906
London Jack	B4923	{6810552, 3278203, 9012838}		{'uc2.ark+=13960=fk01z41s21'}	{'Adventure stories, American', 'Social life and customs', 'Yukon', 'Gold discoveries', 'Klondike River Valley (Yukon)'}	The son of the wolf	1900
Blackmore R D Richard Dooddridge	B960	{8519597}		{'uc2.ark+=13960=t73t9h50s'}	{'Peninsular War, 1807-1814'}	Alice Lorraine	1893
MacDonald Ronald	B5560	{6823634, 9293422}		{'nyp.33433076081540'}	{'American fiction'}	A human trinity	1907
Linklater Eric	B5180	{2486378}		{'mdp.39015048881158'}		Magnus Merriman a novel	1934
Reid Mayne	B7253	{4998909}	{'Juvenile audience'}	{'uc2.ark+=13960=t0zp4163f'}		The boy hunters or Adventures 	1853
James G P R George Payne Rainsford	B4246	{4968657}		{'mdp.39015062285971', 'njp.32101067647766', 'njp.32101067647782'}	{'History', 'Henry IV, 1589-1610'}	Rose dAlbret or Troublous times A romance	1844
Wynne Madeline Yale Mrs	B8584	{8800120}		{'nyp.33433074806302'}	{'American fiction'}	The little room and other stor	1895
Browne Belmore	B1155	{3315379, 3197735}	{'Juvenile audience'}	{'nyp.33433074815162'}		The quest of the Golden Valley	1916
Stephens John L	B7341	{9263257}		{'mdp.39015012339498'}	{'Description and travel'}	Incidents of travel in Greece Turkey Russia and Poland	1839
Sheppard Elizabeth Sara	B7780	{8613072, 6249918}		{'uiuo.ark+=13960=t40s0df51', 'uiuo.ark+=13960=t72v35t5b', 'uiuo.ark+=13960=t1tf0f91w'}	{'Musical fiction'}	Counterparts or The cross of l	1854
Charles Elizabeth Rundle	B1616	{9591367}		{'nyp.33433074970637'}	{'English fiction'}	The two vocations or The sisters of mercy at home	1865
Crockett S R Samuel Rutherford	B2039	{3167331}	"{'History', ""Publishers' cloth bindings (Binding)"", 'United States', 'War stories', 'Historical fiction', 'Pictorial cloth bindings (Binding)'}"	{'nyp.33433074949847'}		The men of the mountain	1909
Millin Sarah Gertrude Liebson	B5572	{3202925}		{'uc1.$b243685'}	{'Race discrimination', 'Khoikhoi (African people)'}	Gods stepchildren	1924
Maugham W Somerset William Somerset	B5246	{3236688}		{'mdp.39015005073476'}	{'World War, 1914-1918'}	Ashenden or The British agent	1928
Besant Walter Sir	B747	{3156771}		{'uc1.$b249610'}	{'Science fiction', 'Wealth', 'Moral and ethical aspects', 'Inheritance and succession', 'Scientists'}	Beyond the dreams of avarice	1895
Beech William	B1152	{6788536}		{'mdp.39015049886388'}		Great French short stories	1928
Sherwood Mary Martha 17751851 Mrs	B7944	{9028641}	{'Juvenile audience'}	{'njp.32101064630062'}		The mirror of maidens in the d	1851
Baker Ray Stannard	B552	{3187155}		{'nyp.33433074790241'}	{'American essays'}	Adventures in friendship	1910
Ognev N Nikolaĭ	B6390	{3217195}	{'ContainsBiogMaterial'}	{'mdp.39015011353847'}		The diary of a communist under	1929
Tynan Katharine	B8082	{6769224}		{'njp.32101067645786'}	{'Intellectual life', 'Politics and government'}	Twentyfive years reminiscences	1913
Zangwill Israel	B9092	{6801672, 8877481}		{'mdp.39015030113396'}		The mantle of Elijah  a novel	1900
Atherton Gertrude Franklin Horn	B108	{3172289, 6745931}		{'nyp.33433082173729'}		American wives and English husbands A novel	1898
Dickens Charles	B2469	{3295184, 3206547, 3189524, 4444870, 3202927}	{'Bibliographies'}	{'loc.ark+=13960=t06w9wx97'}		A Christmas carol and The cric	1870
Moore Frank Frankfort	B5798	{3199786}		{'uc2.ark+=13960=t8kd1t47w'}	{'Social life and customs', 'Great Britain'}	The lighter side of English life	1913
James G P R George Payne Rainsford	B4244	{5230614}		{'mdp.39015059408149', 'mdp.39015059408131', 'mdp.39015059408156'}		The kings highway  a novel	1840
Durand Henry Mortimer Sir	B2177	{9045688}		{'njp.32101068177342'}	{'Shah of Iran', 'Nādir Shāh', '1688-1747'}	Nadir Shah	1908
Schnitzler Arthur	B7337	{3237356}		{'mdp.39015033398812', 'mdp.39015008148622'}	{'Austrian fiction', 'Translations into English', '1862-1931', 'Schnitzler, Arthur'}	Little novels	1929
Gregory William Henry Sir	B3168	{9182161, 4986798}		{'nyp.33433082326764'}	{'Travel', 'Description and travel', '1817-1892', 'Gregory, William Henry'}	A transport voyage to the Mauritius and back touching at the Cape of Good Hope and St Helena	1852
Boothby Guy Newell	B694	{6788051}		{'nyp.33433074940168'}	{'Presses, Issues of', 'Stone & Kimball'}	Long live the king	1900
Marryat Frederick	B5584	{4441406}		{'uc1.$b250190', 'uc1.$b250191', 'uc1.$b250192'}	{'Flying Dutchman', 'Immortalism'}	The phantom ship	1839
Naylor J B James Ball	B6130	{8898386, 6791919}		{'nyp.33433076023351'}	{'Shawnee Chief', '1768-1813', 'Tecumseh'}	The sign of the prophet a tale of Tecumseh and Tippecanoe	1901
Conrad Joseph	B1556	{6746152, 3207482}		{'nyp.33433074942925'}	{'English fiction'}	Tales of unrest	1898
Reade Charles	B7236	{9415989}	{'Novel'}	{'uc2.ark+=13960=t91838z67'}		Peg Woffington	1853
Goldschmidt Meïr	B3054	{4845559}		{'njp.32101061919559', 'njp.32101061919542', 'njp.32101061919567'}	{'1799-1888', 'Howitt, Mary Bothan', 'tr'}	Jacob Bendixen the Jew adapted from the Danish of Goldschmidt	1852
Legge Arthur E J Arthur Edward John	B4827	{3180636, 6776982}		{'nyp.33433074878202'}	{'English fiction'}	Mutineers	1898
Edmond Amanda M Corey	B2649	{6146378, 4448540, 4700727}	{'Juvenile audience'}	{'njp.32101063603946'}		Forget me not a gift for Sabba	1852
Herkomer Hubert von Sir	B4001	{3289630}	{'Autobiography'}	{'yale.39002088672598'}	{'Biography', 'Artists', '1849-1914', 'England', 'Herkomer, Hubert von'}	The Herkomers	1910
Lawrence D H David Herbert	B4781	{8955427, 3186031}		{'njp.32101068574464'}		The Prussian officer and other stories	1914
Carrel Frederic	B1624	{8858178}		{'nyp.33433081998415'}	{'English fiction'}	The progress of Pauline Kessle	1900
Sylva Carmen	B7354	{3176749}		{'mdp.39015029560045'}	{'Romania', 'Mountains', 'Rivers', 'Folklore'}	Legends from river  mountain	1896
Kipling Rudyard	B4547	{3191778, 6625339, 3168748, 8945669}	{'English fiction'}	{'nyp.33433074866611'}		Many inventions	1893
Penny F E Fanny Emily	B6533	{6786982}		{'nyp.33433075765598'}	{'English fiction'}	The teaplanter	1906
Henty G A George Alfred	B4157	{3174883}	{'Juvenile audience'}	{'mdp.39015073479365'}		St Bartholomews eve  a tale of	1893
Lavenu L S	B4807	{8748874}		{'nyp.33433074873476'}	{'English fiction'}	Erlesmere or Contrasts of char	1862
Martineau Harriet	B5634	{5220997}		{'uc1.b3581532'}	{'Jesus Christ'}	Traditions of Palestine	1830
Rita	B6972	{8908737}		{'nyp.33433074869805'}	{'English fiction'}	The pointing finger	1907
Oursler Fulton	B6243	{3165537}	{'Bibliographies'}	{'mdp.39015023131215'}	{'Menken, Adah Isaacs', '1835-1868'}	The worlds delight	1929
Coryn Marjorie	B1967	{9087693}	{'Bibliographies', 'ContainsBiogMaterial'}	{'mdp.39015063547627'}		Black Mastiff	1933
Webb Mary Gladys Meredith	B8731	{2446764, 3239925}		{'uc1.b4082853'}	{'Young women', 'England', 'Man-woman relationships', 'Love stories, English'}	Seven for a secret	1927
Redding Cyrus	B6953	{8773503}		{'njp.32101065704346', 'njp.32101065704353', 'njp.32101065704262'}		Keeping up appearances a novel of English life	1861
Le Fanu Joseph Sheridan	B4915	{9185335}		{'uc1.b3579175', 'uc1.b3579176', 'uc1.b3579177'}		The Wyvern mystery  a novel	1869
Moore George	B5981	{8961362, 6796996, 6830469}		{'uc2.ark+=13960=t3xs5xp4w'}		Sister Teresa a novel	1811
Redding Cyrus	B7270	{8773503}		{'njp.32101065704353', 'njp.32101065704346', 'njp.32101065704262'}		Keeping up appearances a novel	1861
Freiherr de La MotteFouqué Friedrich Heinrich Karl	B2892	{8568141}		{'uva.x030446086', 'uva.x030446087', 'uva.x002037474'}		The magic ring  a romance	1825
Gogolʹ Nikolaĭ Vasilʹevich	B2988	{9111672, 8957382}	{'Bibliographies'}	{'mdp.39015004104850', 'uiuo.ark+=13960=t9s187053', 'mdp.39015004119569', 'uc1.b4010822', 'mdp.39015002257536'}	{'Social life and customs', '1533-1917'}	Dead souls	1852
Andersen H C Hans Christian	B15	{4973077, 8467653}	{'Juvenile audience'}	{'mdp.39015004314079'}	{'Fairy tales'}	Danish fairy legends and tales	1861
Brougham John	B1153	{3216976}	{'NotBiographical'}	{'uc2.ark+=13960=t86h4pg5h'}		Humorous stories	1856
Wells H G Herbert George	B8870	{2442175}	{'Novel'}	{'wu.89002181352'}	{'Fiction in English, 1900-1945 - Texts', 'Discontent', 'Social life and customs', 'Life change events', '19th century'}	The history of Mr Polly	1909
Homer	B4063	{8922201}	{'Bibliographies'}	{'wu.89013530472'}		The Odyssey	1900
Saroyan William	B7993	{6746108}		{'mdp.39015002756974'}		The Assyrian and other stories	1950
Saroyan William	B7331	{2450581}	{'Short stories'}	{'mdp.39015002756875'}		Inhale  exhale	1936
Norton Caroline Sheridan	B6100	{9159885, 4989598}		{'njp.32101063883332', 'njp.32101063883324'}	{'English fiction'}	Stuart of Dunleath  a story of the present time	1851
Nicholson Meredith	B6129	{2440418, 6766830}		{'nyp.33433076023120'}	{'American fiction'}	The proof of the pudding	1916
Donaldson M E M Mary Ethel Muir	B2478	{3190358}		{'mdp.49015001344903'}		The isles of flame  a romance 	1913
Willoughby George	B8635	{9087586, 9104510}		{'nyp.33433075772529'}	{'English fiction'}	The adventures and other stories	1913
Keary Annie	B4662	{8627104, 5010117}	{'Juvenile audience'}	{'wu.89094609005'}		The heroes of Asgard  tales fr	1871
Harris Joel Chandler	B3985	{8822905}	{'Mixed'}	{'uva.x000275026'}	{'Music', 'Folk songs, English', 'Animals', 'Southern States', 'African Americans', 'Remus, Uncle (Fictitious character)', 'Folklore'}	Uncle Remus and his friends old plantation stories songs and ballads with sketches of Negro character	1892
Capes Bernard Edward Joseph	B1519	{8897552}		{'nyp.33433074935093'}	{'English fiction'}	Why did he do it	1910
Graham Stephen	B3274	{2441038, 3175093, 6845750}		{'uc2.ark+=13960=t6f18vr21'}	{'Social life and customs', 'Description and travel', 'Soviet Union', 'Jerusalem'}	A tramps sketches	1912
Burnett Frances Hodgson	B1268	{8968211}	"{""Publishers' cloth bindings (Binding)"", 'New York (State)', 'New York', 'Historical fiction'}"	{'coo.31924021965714'}		A lady of quality being a most	1896
Goldsmith Oliver	B3044	{4852194, 9447259}	{'Autobiography'}	{'nyp.33433022840940', 'uc1.l0066163270', 'uc1.$b261512', 'nyp.33433022840973', 'nyp.33433022840916', 'uva.x004454810', 'nyp.33433022840908', 'nyp.33433022840957', 'uc1.$b261513', 'nyp.33433022840965', 'nyp.33433022840981', 'nyp.33433022840890', 'mdp.39015066186407', 'nyp.33433022840932', 'nyp.33433022840882', 'nyp.33433022840924', 'uc1.$b261514'}	{'1730?-1774', 'Goldsmith, Oliver'}	The works of Oliver Goldsmith	1774
Chaucer Geoffrey	B2011	{8667224}	{'Bibliographies'}	{'mdp.39015010550146'}		Notes to the Canterbury tales	1894
Ingoldsby Thomas	B4201	{8582856}		{'mdp.39015063525888'}		The Ingoldsby legends or Mirth	1845
Duros Edward	B2288	{8590710}		{'uc1.b3324286', 'uc1.b3324287'}	{'Otterburn, Battle of, 1388'}	Otterbourne a story of the English marches	1832
Tayler Charles B Charles Benjamin	B8121	{8647764}	{'Juvenile audience'}	{'nyp.33433075763692'}	{'English fiction'}	Mark Wilton the merchants cler	1847
Voynich E L Ethel Lillian	B8387	{3180404, 9406749, 6805324}	{'Novel'}	{'uc2.ark+=13960=t0ft8dv09'}		The gadfly	1897
Meredith George	B5242	{8774297, 3211357, 8943685}	{'Bibliographies'}	{'wu.89000630681', 'mdp.39015066325542', 'uc1.b3328915', 'wu.89000630780', 'mdp.39015002327651', 'mdp.39076006605567', 'mdp.39015066325682', 'wu.89000630624', 'uc1.b3328922', 'uc1.b3328931', 'mdp.39015004114396', 'mdp.39015066324818', 'wu.89000630764', 'uc1.b3328925', 'uc1.b3328917', 'mdp.39015066325112', 'mdp.39015066324834', 'mdp.39015066324974', 'uc1.b3328930', 'uc1.b3328928', 'uc1.b3328916', 'mdp.39015066325690', 'wu.89000630723', 'uc1.b3328919', 'wu.89000630673', 'uc1.b3328934', 'wu.89000630756', 'mdp.39015066324826', 'mdp.39015066325120', 'wu.89000630665', 'wu.89000630442', 'nyp.33433067296149', 'uc1.b3328932', 'uc1.b3328933', 'uc1.b3328923', 'mdp.39015066325393', 'uc1.b3328920', 'mdp.39015009039309', 'wu.89000630806', 'mdp.39015013507721', 'wu.89000630640', 'mdp.39076006605476', 'wu.89000630699', 'wu.89000630731', 'mdp.39015066324966', 'wu.89000630707', 'wu.89000630632', 'wu.89000630657', 'uc1.b3328921', 'uc1.b3328927', 'wu.89000630749', 'mdp.39015066324800', 'mdp.39076006605443', 'nyp.33433067296099', 'mdp.39076006605559', 'uc1.b3328926', 'mdp.39015065432828', 'wu.89000630798', 'uc1.b3328924', 'mdp.39015012972082', 'uc1.b3328918', 'mdp.39015066324842', 'mdp.39015027577835', 'wu.89000630483', 'mdp.39076006605500', 'mdp.39015066324958', 'wu.89000630616', 'wu.89000630327', 'mdp.39076006605526', 'mdp.39015066325104', 'uc1.b3328929', 'mdp.39076006605427', 'mdp.39015066325385', 'nyp.33433067296172', 'nyp.33433067296107', 'wu.89000630467', 'wu.89000630772'}	{'English literature'}	The works of George Meredith	1909
