author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Chesterton Cecil	B1893	{3230095}		{'yale.39002009568800'}	{'Charles', '1630-1685', 'King of England', '1650-1687', 'II', 'Gwyn, Nell'}	Nell Gwyn	1912
Merrick Leonard	B5300	{8985969, 6810419}		{'mdp.39015059371875'}	{'Great Britain', 'Theater'}	Conrad in quest of his youth an extravagance of temperament	1911
Grant Watson Elliot L Elliot Lovegood	B3298	{3216456}		{'uc2.ark+=13960=t9c53mc0x'}		Shadow and sunlight	1922
Hope Anthony	B4120	{3166777}		{'uva.x000896627'}		The prisoner of Zenda	1896
Barr Amelia Edith Huddleston	B584	{9109919}		{'nyp.33433074833413'}	{'American fiction'}	Playing with fire	1914
Queen of Great Britain Victoria	B6865	{6721267, 8736364}	{'ContainsBiogMaterial'}	{'uva.x000425323'}		More leaves from the journal o	1884
Judd Sylvester	B4455	{9160466}		{'mdp.39015012368737', 'nyp.33433076067986'}		Margaret A tale of the real an	1845
Cullum Ridgwell	B1915	{3214227}		{'nyp.33433074954615'}		The triumph of John Kars a sto	1917
Erckmann Emile	B2584	{8516041}		{'nyp.33433075818033'}		The story of the plébiscite	1872
Brady Cyrus Townsend	B854	{3204358}		{'uc2.ark+=13960=t10p0zd2w'}		The island of the stairs	1913
Brebner Percy James	B627	{3214705}		{'nyp.33433074929336'}		Christopher Quarles  college professor and master detective	1914
Kelty Mary Ann	B4530	{4697676}		{'njp.32101068971108', 'njp.32101068971082', 'njp.32101068971090'}		The story of Isabel by the author of The favourite of nature  c	1826
Boccaccio Giovanni	B1256	{8867185}		{'uc1.32106005941700', 'uc1.$b243734'}		The Decameron of Giovanni Bocc	1884
Chambers Robert W Robert William	B1457	{3198855}		{'njp.32101068165537'}		Ailsa Paige  a novel	1910
Robinson Stephen T	B7199	{3214226}		{'uc2.ark+=13960=t5j960r3t'}		The shadow of the war	1884
Rising Lawrence	B7121	{3203164}		{'uc2.ark+=13960=t7cr5qb2r'}		She who was Helena Cass	1920
Nicholson Meredith	B6164	{6864608, 3183724}		{'uc2.ark+=13960=t80k27f3s'}		The siege of the seven suitors	1910
Le Queux William	B4972	{8895851}		{'uc2.ark+=13960=t5z60j23w'}		The hunchback of Westminster	1904
Frederic Harold	B2951	{3171826}		{'mdp.39015063551470'}		Mrs Albert Grundy observations	1896
Grant James	B3445	{8676479}		{'coo.31924013459437'}		The secret dispatch a novel	1875
Fenn George Manville	B2759	{8833096}		{'nyp.33433075727101'}	{'English fiction'}	Cursed by a fortune	1897
Coppard A E Alfred Edgar	B1343	{3225925}		{'inu.32000009218126'}		Count Stefan	1928
Sinclair May	B7510	{2441754, 3215901}		{'nyp.33433075765267'}		Mr Waddington of Wyck	1921
Boyd Archibald	B508	{2551361}		{'njp.32101067630267', 'njp.32101067630259', 'njp.32101067630275'}		The Duchess or Womans love and womans hate  A romance	1850
Hawthorne Nathaniel	B3990	{6798784}	{'Juvenile audience', 'Bibliographies', 'Juvenile works'}	{'mdp.39015019185464', 'uva.x030444610'}	{'Mythology, Classical', 'Juvenile literature'}	A Wonder book for girls and boys	1851
Lee Holme	B4896	{8662539}		{'uiuo.ark+=13960=t1jh44z6t', 'uiuo.ark+=13960=t8df7bc8s', 'uc1.b3136622'}		Warp and woof or The reminiscences of Doris Fletcher	1861
QuillerCouch Arthur Thomas Sir	B6872	{6837451}		{'uc2.ark+=13960=t6057g755'}		Shakespeares Christmas and oth	1905
Hewlett Maurice Henry	B3581	{2442707}		{'mdp.39015063923471'}		Brazenhead the Great	1911
Lowndes Marie Belloc	B4959	{6754761, 8831946, 9043108, 3173404, 6802341}		{'uc2.ark+=13960=t4xg9ft33'}		The uttermost farthing	1909
Hergesheimer Joseph	B3828	{3209999}		{'uc1.b3688358'}		The three black Pennys a novel	1917
Grahame Kenneth	B2986	{3154707}		{'mdp.39015001797649'}		Pagan papers	1894
Daniel	B2389	{9457474, 4932803, 4846155}		{'uiuo.ark+=13960=t6251zv5c', 'uiuo.ark+=13960=t4qj7s111', 'uiuo.ark+=13960=t6931637v'}		Reaping the whirlwind A novel	1864
Yezierska Anzia	B9006	{3227787}		{'njp.32101067487551'}		Salome of the tenements	1923
Collins Wilkie	B1946	{8691054}		{'uc1.32106001931747'}		Poor Miss Finch a domestic sto	1889
Keightley S R Samuel Robert	B4556	{6798490}		{'nyp.33433074871686'}	{'English fiction'}	A man of millions	1901
Reade Charles	B7210	{8690225, 8597618}		{'nnc1.cu01364731'}		A terrible temptation The jilt	1884
Sala George Augustus	B7748	{4849063}		{'uiuo.ark+=13960=t3126j49n', 'uc2.ark+=13960=t9c53gz59', 'uiuo.ark+=13960=t8df7d82c'}		The strange adventures of Captain Dangerous	1863
Sidgwick Alfred Mrs	B7527	{3256342}		{'nyp.33433076026917'}		Lessers daughter	1894
Langer Angela	B4805	{6836560}		{'nyp.33433074873294'}		Rue and roses	1913
Alexander Mrs	B66	{3159247}		{'nyp.33433074850185'}		The snare of the fowler	1892
Niven Frederick	B6152	{2447072, 3166258, 9061285, 6705038}		{'uc2.ark+=13960=t49p2z95c'}		The island Providence	1910
Heney Thomas William	B4163	{9206096}		{'pst.000006676582'}		The girl at Birrells  a pastor	1896
Wilson Harry Leon	B8661	{3208292}		{'nyp.33433076063050'}	{'Cowboys'}	Ma Pettengill	1919
Sharp Evelyn	B7850	{3185657, 8847887, 6655622, 6770455}		{'nyp.33433082270111'}		The making of a schoolgirl	1897
Bray Anna Eliza Mrs	B1162	{4692036}		{'njp.32101067629939', 'njp.32101067629947'}		De Foix or Sketches of the man	1826
Curtis George William	B2014	{8634570}		{'mdp.39015063545357'}		Prue  I	1892
Adams Charles	B235	{4695496, 8253514}		{'nyp.33433082175609'}		The adventures of my Cousin Sm	1856
Birchenough Mrs	B301	{8979017, 3168499}		{'coo.31924013435007'}		Potsherds	1899
Maclaren Ian	B5682	{6654529, 8835034}		{'uc2.ark+=13960=t1bk1bz5h'}		Kate Carnegie and those minist	1896
Fletcher J S Joseph Smith	B2918	{9053821}		{'nyp.33433075728539'}		Mothers in Israel a study in r	1908
Meredith George	B5339	{8513352}	{'Bibliographies'}	{'mdp.49015002138056', 'nyp.33433076078355', 'nyp.33433074890074', 'uc1.$b440825', 'mdp.49015002138064', 'uc1.$b440826'}	{'English fiction'}	The adventures of Harry Richmo	1889
Bell John	B1002	{8951701}		{'uc2.ark+=13960=t9w09303f'}		In the shadow of the bush	1899
Hatton Joseph	B4136	{9166680}		{'uiuo.ark+=13960=t64464x41'}		The Tallants of Barton	1867
Sutcliffe Halliwell	B7937	{9451828}		{'nyp.33433075754790'}		Priscilla of the Good Intent a	1909
Raymond Adolphus	B7119	{3218698}		{'uc2.ark+=13960=t78s4pv3k'}		Amongst the aristocracy of the Ghetto les nouveaux riches	1921
Lee Holme	B5021	{9166288}		{'uiuo.ark+=13960=t1hh75f1x', 'uiuo.ark+=13960=t46q2m09j'}		Mr Wynyards ward	1867
Trollope Anthony	B8030	{8497293, 9437462}		{'mdp.39015005889996'}	{'Christianity', 'Czech Republic', 'Relations', 'Interfaith marriage', '19th century', 'Judaism', 'Social life and customs', 'Prague', 'History'}	Nina Balatka the story of a maiden of Prague	1867
Holmes Oliver Wendell	B4172	{6717360}	{'ContainsBiogMaterial'}	{'uc2.ark+=13960=t1mg7g308'}		A mortal antipathy	1885
Morris William	B5364	{6709241}	{'Bibliographies'}	{'njp.32101068155330'}		The roots of the mountains  wherein is told somewhat of the lives of the men of Burgdale their friends their neighbours their foemen and their fellows in arms	1890
Wells H G Herbert George	B8569	{6790521}		{'njp.32101068605904', 'njp.32101068605896'}	{'Orphans', 'Bildungsromans'}	Kipps the story of a simple soul	1905
Homer	B4064	{8922201}		{'uva.x000303342'}		The Odyssey of Homer done into	1888
Omar Khayyam	B6333	{8845007, 3146967}		{'uc1.b4033255'}		Rubaiyat of Omar Khayyam	1889
Linton E Lynn Elizabeth Lynn	B5149	{8701509}		{'dul1.ark+=13960=t59c7j35s'}		The true history of Joshua Dav	1873
Hurst Fannie	B3543	{2449522}		{'mdp.39015031325999'}		Appassionata	1926
