author	bookid	bpoids	genres	htrcids	subjects	title	pubdate
Yonge Charlotte M Charlotte Mary	B9009	{6219382, 8624695}	{'Juvenile audience'}	{'njp.32101076782448', 'njp.32101076782455'}		The daisy chain  or Aspirations  a family chronicle	1856
Deeping Warwick	B2226	{8934078}		{'nyp.33433074958731'}		The slanderers	1905
Linklater Eric	B5064	{2491401, 3218974}		{'mdp.39015005580298'}		Juan in America  a novel	1931
Dixon Thomas	B2499	{3227700}		{'uva.x000467527'}		The leopards spots  a romance 	1902
Westall William	B8882	{8521557}		{'nc01.ark+=13960=t87h2d09d'}		The Princes of Peele	1892
Meredith George	B5628	{6614529, 8789641}	{'Bibliographies'}	{'uc1.b3328941', 'uc1.b3328942', 'uc1.b3328940'}	{'Tobacco'}	One of our conquerors	1891
Castle Agnes Sweetman	B1432	{3192497}		{'njp.32101063605297'}	{'World War, 1914-1918'}	Count Raven	1916
Holme Constance	B3911	{3239553}		{'uc2.ark+=13960=t52f7rw91'}		The lonely plough	1914
Spenser Edmund	B7883	{6755094}		{'mdp.39015008844709'}		The faerie queene	1599
Symons Arthur	B7360	{9028912}		{'mdp.39015031304903'}		Spiritual adventures	1905
Reynolds Baillie Mrs	B7129	{3232785}		{'uc2.ark+=13960=t8bg2k809'}		The affair at the chcateau	1920
Jesse F Tennyson Fryniwyd Tennyson	B4255	{3180664, 2433546}		{'mdp.39015068355521'}		The milky way	1913
Wells H G Herbert George	B8514	{3227810}		{'uc1.32106006154352', 'uc1.32106019365086', 'uc1.32106015660035', 'mdp.39015054151561', 'mdp.39015049619177', 'miun.ahq2458.0008.001', 'mdp.39015054151579', 'uc1.32106005506826', 'uc1.32106005849879', 'uc1.32106019365045', 'mdp.39015054151520', 'uc1.32106019365052', 'mdp.39015054151462', 'uc1.32106005854119', 'uc1.32106007222711', 'mdp.39015054151553', 'uc1.32106005852287', 'mdp.39015054151504', 'mdp.39015054151355', 'mdp.39015054151496', 'uc1.32106019365128', 'uc1.32106005850737'}		The works of H G Wells	1924
MacMahon Bryan	B5944	{8856075, 6808076}		{'mdp.39015066051288'}		The liontamer and other storie	1949
Schefer Leopold	B7917	{9153883}		{'mdp.39015018060106'}		The artists married life  bein	1848
Marshall Emma Mrs	B6025	{3167680}		{'nyp.33433074895115'}		Under the dome of St Pauls a s	1898
James Henry	B4380	{8590909}	{'Humorous stories'}	{'uc2.ark+=13960=t84j0c38h'}	{'Boston (Mass.)', 'Europeans', 'United States', 'Upper class', 'New England'}	The Europeans	1879
Stacpoole H De Vere Henry De Vere	B7845	{9437344, 6844663}		{'uc1.31175003004564'}		The blue lagoon a romance	1908
Benson E F Edward Frederick	B615	{9425810, 3173702, 6816154}		{'nyp.33433074926746'}	{'English fiction'}	The angel of pain	1905
Pryde A	B6457	{8921449, 6820979}		{'mdp.39015030019338'}		The heart of the northern sea	1907
Knight Charles	B4539	{8821476}		{'njp.32101071987331', 'njp.32101071987349', 'njp.32101071987356'}	{'Collections', 'Liberation'}	Halfhours with the best authors selected and arranged with short biographical and critical notices	1848
Lloyd Nelson	B4869	{8863873, 6829956}		{'nyp.33433076074941'}		The soldier of the valley	1904
Maxwell W B William Babington	B5603	{3246824}		{'uc1.$b787157'}		The people of a house	1934
Hardy Thomas	B4018	{3213129}		{'mdp.49015002139294'}		Lifes little ironies and a few	1920
Aubrey Frank	B163	{6656980}		{'uc2.ark+=13960=t4kk94r7b'}		The deviltree of El Dorado	1897
Wharton Edith	B8726	{3226523}		{'uc1.b3864888'}	{'World War, 1914-1918'}	A son at the front	1923
Chambers Robert W Robert William	B2037	{8934240}		{'njp.32101063605438'}		The dark star	1917
Webster Henry Kitchell	B8939	{6798001, 6815190}		{'mdp.39015031307674'}		The banker and the bear the st	1900
Deeping Warwick	B2090	{3166978, 8928694}		{'coo.31924013604990'}		The lame Englishman	1910
Oxenham John	B6294	{8890757}		{'nyp.33433075744759'}		Hearts in exile	1904
Whiteing Richard	B8544	{3163441, 8919154}		{'mdp.39015063976198'}		Ring in the new	1906
Burnett Frances Hodgson	B1269	{3168402}	{'Juvenile audience'}	{'uc1.b4517751'}		Two little pilgrims progress  	1895
Mansfield Katherine	B5332	{2446208}		{'mdp.39015066054001'}	{'New Zealand writers, 1907- - Texts', 'Short stories in English'}	The garden party and other sto	1923
MacDonald George	B5273	{9158416}		{'uiuo.ark+=13960=t2r50508t', 'mdp.39015048881984', 'mdp.39015019783763'}		Robert Falconer	1868
Dos Passos John	B2493	{3226216}		{'mdp.39015002328808'}		USA  I The 42nd parallel II Ni	1937
Morrison Arthur	B5638	{6809137, 6773251, 3291902}		{'uc1.b3581590'}		The hole in the wall	1902
Henty G A George Alfred	B3598	{2717629}	{'Juvenile audience'}	{'mdp.39015073481353'}	{'Franco-Prussian War, 1870-1871', 'Juvenile fiction'}	The young Franctireurs and their adventures in the FrancoPrussian War	1872
Stone Jane	B7379	{3174769}		{'mdp.39015058152516'}		The new man	1913
Doyle Arthur Conan Sir	B2386	{3173273, 8776378}		{'uiuo.ark+=13960=t49p3rf71', 'uiuo.ark+=13960=t53f5g07n', 'uiuo.ark+=13960=t2988xr4w'}	{'Huguenots', 'To 1763 (New France)', 'France', 'Canada', 'Louis XIV, 1643-1715', 'History'}	The refugees	1893
Rebek Lillie	B7134	{8811282, 3162515}		{'uc2.ark+=13960=t8v984g76'}		The home of the dragon	1893
Strachey John	B7916	{3222216}		{'uc1.$b105775'}		The frontiers	1952
Dickens Charles	B2522	{8448312}		{'uva.x000207709'}		A tale of two cities  by Charl	1870
Garland Hamlin	B3166	{8957810}		{'nyp.33433081919981'}	{'(OCoLC)fst00921052', 'Farm life', 'Iowa', 'Prairies', '(OCoLC)fst01205835', '(OCoLC)fst00935370', 'Frontier and pioneer life', 'Social conditions'}	Boy life on the prairie	1899
Stephens Robert Neilson	B7981	{9232322}		{'uc2.ark+=13960=t58c9sq6p'}		The continental dragoon	1901
Leland Charles Godfrey	B5072	{8751522}	{'Bibliographies'}	{'nyp.33433081750147'}		The Algonquin legends of New E	1884
Keary C F	B4637	{8813696, 3174435}		{'uiuo.ark+=13960=t7vm4rn0t', 'uiuo.ark+=13960=t2w38874v', 'uiuo.ark+=13960=t9k36990m'}		The two Lancrofts	1893
Aïdé Hamilton	B54	{8523503}		{'njp.32101068162997', 'uc2.ark+=13960=t3st7kb7k'}		Penruddocke	1873
Hume Fergus	B4080	{8957429}		{'nyp.33433074861927'}		The harlequin opal a romance	1893
Oppenheim E Phillips Edward Phillips	B6414	{9007080}	"{'Boston', 'Massachusetts', ""Publishers' cloth bindings (Binding)"", 'Spy stories'}"	{'nyp.33433074961735'}		The double traitor	1915
Braine John	B1159	{3217275}		{'uc1.b3472508'}		These golden days	1985
Freeman H W Harold Webber	B2671	{2455012}		{'mdp.39015004156280'}		Down in the valley	1930
Ritchie Anne Thackeray	B6890	{8572650, 2464277}		{'inu.32000006997615'}		Old Kensington	1873
Nicholson Meredith	B6129	{2440418, 6766830}		{'nyp.33433076023120'}	{'American fiction'}	The proof of the pudding	1916
Wallace Edgar	B8596	{6789689, 3181827}		{'nyp.33433075755383'}		The other man	1911
Broughton Rhoda	B782	{8584153}		{'uc1.32106005407439'}		Red as a rose is she A novel	1870
Akerman John Yonge	B7	{4701547}		{'dul1.ark+=13960=t7kp8tw9v'}		Tales of other days	1830
Eccott W J	B2600	{3201290}		{'uc2.ark+=13960=t28913n40'}		The mercenary	1913
Stern G B Gladys Bronwyn	B7364	{3324257}		{'mdp.39015031309191'}	{'Dogs'}	The dark gentleman	1927
Banim Michael	B537	{8692355}	{'Bibliographies'}	{'nnc1.0036681857'}		The ghosthunter and his family	1833
Blackmore R D Richard Dooddridge	B704	{8847522}		{'nyp.33433074940804'}		Dariel a romance of Surrey	1897
Cooper James Fenimore	B1926	{8720962}		{'mdp.39015058488787'}		The borderers  a tale	1829
Jolly Emily	B4282	{8613249}		{'nyp.33433074865548'}		Safely married A novel	1875
De la Roche Mazo	B2292	{3225081}		{'uc1.b3346546'}		Explorers of the dawn	1922
Benson E F Edward Frederick	B612	{3197786}		{'nyp.33433074926712'}		Queen Lucia	1920
Roberts Charles George Douglas Sir	B6930	{6820704, 6810884}		{'uc2.ark+=13960=t2r49qs0z', 'mdp.39015063953098'}		The heart of the ancient wood	1900
Hobday William Alfred	B3907	{6758443}		{'uc2.ark+=13960=t4rj4j75x'}		Accessory after the fact	1911
Remizov Alekseĭ	B7244	{3226238}		{'mdp.39015003539452'}		The fifth pestilence  together	1927
Phelps Elizabeth Stuart	B6774	{6724045}		{'mdp.39015016782073'}		Beyond the gates	1883
Countess of Blessington Marguerite	B1514	{8888176, 6150476}		{'nyp.33433074929716', 'nyp.33433074929724'}	{'English fiction'}	The victims of society	1837
Shaw Bernard	B7587	{2484979}		{'uc1.32106001952453'}	{'Christianity'}	The adventures of the black girl in search for God	1933
Dickens Charles	B2487	{4372131, 9428028, 8485575}		{'coo.31924064973252', 'coo.31924064973260'}		Our mutual friend coloured rep	1870
Wilkins William Henry	B8760	{3163477}		{'uc2.ark+=13960=t1hh6f030'}		The green bay tree	1894
Burnett Frances Hodgson	B1173	{6790923, 6793875, 3172949, 8865165}		{'nc01.ark+=13960=t2891751x'}		In connection with the De Will	1899
Oppenheim E Phillips Edward Phillips	B6240	{9019045}		{'mdp.39015011935254'}		A lost leader	1906
Tynan Katharine	B8080	{3212398}		{'njp.32101067645679'}		Denys the dreamer	1920
Tuohy Frank	B8298	{6795336, 9232252, 6796300}		{'mdp.39015005743227'}		Fingers in the door and other 	1970
Russell William Clark	B7070	{8930269}		{'uc2.ark+=13960=t3319z51m'}		The tragedy of Ida Noble	1891
Quint Wilder Dwight	B6846	{3181350}		{'uc2.ark+=13960=t3bz62q8r'}	{'Siege, 1775-1776', 'Boston (Mass.)', 'History'}	My Lady Laughter	1904
Praed Campbell Mrs	B6715	{9181529}		{'uiuo.ark+=13960=t1bk20037', 'uiuo.ark+=13960=t7br9d60g', 'uiuo.ark+=13960=t15m6tj25'}	{'Mrs', '1851-1935', 'Praed, Campbell'}	Outlaw and lawmaker	1893
Deland Margaret	B2354	{8919719}		{'uc2.ark+=13960=t5r786w50'}		The awakening of Helena Richie	1906
WhyteMelville G J George John	B8838	{9149936, 8504821}		{'uiuo.ark+=13960=t1tf0g65w', 'uiuo.ark+=13960=t0ks7c16j', 'uiuo.ark+=13960=t81k02r2t'}		The white rose	1868
Whitaker Herman	B8988	{9301773}		{'nyp.33433075767065'}		The mystery of the barranca	1913
Jacks L P Lawrence Pearsall	B4365	{2442746}		{'uc2.ark+=13960=t49p2zv04'}		Mad shepherds and other human studies	1910
Fraser James Baillie	B2698	{4693935}		{'uc1.b3322080', 'mdp.39015063870110', 'uc1.b3322078'}		The Kuzzilbash A tale of Khorasan	1828
Le Roy Eugène	B4785	{8857547}		{'njp.32101068973195'}		Jacquou le croquant	1907
Dickens Charles	B2496	{8999401, 8437741}		{'uiug.30112042034741', 'uc2.ark+=13960=t88g8rq1b'}		Life and adventures of Martin 	1870
Martin du Gard Roger	B5260	{2484906}		{'mdp.39015009381107'}		The Thibaults	1939
Collins Wilkie	B2007	{8469993}		{'mdp.39015008334578'}		The woman in white Introd by M	1889
Yorke Curtis	B9011	{9306822}		{'nyp.33433074877949'}	{'English fiction'}	The world and Delia	1907
Dejeans Elizabeth	B2273	{9106814}		{'uc1.$b300131'}		The double house	1924
Meredith George	B5555	{6771219}	{'NotBiographical', 'Bibliographies'}	{'mdp.39015030705183', 'nyp.33433076078298'}		The ordeal of Richard Feverel	1888
Armstrong F C	B200	{2880989, 8659983}		{'uiuo.ark+=13960=t4th8s06z', 'uiuo.ark+=13960=t49p39m5x', 'uiuo.ark+=13960=t72v2sz4q'}		The frigate and the lugger	1861
Vernaleken Theodor	B8426	{6697436}		{'mdp.39015002282625'}		In the land of marvels folktal	1884
KayeSmith Sheila	B4529	{8957782}		{'njp.32101068971033'}		Isle of Thorns	1913
Gifford George	B3326	{8513322, 8671871}		{'uiuo.ark+=13960=t55d96d7h', 'uiuo.ark+=13960=t5db8dp09', 'uiuo.ark+=13960=t5r78qk74'}		Trials of an heiress	1869
Oliphant	B6263	{3154659}		{'nc01.ark+=13960=t54f2pb0d'}		Lady William	1894
Oppenheim E Phillips Edward Phillips	B6258	{9007080}	{'NotBiographical'}	{'mdp.39015063947256', 'uva.x030581248'}	{'English fiction'}	The traitors	1903
