author	bookid	bpoids	genres	htrcids	subjects	title	is_fic
Church Alfred John	B1809	{8617147}		{'uc2.ark+=13960=t92807p2g'}		Stories from Homer	
AikinKortright Fanny	B256	{8766425}		{'uiuo.ark+=13960=t3qv41k47', 'uiuo.ark+=13960=t80k2w78c', 'uiuo.ark+=13960=t8bg36594'}		Anne Sherwood or The social in	
Locke Marshall from old catalog	B5111	{6661764}		{'loc.ark+=13960=t1cj8x37x'}		The hunting of the snark or Th	
Buchan John	B945	{6667243}		{'uc2.ark+=13960=t6930w82k'}		John Burnet of Barns	
Garland Hamlin	B3230	{8934987}		{'uc2.ark+=13960=fk0sq8qf2r'}		Money magic	
Newte Horace W C Horace Wykeham Can	B6198	{8951709}		{'nyp.33433074920376'}		The socialist countess a story	
McDonald Robert	B5721	{8904533}		{'uc2.ark+=13960=t3jw88w11'}		Her ladyship	
WhyteMelville G J George John	B8788	{8654661}		{'uc2.ark+=13960=t4bp03746'}		Market Harborough	
Barclay Florence L Florence Louisa	B653	{6843435, 3289582}		{'nyp.33433074932488'}		The mistress of Shenstone	
Hay Mary Cecil	B3663	{8693814}		{'nyp.33433074853213'}	{'English fiction'}	Victor and vanquished A novel	
Harland Henry	B3885	{8893296, 6751000}		{'uc2.ark+=13960=t2z31pn07', 'uva.x030758873'}		The lady paramount	
Castle Agnes Sweetman	B1872	{3173005}		{'uva.x030765278'}	{'Castle, Egerton', '1858-1920', 'joint author'}	Flower o the orange	
McCarthy Justin H  Justin Huntly	B5358	{8864565}		{'njp.32101065860452'}		Camiola a girl with a fortune	
Whishaw Frederick	B8616	{6772487}		{'nyp.33433075767081'}	{'English fiction'}	A tsars gratitude	
Frothingham Eugenia Brooks	B2847	{6813132, 3169989}		{'uc2.ark+=13960=t29882s9d'}		The evasion	
Wyllarde Dolf	B8644	{6819601, 6782813, 8885383}		{'nyp.33433075860761'}		The story of Eden	
Baronne d Oberkirch Henriette Louise von Waldner	B1211	{9006631, 4993606, 9452735}		{'njp.32101073593145'}		Memoirs of the Baroness dOberk	
Aïdé Hamilton	B76	{8640400, 8457529}		{'nyp.33433074919527'}		Rita an autobiography	
Osbourne Lloyd	B6372	{3182302}		{'uva.x030788361'}		Love the fiddler	
Manning Olivia	B6078	{4455748}		{'mdp.39015008234141'}		The rain forest	
James Henry	B4337	{6787879, 8877911}	{'Bibliographies'}	{'uc2.ark+=13960=fk50g3h853', 'uc2.ark+=13960=fk8pc2tq9r'}		The wings of the dove	
Countess of Blessington Marguerite	B1692	{8227043}		{'uc1.l0071579122'}		The governess	
Boyd Archibald	B1289	{2551361}		{'njp.32101067630267', 'njp.32101067630259', 'njp.32101067630275'}		The Duchess or Womans love and	
Bremer Fredrika	B1108	{8456376}		{'njp.32101051672606', 'njp.32101051672598', 'nyp.33433075777270'}		The neighbors  a story of ever	
Homer	B4015	{6785067, 9406189, 8679551}		{'mdp.39015027627218'}		The Iliad of Homer rendered in	
Gore Catherine Grace Frances Mrs	B3081	{4974570}		{'njp.32101073378315', 'nyp.33433075905798'}		Sketches of English character	
Jackson Wilfrid S Wilfrid Scarborough	B4298	{8883923, 3182316}	{'England'}	{'nyp.33433074867494'}	{'(OCoLC)fst00995558', 'Legal stories'}	Nine points of the law	
Martineau Harriet	B5647	{5078013, 8957231}		{'uc1.b4102312'}		Sketches from life	
Turgenev Ivan Sergi︠e︡evích	B8323	{8840236}		{'mdp.39015062423150'}		A sportsmans notebook	
Fitzgerald Percy Hetherington	B2885	{8660113, 8582941}		{'uiuo.ark+=13960=t6543348d', 'uiuo.ark+=13960=t1hh6wp6s', 'uiuo.ark+=13960=t4qj7sm81'}		Seventyfive Brooke Street	
