author	latestcomp	shorttitle
Stretton, Hesba	1911.0	Carola
Stretton, Hesba	1911.0	In prison & out
Lyall, Edna	1903.0	Donovan. A novel
McKenna, Stephen	1967.0	Lady Lilith, a novel: Beong the first part of The sensationalists
Haggard, H. Rider (Henry Rider)	1925.0	Beatrice [a novel]
Malet, Lucas	1931.0	Little Peter: a Christmas morality for children of any age
Lawrence, Charles Edward	1940.0	The god in the thicket
Lee, Holme	1900.0	The vicissitudes of Bessie Fairfax: a novel
Glyn, Elinor	1943.0	Visits of Elizabeth
Fenn, George Manville	1909.0	Adventures of working men
Alcock, Deborah	1913.0	The Roman students; or, on the wings of the morning a tale of the Renaissance
Kessel, Joseph	1979.0	The road back; a report on Alcoholics Anonymous
Ohnet, Georges	1918.0	The red flag
Verne, Jules	1905.0	A winter amid the ice, & other thrilling stories
O'Grady, Standish	1928.0	The coming of Cuculain, by Standish O'Grady
Pyle, Howard	1911.0	[Illustrations extracted from Harper's monthly magazine and the Century magazine, 1897-1908]
Malatesta, Errico	1932.0	A Talk about Anarchist Communism Between Two Workers
Tolstoy, Leo, graf	1910.0	Father Sergius
Hubbard, Lucius L (Lucius Lee)	1933.0	A plea for accurate maps
Patton, Carl S. (Carl Safford)	1939.0	Things that wear us out
Upshaw, William D (William David)	1952.0	"Scattering sunshine, the beauty and duty of Christian gladness or how to be happy when you ""ain't."""
Sharp, Evelyn	1955.0	Rebel women
DeHaan, M. R. (Martin Ralph)	1965.0	[Sermons]
Scully, W. C. (William Charles)	1943.0	Between sun and sand : a tale of an African desert
Reeve, Arthur B. (Arthur Benjamin)	1936.0	Guy Garrick : Arthur B. Reeve
Meade, L. T	1914.0	The girls of St. Wode's
Hoffman, Professor	1919.0	"Miscellaneous conjuring tricks from ""Modern magic"""
Timms, Edward Vivian	1960.0	Ten wicked men
Wedmore, Frederick, Sir	1921.0	Dry-points by Paul Helleu
MacDonald, George	1905.0	Ranald Bannerman's boyhood
Ridge, W. Pett (William Pett)	1930.0	George and the general
Jókai, Mór	1904.0	The strange story of Rab Ráby
Doyle, Arthur Conan, Sir	1930.0	The sign of the four ; A scandal in Bohemia and other stories
Hemingway, Ernest	1961.0	The short stories : The first forty-nine stories and the play The fifth column
Harte, Bret	1902.0	Selected stories of Bret Harte
Sawyer, Ruth	1970.0	Roller skating
Bingham, John	1988.0	The tender poisoner
De Sélincourt, Hugh	1951.0	The cricket match
Miller, Henry	1980.0	The rosy crucifixion
Leiber, Fritz	1961.0	The big time
Villadolid, Deogracias Villamarin	1927.0	The rediscovery of Inopsetta Ischyra, a rare species of flounder
Pemberton, Max, Sir	1950.0	The iron pirate : a plain tale of strange happenings on the sea
