docid	Dominant_Topic	author	orig_title	Topic_Perc_Contrib	date
uc1.b4450944	70	maureen freely	Mother's helper : a novel	0.1058	1979
mdp.39015029540443	13	thomas king	Green grass, running water	0.0838	1993
uc1.b3475708	38	bryan forbes	The rewrite man	0.1319	1983
mdp.39015033132740	64	victor ostrovsky	Lion of Judah	0.152	1993
mdp.39015000585540	43	sebastien japrisot	One deadly summer	0.0904	1980
inu.30000107397550	70	heidi w. boehringer	Chasing Jordan	0.1606	2005
pst.000044182908	2	evelyn waugh	A handful of dust : Decline and fall	0.0519	1956
uc1.$b404071	14	julius horwitz	The married lovers	0.0766	1973
mdp.39015063891116	41	clifford knight	The affair of the scarlet crab	0.0684	1937
mdp.39015024089842	21	ellen macgregor	Miss Pickerell and the geiger counter	0.061	1953
mdp.39015004263458	12	john brunner	The crucible of time	0.1919	1983
mdp.39015008442025	68	john masefield	Basilissa, a tale of the Empress Theodora	0.0816	1940
mdp.39015024851530	24	sigurd eliassen	Dragon Wang's River	0.0643	1957
mdp.49015002329309	21	poul anderson	Orion shall rise	0.1034	1983
uc1.b4082616	6	john esther wagner	The gift of Rome, a novel	0.1358	1961
uc1.32106011122329	38	john berger	To the wedding : a novel	0.057	1995
mdp.39015056504544	43	"rita mae brown
sneaky pie  brown"	The tail of the tip-off	0.0839	2003
uc1.$b106387	78	bucklin moon	Without magnolias	0.1062	1949
uc1.32106014452145	64	ian fleming	The man with the golden gun	0.1429	1964
mdp.39015053104199	6	michael malone	First Lady : a novel	0.0881	2001
uc1.$b87053	38	gerald butler	Slippery hitch	0.0351	1949
mdp.39076005056010	48	catherine cookson	Feathers in the fire : a novel	0.0646	1972
mdp.39015019432486	2	ralph lombreglia	Men under water : short stories	0.1214	1990
mdp.39015046874940	43	ed mcbain	The big bad city : a novel of the 87th Precinct	0.1396	1999
pst.000032463521	64	michael frayn	Now you know	0.0696	1992
mdp.49015002821123	64	robert moss	Moscow rules	0.1136	1985
inu.30000084014038	79	josef m bauer	As far as my feet will carry me	0.0614	1957
inu.39000000664321	76	grace paley	The little disturbances of man	0.0594	1959
mdp.39015007071734	43	charlotte armstrong	A dram of poison	0.0493	1956
inu.39000001779714	24	peter dickinson	The lively dead	0.0627	1975
mdp.39015060399873	12	jonathan lethem	Men and cartoons : stories	0.0748	2004
mdp.39015048860202	76	layle silbert	The free thinkers : two novellas	0.0714	2000
mdp.39015064913356	48	emma tennant	Pemberley revisited	0.0777	2005
uc1.b5015638	31	john gordon davis	Leviathan	0.1011	1976
mdp.39015038438993	38	janet leigh	House of destiny	0.0706	1995
uc1.$b703965	14	henri troyat	Elizabeth, a novel	0.0765	1959
coo.31924003403072	75	gerald m durrell	Three singles to adventure	0.0557	1954
uc1.32106002020383	2	evelyn waugh	The end of the battle	0.0859	1961
mdp.39015015308243	31	jim crace	The gift of stones	0.0705	1988
mdp.39015000592017	21	"william weaver
italo calvino"	Cosmicomics	0.1092	1968
mdp.39015034912132	14	luanne rice	Home fires	0.0657	1995
uc1.$b104466	38	max wylie	Trouble in the flesh	0.0453	1959
mdp.39015058018162	63	dan brown	Angels & demons	0.1239	2000
mdp.39015014859618	68	henry treece	The dark island; a novel	0.09699999999999999	1952
mdp.39015050606436	79	hasso g stachow	If this be glory	0.2321	1982
uc1.$b675202	63	margaret lee runbeck	The great answer	0.0983	1944
mdp.39015019421042	76	kingsley amis	The folks that live on the hill	0.0858	1990
mdp.39015070749950	41	helen slavin	The extra large medium	0.0618	2006
uc1.b3687490	24	carl carmer	Genesee fever	0.0815	1941
uc1.b4365415	79	alfred slote	Strangers and comrades	0.0924	1964
mdp.39015016440888	63	nancy hale	Black summer, a novel	0.0633	1963
uc1.b4446302	31	harry harrison	Skyfall	0.0809	1976
uc1.32106014036682	43	nevada barr	Ill wind	0.0997	1995
mdp.39015033096234	70	mary gray hughes	The empty lot : a novel	0.1093	1992
mdp.39015016466263	78	alain albert	The crossing	0.0848	1964
mdp.39015004755560	66	gabrielle roy	Street of riches. Introd.:	0.0638	1957
mdp.39015014171865	38	willi heinrich	Mark of shame;	0.0492	1959
mdp.39015031223657	6	walter van tilburg clark	The track of the cat, a novel	0.0445	1949
mdp.39015029942938	70	melanie rae thon	Iona Moon	0.0896	1993
mdp.39015034442502	48	robyn sisman	Special relationship	0.0492	1995
mdp.39015041292999	78	eugenia price	The waiting time	0.1023	1997
uc1.b3727305	63	joan vatsek	This fiery night	0.0418	1959
mdp.39015005011260	20	wolfgang borchert	The man outside	0.1276	1947
mdp.39015030736162	30	jeffrey caine	Heathcliff	0.0756	1978
uc1.$b103018	76	william humphrey	The last husband, and other stories	0.0514	1953
pst.000006159320	38	robert nathan	So love returns	0.0649	1958
mdp.39015028871914	21	roy lewis	The evolution man, or, How I ate my father	0.0561	1960
mdp.39015020726413	24	mario vargas llosa	Conversation in the cathedral	0.1334	1975
mdp.39015062291573	38	ruby m ayres	The tree drops a leaf	0.0792	1939
mdp.39015040724778	41	bradford morrow	Giovanni's gift	0.1087	1997
uc1.b3461959	2	jeff cohn	Saturday night at Daisy's	0.0699	1978
mdp.39015036066192	70	amy bloom	Love invents us	0.0699	1997
mdp.39015031325387	38	elizabeth jenkins	Brightness	0.0418	1963
uc1.$b56834	24	john kafka	The apple orchard	0.0986	1947
mdp.39015032918024	78	joan brady	Theory of war	0.08	1993
uc1.b3945809	79	joyce cary	Memoir of the Bobotes	0.1108	1957
uc1.$b87349	38	ruth chatterton	The pride of the Peacock	0.0459	1954
mdp.39015018842800	68	eric williams	Dragoman Pass an adventure in the Balkans	0.0479	1959
uc1.b4929451	63	isaac bashevis singer	The penitent	0.1379	1983
uc1.$b87212	14	louis danz	It is still the morning	0.07400000000000001	1943
uc1.$b105719	14	mary stolz	Truth and consequence	0.0889	1953
uc1.$b63929	38	richard sullivan	The dark continent	0.0736	1943
mdp.49015002559657	64	joseph r. garber	Vertical run	0.1002	1995
mdp.39015062844348	13	percy bullchild	The sun came down : the history of the world as my Blackfeet elders told it	0.1446	1985
uc1.$b328719	30	junichiro tanizaki	Diary of a mad old man	0.0917	1965
uc1.32106007369272	41	georges simenon	Maigret's war of nerves	0.0996	1940
mdp.39015056817409	64	susan trott	The housewife and the assassin	0.0414	1979
mdp.39015054099919	79	judith dribben	A girl called Judith Strick	0.0597	1970
uc1.b4951680	66	mavis gallant	Home truths : sixteen stories	0.0586	1981
mdp.39015047866861	12	dan simmons	The rise of Endymion	0.2681	1997
pst.000006695286	38	mary mitchell	A warning to wantons	0.0971	1934
uc1.b4463802	66	david madden	Cassandra singing; a novel	0.059000000000000004	1969
mdp.39015062584829	30	richard burgin	The identity club : new and selected stories	0.1013	2005
mdp.39015046831866	30	david leavitt	The lost language of cranes	0.1115	1986
mdp.39015048521119	2	martin clark	The many aspects of mobile home living : a novel	0.0652	2000
uc1.32106018982386	78	michael white	Soul catcher	0.2133	2007
mdp.39015048785961	63	johnny cash	Man in white : a novel	0.0702	1986
mdp.39015061751437	13	seth kantner	Ordinary wolves	0.1188	2004
uc1.b4384828	6	norman katkov	Blood & orchids	0.1928	1983
uc1.32106015816611	64	thomas harris	Black Sunday	0.1261	1975
mdp.39015021862308	78	toni morrison	Song of Solomon	0.0583	1977
mdp.39015074221428	43	"boris akunin
andrew  bromfield"	Special assignments : the further adventures of Erast Fandorin	0.10800000000000001	2007
mdp.39015054378032	64	stuart woods	The short forever	0.113	2002
uc1.32106011968911	41	sara paretsky	Guardian angel	0.066	1992
uc1.32106002022280	2	pg wodehouse	The code of the Woosters	0.1608	1938
uc1.b4089337	76	a a milne	A table near the band	0.0533	1950
uc1.b3407023	13	charlie may simon	The royal road;	0.0769	1948
uc1.$b15925	6	vicki baum	Hotel Berlin '43	0.0614	1944
mdp.39015024089883	41	allan campbell mclean	Storm over Skye	0.055	1956
mdp.39015014859220	79	vern sneider	A long way from home, and other stories	0.0541	1956
uc1.$b102987	63	paul horgan	The saintmaker's Christmas Eve	0.1355	1955
uc1.b4386260	2	j p donleavy	Schultz	0.1629	1979
mdp.39015041541445	12	jr. miller	Saint Leibowitz and the wild horse woman	0.0649	1996
mdp.39015050810707	43	ellery queen	The Chinese orange mystery	0.0752	1945
mdp.39015055183506	79	commander eugene franklin clark	The secrets of Inchon : the untold story of the most daring covert mission of the Korean War	0.0827	2002
mdp.39015063155330	70	don belton	Almost midnight	0.1045	1986
uc1.b4439367	70	catherine gammon	Isabel out of the rain	0.0783	1991
mdp.49015001321661	2	sharyn mccrumb	Zombies of the gene pool	0.0595	1992
uc1.b4095430	24	richard hagopian	The dove brings peace	0.0575	1944
mdp.39015005108124	12	eleanor cameron	The wonderful flight to the Mushroom Planet	0.0904	1954
mdp.39015016440292	78	mary dutton	Thorpe	0.1024	1967
mdp.39015040334057	21	james p. hogan	Bug Park	0.106	1997
mdp.39015064788022	75	persia woolley	Guinevere : the legend in autumn	0.1461	1991
inu.30000109857304	68	barry unsworth	The ruby in her navel : a novel of love and intrigue in the twelfth cenury	0.0905	2006
mdp.39015016464805	68	peter green	Achilles his armour	0.1557	1955
mdp.39015041358816	38	alexandra marshall	Something borrowed	0.0929	1997
mdp.39015029773721	68	arthur a cohen	In the days of Simon Stern; a novel, by Arthur A. Cohen	0.0749	1973
pst.000021845161	75	jerzy kosinski	Being there	0.0637	1970
uc1.$b404035	78	lorenz graham	South Town	0.0782	1958
uc1.b4974564	78	jane rawlinson	Cradle song	0.1053	1985
mdp.39015063956471	68	irwin shapiro	Yankee thunder; the legendary life of Davy Crockett	0.0765	1945
mdp.39015008201959	30	lucian k truscott	Dress gray	0.1188	1979
mdp.39015055869831	64	john smolens	The invisible world : a novel	0.0787	2002
mdp.39015000695729	75	anne sexton	Transformations	0.0915	1971
uc1.b4446125	68	alan v hewat	Lady's time	0.0603	1985
uc1.b3346099	79	bristow	Tomorrow is forever	0.0774	1943
mdp.39015054163103	30	melvin dixon	Vanishing rooms	0.1094	1991
mdp.39015068816969	79	caroline seebohm	The innocents : a novel	0.0764	2007
mdp.39015061468172	43	herbert lieberman	City of the dead	0.1123	1976
uc1.b4974873	68	marek halter	The book of Abraham	0.1509	1986
mdp.39015004114446	68	mary renault	The bull from the sea	0.1149	1962
mdp.39015046832062	14	anne redmon	Emily Stone	0.0448	1974
mdp.39015058013098	6	john grisham	The client	0.1209	1993
mdp.39015040664123	75	asta bowen	Hungry for home : a wolf odyssey	0.1076	1997
uc1.$b254647	68	philip ketchum	The great axe Bretwalda	0.1359	1955
mdp.39015059991789	63	david guterson	Our Lady of the Forest	0.0785	2003
mdp.39015005485308	63	robert coover	The origin of the Brunists: a novel	0.0852	1967
uc1.b4099785	79	elliott arnold	The commandos; a novel	0.0716	1942
mdp.39015010682279	41	lois wyse	The Rosemary touch	0.0344	1974
uc1.32106018656717	41	laurie r. king	The art of detection	0.0953	2006
mdp.39015003350181	41	loren d estleman	Dr. Jekyll and Mr. Holmes	0.1	1979
uc1.$b87197	63	v michael cunningham	The Bishop finds a way	0.1503	1955
inu.30000007133626	2	evelyn waugh	Men at arms, a novel	0.0894	1952
pst.000032465150	64	john lawton	Black out	0.07400000000000001	1996
inu.30000011922691	78	richard wright	Eight men	0.0846	1960
mdp.39015033253322	6	richard north patterson	Eyes of a child	0.2508	1995
mdp.39015043042442	2	thomas m. disch	The sub : a study in witchcraft	0.0563	1999
mdp.39015032438205	30	antónio lobo antunes	Act of the damned	0.1009	1993
mdp.39015059435225	41	mabel seeley	The chuckling fingers	0.0796	1941
inu.30000087183624	48	ami mckay	The birth house : a novel	0.1569	2006
uc1.$b104106	43	richard parker	Harm intended	0.0407	1956
mdp.39015033168801	79	varcors	Three short novels	0.0577	1947
mdp.39015066410906	79	alan burgess	Seven men at daybreak	0.0876	1960
mdp.39015040039540	78	evelyn coleman	What a woman's gotta do	0.0733	1998
inu.30000039161405	48	marsha hunt	Joy	0.2059	1990
mdp.39015057620166	48	benjamin black	Christine Falls	0.1323	2006
uc1.$b56748	24	elgin groseclose	Ararat	0.0487	1939
mdp.39015063283512	41	lisa unger	Beautiful lies : a novel	0.1151	2006
mdp.39015063551579	6	bruce hamilton	Hanging judge	0.0925	1948
mdp.39015015226163	43	robert goldsborough	The bloodied ivy : a Nero Wolfe mystery	0.1216	1988
mdp.39015005356285	12	jack williamson	The humanoids	0.1161	1949
mdp.39015000540602	6	robert b. parker	Promised land	0.0654	1976
inu.30000068226764	24	michelle de kretser	The rose grower : a novel of love and the French Revolution	0.0772	1999
mdp.39015019427650	76	sena jeter naslund	Ice skating at the North Pole : stories	0.0963	1989
pst.000022005397	21	helen b walters	Nikola Tesla, giant of electricity	0.1028	1961
pst.000030504516	24	john masters	Bhowani Junction	0.1489	1960
mdp.39015058275135	41	laurie r. king	The game : a Mary Russell novel	0.0529	2004
uc1.b3687418	6	morley callaghan	The many colored coat	0.0665	1960
mdp.39015066038988	13	charlotte stryker	Time for tapioca	0.0955	1951
mdp.39015030146057	24	hans hellmut kirst	The wolves	0.0904	1968
mdp.39015060769562	63	robert traver	Danny and the boys; being some legends of Hungry Hollow	0.047	1951
uc1.b4439301	48	margaret mitchell dukore	A novel called heritage	0.0657	1982
mdp.39015008398433	63	howard fast	The outsider	0.0819	1984
mdp.39015065132402	68	mika waltari	A nail merchant at nightfall, a novel	0.06	1954
mdp.39015058207500	64	laurell k. hamilton	Seduced by moonlight	0.0781	2004
mdp.39015003684001	79	pat frank	Hold back the night	0.083	1951
uc1.32106018583135	78	colson whitehead	Apex hides the hurt	0.1047	2006
uc1.32106001801247	24	ignazio silone	The seed beneath the snow;	0.1303	1942
mdp.39015011812263	24	edward upward	The night walk and other stories	0.1756	1987
mdp.39015037836726	38	julian green	The distant lands	0.0717	1991
mdp.39015008274329	75	patrick white	Riders in the chariot	0.0885	1961
mdp.39015024084801	13	ivy bolton	Wayfaring lad	0.0737	1970
mdp.39015047114585	30	mark cirino	Name the baby	0.0787	1997
uc1.$b105867	76	douglass wallop	The sunken garden	0.068	1956
mdp.39015063677200	6	john lescroart	The hunt club	0.0791	2006
wu.89040824906	64	jan guillou	Enemy's enemy	0.1906	1992
mdp.39015021856607	76	ama ata aidoo	Changes : a love story	0.0748	1991
uc1.b3272210	75	leonard dubkin	The murmur of wings	0.0519	1944
uc1.b4446373	12	brian herbert	Sudanna, sudanna	0.1927	1985
inu.30000064992302	2	p g wodehouse	How right you are, Jeeves	0.0484	1960
mdp.39015009033823	24	david caute	The decline of the West	0.0978	1966
mdp.39015002148727	41	john ross macdonald	The ivory grin	0.1353	1952
uc1.b3728659	79	andrzej kusniewicz	The king of the two Sicilies	0.1217	1980
mdp.39015012403898	43	gerold frank	The Boston strangler	0.0804	1966
mdp.39015059134877	79	alan furst	Dark voyage : a novel	0.1767	2004
uc1.32106017391167	6	john gregory dunne	Nothing lost : a novel	0.0913	2003
mdp.39015013944726	2	mirra ed ginsburg	The fatal eggs, and other Soviet satire	0.1116	1965
mdp.39015000615032	12	warren miller	Looking for the general	0.0637	1964
mdp.39015025254114	70	susan sullivan saiter	Cheerleaders can't afford to be nice : a novel	0.0683	1990
mdp.39015040571468	75	michael murphy	The kingdom of Shivas Irons	0.152	1997
uc1.32106011975924	70	simon corrigan	Sweets from strangers	0.0622	1994
mdp.39015054108959	6	erle stanley gardner	The case of the drowning duck	0.0842	1942
mdp.39015019651440	13	ursula k. le guin	Always coming home	0.1255	1985
wu.89089964688	13	emily carr	Klee Wyck;	0.1303	1945
mdp.39015037788554	30	james kirkwood	Hit me with a rainbow : a novel	0.1801	1980
mdp.39015045680041	76	barbara croft	Necessary fictions	0.0632	1998
uc1.$b86240	70	hollis alpert	The summer lovers	0.069	1958
inu.39000003233025	68	anthony price	Our man in Camelot	0.0516	1975
uc1.$b87099	63	dorothy charques	The nunnery	0.0881	1959
mdp.39015011706267	41	ross macdonald	The goodbye look	0.0638	1969
mdp.39015053525013	64	philippe van rjndt	Last message to Berlin : a novel	0.2489	1984
uc1.$b322819	78	roark bradford	Let the band play Dixie : and other stories	0.0769	1934
mdp.39015022220860	48	barbara kingsolver	The bean trees : a novel	0.0745	1988
pst.000008561299	68	anya seton	Katherine	0.1108	1954
uc1.b4948957	63	brian moore	Cold heaven	0.1479	1983
mdp.39015066665285	31	clement richer	Ti-Coyo and his shark : an immortal fable	0.0932	1951
uc1.$b103957	31	jerre mangione	The ship and the flame	0.1085	1948
uc1.$b252117	48	alex hamilton	Beam of malice : fifteen short, dark stories	0.0405	1966
mdp.39015066063077	12	robert sheckley	Can you feel anything when I do this?	0.0686	1971
uc1.b3295314	70	robin white	Men and angels	0.066	1961
uc1.32106016197813	75	"ivan olbracht
maria k. holecek"	Nikola the outlaw	0.0925	1952
uc1.b4938182	31	geoffrey household	Summon the bright water	0.0658	1981
mdp.39015027470528	79	jamal mahjoub	In the hour of signs	0.0551	1996
mdp.39015046351592	31	alistair maclean	H. M. S. Ulysses	0.0903	1955
uc1.b3407034	13	rosemary sutcliff	The shield ring	0.0356	1956
uc1.b4446943	14	r lanny victor l hunter hunter	Living dogs and dead lions : a novel	0.0756	1986
pst.000012442515	38	suzanne clauser	A girl named Sooner	0.0502	1975
inu.30000027268576	24	beverley naidoo	Chain of fire	0.0667	1991
uc1.b4948322	66	penelope gilliatt	Mortal matters	0.0586	1983
mdp.39015060121707	30	mark jude poirier	Modern ranch living : a novel	0.0844	2004
mdp.39015060064402	76	joy williams	Honored guest : stories	0.0667	2004
mdp.39015054272565	20	don j. snyder	Fallen angel : a novel	0.0876	2001
mdp.39015016442579	68	louis de wohl	Citadel of God a novel of Saint Benedict	0.0862	1959
mdp.39015005889988	70	elizabeth tallent	In constant flight : stories	0.0735	1983
mdp.39015022748480	48	bernarda bryson	The twenty miracles of Saint Nicolas	0.0425	1960
mdp.39015027551335	14	marchette chute	The wonderful winter	0.0599	1954
mdp.39015038144914	68	victor muravin	The diary of Vikenty Angarov	0.0535	1978
uc1.$b104864	48	byron herbert reece	Better a dinner of herbs	0.0634	1950
mdp.39015061869585	68	torgny lindgren	Bathsheba	0.0649	1989
uc1.$b323495	6	w r burnett	Vanity Row	0.0709	1952
uc1.$b800365	30	hunter davies	Here we go, round the mulberry bush	0.0612	1965
mdp.39015019670267	79	lenox cramer	Slow dance on the killing ground	0.1598	1990
uc1.b3346980	31	theodore pratt	The barefoot mailman	0.0818	1943
mdp.39015038016047	13	diane glancy	Pushing the bear : a novel of the Trail of Tears	0.109	1996
uc1.$b662231	79	mendel mann	At the gates of Moscow, a novel	0.1345	1963
uc1.32106008751734	30	a n roquelaure	Beauty's punishment	0.2298	1984
inu.32000009218043	41	graham greene	It's a battlefield	0.0631	1934
mdp.39015061466663	79	tom dyja	Play for a kingdom	0.129	1997
uc1.b4316247	31	desmond malone	The last landfall	0.1105	1936
uc1.b3755034	66	roger ikor	The sons of Avrom	0.0719	1958
mdp.39015002713009	24	balchandra rajan	The dark dancer	0.1173	1958
mdp.39015030736188	79	holger cahill	Look south to the polar star	0.07400000000000001	1947
mdp.39015031234449	66	cecelia holland	Two ravens	0.0755	1977
mdp.39015061175090	78	george elliot clarke	George & Rue	0.07	2005
mdp.39076005054932	76	patrick boyle	At night all cats are grey, and other stories	0.0762	1966
mdp.39015051280942	2	nick hornby	How to be good	0.075	2001
uc1.b4951655	21	arnold federbush	The man who lived in inner space	0.0743	1973
mdp.39015038062660	79	loyd little	Parthian shot	0.1493	1975
mdp.39015015233656	14	irini spanidou	God's snake	0.0592	1986
mdp.39015056182010	6	rafael yglesias	The murderer next door	0.0834	1990
mdp.39015012076843	41	vance bourjaily	The great fake book : a novel	0.0641	1986
mdp.39015056480174	6	fern michaels	Late bloomer	0.0582	2002
mdp.39015061457514	76	"peter stamm
michael hofmann"	Unformed landscape	0.0729	2004
